,0,1,2,3,4,5,6,7,8
0,1,10.64,2.6,Sha'Carri Richardson,USA,25.03.00,s1,Eugene,19.06.2021
1,2,10.79,2.3,Kelli White,USA,01.04.77,,Carson,01.06.2003
2,3,10.84,2.8,Kelli White,USA,01.04.77,,Berlin,10.08.2003
3,4,10.89,4.6,Tahesia Harrigan-Scott,IVB,15.02.82,h1,Clermont,04.06.2011
4,5,10.92,3.4,Angela Issajenko,CAN,28.09.58,s2,Brisbane,04.10.1982
5,6,10.93,3.5,Kelli White,USA,01.04.77,,Eugene,22.06.2001
6,7,10.97,2.9,Tahesia Harrigan-Scott,IVB,15.02.82,rA,Clermont,04.06.2011
7,8,10.99,2.2,Angela Issajenko,CAN,28.09.58,s1,Roma,30.08.1987
8,8,10.99,4.4,Marion Jones,USA,12.10.75,,Carson,22.05.2004
9,10,11.00,3.1,Kelli White,USA,01.04.77,h3,Palo Alto,19.06.2003
10,10,11.00,2.2,Semoy Hackett,TTO,27.11.88,,Port of Spain,13.08.2011
11,12,11.03,3.1,Angela Issajenko,CAN,28.09.58,,Sherbrooke,13.06.1980
12,12,11.03,3.3,Chioma Ajunwa,NGR,25.12.70,,Villeneuve d'Ascq,06.07.1992
13,12,11.03,2.5,Kelli White,USA,01.04.77,h1,Dortmund,08.06.2002
14,15,11.04,2.7,Kelli White,USA,01.04.77,,Palo Alto,29.03.2003
15,16,11.05,2.6,Kelli White,USA,01.04.77,s2,Eugene,22.06.2001
16,17,11.06,2.8,Linda Haglund,SWE,15.06.56,,Berlin,21.08.1981
17,18,11.08,3.4,Angela Issajenko,CAN,28.09.58,,Ottawa,21.06.1986
18,19,11.09A,4.4,Angela Issajenko,CAN,28.09.58,,Provo,26.05.1984
