,0,1,2,3,4,5,6,7,8
0,1,10.7,3.4,Merlene Ottey,JAM,10.05.60,1h2,Shizuoka,27.04.1986
1,1,10.7,2.6,Sevatheda Fynes,BAH,17.10.74,1,Nassau,22.06.1995
2,3,10.8A,4.0,Margaret Bailes,USA,23.01.51,1,Flagstaff,29.09.1968
3,3,10.8,3.6,Sonia Lannaman,GBR,24.03.56,1,Kyiv,22.05.1976
4,3,10.8,3.8,Angela Issajenko,CAN,28.09.58,1,Perth,24.01.1987
5,3,10.8,2.7,Gail Devers,USA,19.11.66,1,Yekaterinburg,01.07.1995
6,3,10.8,4.8,Odiah Sidibé,FRA,13.01.70,1,Évry-Bondoufle,22.06.1996
7,3,10.8,2.3,Ekateríni Thánou,GRE,01.02.75,1,Kalamáta,23.05.1998
8,9,10.9,4.1,Andrea Lynch,GBR,24.11.52,1,Lisboa,18.05.1974
9,9,10.9,5.0,Sonia Lannaman,GBR,24.03.56,1,Wolverhampton,20.05.1977
10,9,10.9,,Vivien McKenzie,USA,27.04.64,1,Ames,04.05.1985
11,9,10.9,,Sheila Echols,USA,02.10.64,1,New Orleans,05.04.1986
12,9,10.9,3.0,Olga Zolotaryova,RUS,01.11.61,1,Moskva,11.06.1987
13,9,10.9,3.0,Marina Markina,RUS,07.11.62,2,Moskva,11.06.1987
14,9,10.9,3.1,Beatrice Utondu,NGR,23.11.69,1,Las Vegas,14.04.1990
15,9,10.9,3.1,Mary Onyali,NGR,03.02.68,2,Las Vegas,14.04.1990
16,9,10.9,2.2,Inger Miller,USA,12.06.72,1,Modesto,16.05.1992
17,9,10.9,,Holli Hyche,USA,06.09.71,1h,Terre Haute,15.05.1993
18,9,10.9,,Natalya Merzlyakova,RUS,30.05.65,h,Yekaterinburg,27.05.1995
19,9,10.9,,Debbie Ferguson-McKenzie,BAH,16.01.76,2,Nassau,22.06.1995
20,9,10.9,4.8,Hanitriniana Rakotondrabe,MAD,01.01.67,2,Évry-Bondoufle,22.06.1996
21,9,10.9,4.8,Patricia Girard,FRA,18.04.68,3,Évry-Bondoufle,22.06.1996
22,9,10.9,4.1,Natasha Mayers,VIN,10.03.79,1,Azusa,13.04.2002
