,0,1,2,3,4,5,6,7,8
0,1,21.9,±0.0,Bärbel Wöckel,GDR,21.03.55,1,Tbilisi,27.06.1981
1,1,21.9,-0.1,Svetlana Goncharenko,RUS,26.05.71,1,Rostov-na-Donu,31.05.1998
2,3,22.0,-0.6,Marina Molokova,RUS,24.08.62,1,Praha,23.06.1987
3,4,22.1,,Natalya Bochina,RUS,04.01.62,1,Moskva,07.07.1984
4,4,22.1,,Tatyana Chebykina,RUS,22.11.68,1,Moskva,13.05.1996
5,4,22.1,-0.9,Viktoriya Fomenko,UKR,02.10.70,1,Lisboa,20.06.1997
6,7,22.3,+1.8,Randy Givens,USA,27.03.62,1,Westwood,16.05.1982
7,7,22.3,-0.6,Vineta Ikauniece,LAT,04.12.62,2,Praha,23.06.1987
8,7,22.3,,Kerstin Behrendt,GER,02.09.67,1,Leipzig,26.05.1988
9,7,22.3,,Gwen Torrence,USA,12.06.65,1,Port of Spain,08.05.1993
10,7,22.3,,Natalya Safronnikova,BLR,28.02.73,1,Minsk,04.05.1998
11,7,22.3,+0.7,Oleysa Zykina,RUS,07.10.80,1,Tula,27.06.1999
12,7,22.3,+0.6,Virgen Benavides,CUB,31.12.74,1,La Habana,30.11.2002
13,14,22.4,,Heike Drechsler,GER,16.12.64,1,Jena,16.06.1991
14,14,22.4A,,Ximena Restrepo,COL,10.03.69,1,Medellín,27.07.1991
15,14,22.4,,Svetlana Goncharenko,RUS,26.05.71,1h,Rostov-na-Donu,31.05.1998
16,14,22.4,+1.9,Svetlana Goncharenko,RUS,26.05.71,1,Krasnodar,30.05.1999
17,14,22.4,,Natalya Safronnikova,BLR,28.02.73,1,Brest,22.07.2001
18,14,22.4,,Mary Onyali,NGR,03.02.68,1,Abuja,19.07.2003
19,14,22.4,+2.0,Debbie Ferguson-McKenzie,BAH,16.01.76,1,Nassau,17.06.2006
20,14,22.4A,,Joyce Zakary,KEN,06.06.86,1,Nairobi,11.07.2015
