,0,1,2,3,4,5,6,7
0,1,8:06.11,Wang Junxia,CHN,09.01.73,1,Beijing,13.09.1993
1,2,8:12.18,Qu Yunxia,CHN,25.12.72,2,Beijing,13.09.1993
2,3,8:12.19,Wang Junxia,CHN,09.01.73,1h2,Beijing,12.09.1993
3,4,8:12.27,Qu Yunxia,CHN,25.12.72,2h2,Beijing,12.09.1993
4,5,8:16.50,Zhang Linli,CHN,06.03.73,3,Beijing,13.09.1993
5,6,8:18.49,Sifan Hassan,NED,01.01.93,1,Palo Alto,30.06.2019
6,7,8:19.08,Francine Niyonsaba,BDI,05.05.93,1,Paris,28.08.2021
7,8,8:19.52,Ejgayehu Taye,ETH,10.02.00,2,Paris,28.08.2021
8,9,8:19.78,Ma Liyan,CHN,03.11.68,3h2,Beijing,12.09.1993
9,10,8:20.07,Konstanze Klosterhalfen,GER,18.02.97,2,Palo Alto,30.06.2019
10,11,8:20.27,Letesenbet Gidey,ETH,20.03.98,3,Palo Alto,30.06.2019
11,12,8:20.68,Helen Obiri,KEN,13.12.89,1,Ad-Dawhah,09.05.2014
12,13,8:21.14,Mercy Cherono,KEN,07.05.91,2,Ad-Dawhah,09.05.2014
13,14,8:21.26,Ma Liyan,CHN,03.11.68,4,Beijing,13.09.1993
14,15,8:21.29,Genzebe Dibaba,ETH,08.02.91,4,Palo Alto,30.06.2019
15,16,8:21.42,Gabriela Szabo,ROU,14.11.75,1,Monaco,19.07.2002
16,17,8:21.53,Margaret Kipkemboi,KEN,09.02.93,3,Paris,28.08.2021
17,18,8:21.64,Sonia O'Sullivan,IRL,28.11.69,1,London,15.07.1994
18,19,8:21.84,Zhang Lirong,CHN,03.03.73,5,Beijing,13.09.1993
19,20,8:22.06,Zhang Linli,CHN,06.03.73,1h1,Beijing,12.09.1993
20,21,8:22.20,Paula Radcliffe,GBR,17.12.73,2,Monaco,19.07.2002
21,22,8:22.22,Almaz Ayana,ETH,21.11.91,1,Rabat,14.06.2015
22,23,8:22.34,Almaz Ayana,ETH,21.11.91,1,Zürich,03.09.2015
23,24,8:22.44,Zhang Lirong,CHN,03.03.73,2h1,Beijing,12.09.1993
24,25,8:22.54,Helen Obiri,KEN,13.12.89,1,Ad-Dawhah,25.09.2020
25,26,8:22.62,Tatyana Kazankina,RUS,17.12.51,1,Leningrad,26.08.1984
26,27,8:22.92,Agnes Tirop,KEN,23.10.95,2,Ad-Dawhah,25.09.2020
27,27,8:22.92,Beatrice Chepkoech,KEN,06.07.91,3,Ad-Dawhah,25.09.2020
28,29,8:23.11,Almaz Ayana,ETH,21.11.91,1,Ad-Dawhah,06.05.2016
29,30,8:23.14,Helen Obiri,KEN,13.12.89,1,Monaco,21.07.2017
30,31,8:23.23,Edith Masai,KEN,04.04.67,3,Monaco,19.07.2002
31,32,8:23.26,Olga Yegorova,RUS,28.03.72,1,Zürich,17.08.2001
32,33,8:23.55,Faith Kipyegon,KEN,10.01.94,3,Ad-Dawhah,09.05.2014
33,34,8:23.75,Olga Yegorova,RUS,28.03.72,1,Saint-Denis,06.07.2001
34,35,8:23.96,Olga Yegorova,RUS,28.03.72,1,Roma,29.06.2001
35,36,8:24.19,Gabriela Szabo,ROU,14.11.75,2,Zürich,17.08.2001
36,37,8:24.27,Helen Obiri,KEN,13.12.89,1,Monaco,15.07.2016
37,37,8:24.27+,Francine Niyonsaba,BDI,05.05.93,1r1,Eugene,27.05.2022
38,39,8:24.31,Gabriela Szabo,ROU,14.11.75,1,Paris,29.07.1998
39,40,8:24.41,Viola Kibiwott,KEN,22.12.83,4,Ad-Dawhah,09.05.2014
40,41,8:24.51+,Meseret Defar,ETH,19.11.83,1,Bruxelles,14.09.2007
41,42,8:24.58,Almaz Ayana,ETH,21.11.91,5,Ad-Dawhah,09.05.2014
42,43,8:24.66,Meseret Defar,ETH,19.11.83,1,Stockholm,25.07.2006
43,44,8:24.76,Margaret Chelimo,KEN,02.08.97,4,Ad-Dawhah,25.09.2020
44,45,8:25.03,Gabriela Szabo,ROU,14.11.75,1,Zürich,11.08.1999
45,46,8:25.13,Hyvin Kiyeng,KEN,13.01.92,5,Ad-Dawhah,25.09.2020
46,47,8:25.23,Gudaf Tsegay,ETH,23.06.97,6,Ad-Dawhah,25.09.2020
47,48,8:25.40,Yelena Zadorozhnaya,RUS,03.12.77,2,Roma,29.06.2001
48,49,8:25.56,Tatyana Tomashova,RUS,01.07.75,3,Roma,29.06.2001
49,50,8:25.59,Gabriela Szabo,ROU,14.11.75,1,Paris,21.07.1999
50,51,8:25.60,Helen Obiri,KEN,13.12.89,1,Ad-Dawhah,03.05.2019
51,52,8:25.62,Berhane Adere,ETH,21.07.73,3,Zürich,17.08.2001
52,53,8:25.82,Gabriela Szabo,ROU,14.11.75,1,Bruxelles,03.09.1999
53,54,8:25.83,Mary Slaney,USA,04.08.58,1,Roma,07.09.1985
54,55,8:25.92,Gelete Burka,ETH,23.01.86,2,Stockholm,25.07.2006
55,56,8:26.07,Laura Weightman,GBR,07.01.91,5,Palo Alto,30.06.2019
56,57,8:26.14,Berhane Adere,ETH,21.07.73,1,Bruxelles,30.08.2002
57,58,8:26.15,Gabriela Szabo,ROU,14.11.75,2,Bruxelles,30.08.2002
58,59,8:26.20,Genzebe Dibaba,ETH,08.02.91,2,Ad-Dawhah,03.05.2019
59,60,8:26.21,Genzebe Dibaba,ETH,08.02.91,6,Ad-Dawhah,09.05.2014
60,61,8:26.31,Laura Weightman,GBR,07.01.91,7,Ad-Dawhah,25.09.2020
61,62,8:26.35,Gabriela Szabo,ROU,14.11.75,1,Zürich,11.08.2000
62,63,8:26.36,Mercy Cherono,KEN,07.05.91,2,Ad-Dawhah,06.05.2016
63,64,8:26.44,Gabriela Szabo,ROU,14.11.75,4,Roma,29.06.2001
64,65,8:26.48,Zahra Ouaziz,MAR,20.12.69,2,Zürich,11.08.1999
65,66,8:26.53,Tatyana Dorovskikh,UKR,12.08.61,1,Seoul,25.09.1988
66,67,8:26.54,Genzebe Dibaba,ETH,08.02.91,2,Zürich,03.09.2015
67,68,8:26.64,Zahra Ouaziz,MAR,20.12.69,2,Paris,21.07.1999
68,69,8:26.70+,Francine Niyonsaba,BDI,05.05.93,1,Eugene,20.08.2021
69,70,8:26.78,Svetlana Ulmasova,UZB,04.02.53,1,Kyiv,25.07.1982
70,71,8:26.79,Yelena Zadorozhnaya,RUS,03.12.77,2,Saint-Denis,06.07.2001
71,72,8:26.80,Francine Niyonsaba,BDI,05.05.93,1,Lausanne,26.08.2022
72,73,8:26.81,Alicia Monson,USA,13.05.98,2,Lausanne,26.08.2022
73,74,8:26.97,Paula Radcliffe,GBR,17.12.73,5,Roma,29.06.2001
74,75,8:27.01,Zahra Ouaziz,MAR,20.12.69,2,Bruxelles,03.09.1999
75,76,8:27.02,Tatyana Tomashova,RUS,01.07.75,3,Saint-Denis,06.07.2001
76,77,8:27.12,Lyudmila Bragina,RUS,24.07.43,1,College Park,07.08.1976
77,78,8:27.14,Beatrice Chebet,KEN,05.03.00,3,Lausanne,26.08.2022
78,79,8:27.15,Paula Ivan,ROU,20.07.63,2,Seoul,25.09.1988
79,80,8:27.17,Edith Masai,KEN,04.04.67,3,Stockholm,25.07.2006
80,81,8:27.18,Tatyana Tomashova,RUS,01.07.75,3,Bruxelles,30.08.2002
81,82,8:27.21,Gabriela Szabo,ROU,14.11.75,1,Oslo,30.06.1999
82,82,8:27.21,Gabriela Szabo,ROU,14.11.75,4,Saint-Denis,06.07.2001
83,84,8:27.24,Meseret Defar,ETH,19.11.83,1,Stuttgart,23.09.2007
84,85,8:27.25,Mercy Cherono,KEN,07.05.91,2,Monaco,15.07.2016
85,86,8:27.26,Zahra Ouaziz,MAR,20.12.69,2,Paris,29.07.1998
