,0,1,2,3,4,5,6,7
0,1,8:44.32,Beatrice Chepkoech,KEN,06.07.91,1,Monaco,20.07.2018
1,2,8:52.78,Ruth Jebet,BRN,17.11.96,1,Saint-Denis,27.08.2016
2,3,8:53.02,Norah Jeruto Tanui,KAZ,02.10.95,1,Eugene,20.07.2022
3,4,8:53.65,Norah Jeruto Tanui,KEN,02.10.95,1,Eugene,21.08.2021
4,5,8:54.61,Werkwuha Getachew,ETH,07.12.95,2,Eugene,20.07.2022
5,6,8:55.10,Beatrice Chepkoech,KEN,06.07.91,1,Bruxelles,31.08.2018
6,7,8:55.29,Ruth Jebet,BRN,17.11.96,1,Zürich,24.08.2017
7,8,8:55.58,Beatrice Chepkoech,KEN,06.07.91,1,Palo Alto,30.06.2019
8,9,8:56.08,Mekides Abebe,ETH,29.01.01,3,Eugene,20.07.2022
9,10,8:56.55,Winfred Yavi,BRN,31.12.99,1,Paris,18.06.2022
10,11,8:57.77,Courtney Frerichs,USA,18.01.93,2,Eugene,21.08.2021
11,12,8:57.84,Beatrice Chepkoech,KEN,06.07.91,1,Ad-Dawhah,30.09.2019
12,13,8:57.97,Norah Jeruto Tanui,KAZ,02.10.95,1,Eugene,28.05.2022
13,14,8:58.71,Winfred Yavi,BRN,31.12.99,2,Eugene,28.05.2022
14,15,8:58.78,Celliphine Chespol,KEN,23.03.99,1,Eugene,26.05.2017
15,16,8:58.81,Gulnara Galkina,RUS,09.07.78,1,Beijing,17.08.2008
16,17,8:59.36,Beatrice Chepkoech,KEN,06.07.91,1,Paris,30.06.2018
17,18,8:59.62,Norah Jeruto Tanui,KEN,02.10.95,2,Bruxelles,31.08.2018
18,19,8:59.75,Ruth Jebet,BRN,17.11.96,1,Rio de Janeiro,15.08.2016
19,20,8:59.84,Beatrice Chepkoech,KEN,06.07.91,2,Zürich,24.08.2017
20,21,8:59.88,Beatrice Chepkoech,KEN,06.07.91,1,Asaba,05.08.2018
21,22,8:59.97,Ruth Jebet,BRN,17.11.96,1,Eugene,28.05.2016
22,23,9:00.01,Hyvin Kiyeng,KEN,13.01.92,2,Eugene,28.05.2016
23,24,9:00.05,Hyvin Kiyeng,KEN,13.01.92,3,Eugene,21.08.2021
24,25,9:00.12,Hyvin Kiyeng,KEN,13.01.92,1,Ad-Dawhah,05.05.2017
25,26,9:00.67,Norah Jeruto Tanui,KEN,02.10.95,1,Ad-Dawhah,28.05.2021
26,27,9:00.70,Beatrice Chepkoech,KEN,06.07.91,2,Eugene,26.05.2017
27,28,9:00.71,Sembo Almayew,ETH,24.01.05,1,Firenze,02.06.2023
28,29,9:00.85,Courtney Frerichs,USA,18.01.93,2,Monaco,20.07.2018
29,30,9:01.31,Winfred Yavi,BRN,31.12.99,4,Eugene,20.07.2022
30,31,9:01.45,Peruth Chemutai,UGA,10.07.99,1,Tokyo,04.08.2021
31,32,9:01.54,Norah Jeruto Tanui,KAZ,02.10.95,1h1,Eugene,16.07.2022
32,33,9:01.57,Beatrice Chepkoech,KEN,06.07.91,2,Ad-Dawhah,05.05.2017
33,34,9:01.59,Gulnara Galkina,RUS,09.07.78,1,Iráklio,04.07.2004
34,35,9:01.60,Hyvin Kiyeng,KEN,13.01.92,3,Bruxelles,31.08.2018
35,36,9:01.69,Beatrice Chepkoech,KEN,06.07.91,1,Paris,01.07.2017
36,37,9:01.71,Beatrice Chepkoech,KEN,06.07.91,1,Zürich,29.08.2019
37,38,9:01.82,Celliphine Chespol,KEN,23.03.99,2,Paris,30.06.2018
38,39,9:01.96,Hyvin Kiyeng,KEN,13.01.92,2,Saint-Denis,27.08.2016
39,40,9:01.99,Ruth Jebet,BRN,17.11.96,3,Ad-Dawhah,05.05.2017
40,41,9:02.35,Emma Coburn,USA,19.10.90,2,Ad-Dawhah,30.09.2019
41,42,9:02.43,Jackline Chepkoech,KEN,03.10.03,1,Bruxelles,02.09.2022
42,43,9:02.52,Mekides Abebe,ETH,29.01.01,2,Ad-Dawhah,28.05.2021
43,44,9:02.58,Emma Coburn,USA,19.10.90,1,London,11.08.2017
44,45,9:02.64,Winfred Yavi,BRN,31.12.99,3,Ad-Dawhah,28.05.2021
45,46,9:03.26,Mekides Abebe,ETH,29.01.01,3,Eugene,28.05.2022
46,47,9:03.30,Gesa Felicitas Krause,GER,03.08.92,3,Ad-Dawhah,30.09.2019
47,48,9:03.44,Werkwuha Getachew,ETH,07.12.95,2,Bruxelles,02.09.2022
48,49,9:03.52,Ruth Jebet,BRN,17.11.96,3,Eugene,26.05.2017
49,50,9:03.57,Werkwuha Getachew,ETH,07.12.95,1,Zürich,08.09.2022
50,51,9:03.70,Norah Jeruto Tanui,KEN,02.10.95,1,Berlin,27.08.2017
51,52,9:03.71,Norah Jeruto Tanui,KEN,02.10.95,1,Oslo,13.06.2019
52,53,9:03.77,Courtney Frerichs,USA,18.01.93,2,London,11.08.2017
53,54,9:03.82,Hyvin Kiyeng,KEN,13.01.92,1,Monaco,09.07.2021
54,55,9:03.83,Hyvin Kiyeng,KEN,13.01.92,2,Zürich,29.08.2019
55,56,9:03.86,Hyvin Kiyeng,KEN,13.01.92,3,Paris,30.06.2018
56,57,9:04.03,Hyvin Kiyeng,KEN,13.01.92,3,London,11.08.2017
57,58,9:04.07,Jackline Chepkoech,KEN,03.10.03,2,Firenze,02.06.2023
58,59,9:04.17,Norah Jeruto Tanui,KEN,02.10.95,4,Paris,30.06.2018
59,60,9:04.27,Winfred Yavi,BRN,31.12.99,4,Eugene,21.08.2021
60,61,9:04.30,Beatrice Chepkoech,KEN,06.07.91,2,Oslo,13.06.2019
61,62,9:04.34,Hyvin Kiyeng,KEN,13.01.92,1,Stockholm,04.07.2021
62,63,9:04.38,Winfred Yavi,BRN,31.12.99,1,Ad-Dawhah,05.05.2023
63,64,9:04.41,Hyvin Kiyeng,KEN,13.01.92,3,Monaco,20.07.2018
64,65,9:04.47,Winfred Yavi,BRN,31.12.99,2,Zürich,08.09.2022
65,66,9:04.53,Beatrice Chepkoech,KEN,06.07.91,1,Shanghai,18.05.2019
66,67,9:04.56,Norah Jeruto Tanui,KEN,02.10.95,1,Zagreb,29.08.2017
67,68,9:04.61,Zerfe Wondemagegn,ETH,26.10.02,3,Firenze,02.06.2023
