,0,1,2,3,4,5,6,7
0,1,9:25.31,Justyna Bak,POL,01.08.74,1,Nice,09.07.2001
1,2,9:30.70,Melissa Rollison,AUS,13.04.83,1,Brisbane,04.09.2001
2,3,9:39.51,Irene Limika,KEN,28.08.79,2,Nice,09.07.2001
3,4,9:39.65,Irene Limika,KEN,28.08.79,2,Brisbane,04.09.2001
4,5,9:41.54,Yekaterina Volkova,RUS,16.02.78,3,Brisbane,04.09.2001
5,6,9:41.94,Elizabeth Jackson,USA,27.10.77,4,Brisbane,04.09.2001
6,7,9:43.36,Elizabeth Jackson,USA,27.10.77,3,Nice,09.07.2001
7,8,9:45.12,Cristina Casandra,ROU,21.10.77,1,Hengelo,04.06.2001
8,9,9:46.56,Cristina Casandra,ROU,21.10.77,5,Brisbane,04.09.2001
9,10,9:48.72,Elizabeth Jackson,USA,27.10.77,1,Glasgow,01.07.2001
10,11,9:48.84,Laurence Duquénoy,FRA,29.09.69,4,Nice,09.07.2001
11,12,9:52.71,Tara Krzywicki,GBR,09.03.74,2,Glasgow,01.07.2001
12,13,9:53.97,Lisa Nye,USA,17.11.68,6,Brisbane,04.09.2001
13,14,9:55.01,Tara Krzywicki,GBR,09.03.74,1,Glasgow,11.08.2001
14,15,9:55.41,Elizabeth Jackson,USA,27.10.77,1,Palo Alto,03.05.2002
15,16,9:55.63,Elizabeth Jackson,USA,27.10.77,1,San Diego,18.05.2001
16,17,9:55.74,Cristina Casandra,ROU,21.10.77,5,Nice,09.07.2001
17,18,9:56.71,Élodie Olivarès,FRA,22.05.76,6,Nice,09.07.2001
18,19,9:57.06,Anita Weyermann,SUI,08.12.77,2,Hengelo,04.06.2001
19,19,9:57.06,Luminita Gogârlea,ROU,05.11.71,3,Hengelo,04.06.2001
20,21,9:57.20,Elizabeth Jackson,USA,27.10.77,1,Sacramento,17.07.2000
21,22,9:57.46,Laurence Duquénoy,FRA,29.09.69,4,Hengelo,04.06.2001
22,23,9:59.11,Yekaterina Volkova,RUS,16.02.78,3,Glasgow,01.07.2001
23,24,9:59.50,Elizabeth Jackson,USA,27.10.77,1,Claremont,20.04.2001
24,25,10:00.36,Alina Cucerzan,ROU,28.07.74,7,Nice,09.07.2001
25,26,10:00.63,Lisa Nye,USA,17.11.68,2,Sacramento,17.07.2000
26,27,10:01.77,Brianna Dahm,USA,13.03.82,1,Louisville,10.05.2002
27,28,10:02.85,Molly De Francesco,USA,17.02.80,1,Durham,06.04.2002
28,29,10:03.09,Kara Ormond,USA,17.06.77,3,Sacramento,17.07.2000
29,30,10:03.20,Kelly Strong,USA,27.09.78,1,Berkeley,19.05.2001
30,31,10:03.34,Melanie Schulz,GER,27.08.79,1,Amsterdam,13.07.2001
31,32,10:04.14,Kara Ormond,USA,17.06.77,4,Glasgow,01.07.2001
32,33,10:04.41,Courtney Meldrum,USA,31.01.77,4,Sacramento,17.07.2000
33,34,10:04.45,Tara Haynes,USA,06.08.78,5,Sacramento,17.07.2000
34,35,10:04.53,Kara Ormond,USA,17.06.77,8,Nice,09.07.2001
35,36,10:04.76,Miriam Méred,FRA,04.04.76,9,Nice,09.07.2001
36,37,10:04.99,Lívia Tóth,HUN,07.01.80,2,Amsterdam,13.07.2001
37,38,10:05.28,Céline Rajot,FRA,22.03.75,10,Nice,09.07.2001
38,39,10:06.08,Dawn Cromer-Brooks,USA,24.11.79,1,Raleigh,18.04.2003
39,40,10:06.48,Kelly Strong,USA,27.09.78,1,Tempe,05.05.2001
40,41,10:06.60,Daniela Petrescu,ROU,13.04.68,11,Nice,09.07.2001
41,42,10:07.77,Molly De Francesco,USA,17.02.80,1,Richmond,20.04.2002
42,43,10:08.46,Sigrid Vanden Bempt,BEL,10.02.81,3,Amsterdam,13.07.2001
43,44,10:08.51,Fanny Pruvost,FRA,21.05.79,4,Amsterdam,13.07.2001
44,45,10:08.85,Susanne Wigene,NOR,12.02.78,5,Hengelo,04.06.2001
45,46,10:09.96,Johanna Lehtinen,FIN,21.02.79,5,Amsterdam,13.07.2001
46,47,10:10.04,Kara Ormond,USA,17.06.77,1,Palo Alto,13.05.2001
47,48,10:10.16,Marget Larson,USA,13.09.79,2,San Diego,18.05.2001
48,49,10:10.8,Kelly Strong,USA,27.09.78,1,Tempe,22.03.2002
49,50,10:10.84,Kerry Hils,USA,21.03.81,1,Palo Alto,04.05.2001
50,51,10:11.38,Natalya Cherepanova,RUS,09.03.67,5,Glasgow,01.07.2001
51,52,10:12.90,Nanette Evans,USA,18.08.81,3,San Diego,18.05.2001
52,53,10:13.43,Melissa Rollison,AUS,13.04.83,1,Brisbane,11.03.2001
53,54,10:13.47,Laura Turner,USA,07.04.80,1,Berkeley,04.05.2002
54,55,10:13.56,Tonya Dodge,USA,24.05.75,12,Nice,09.07.2001
55,56,10:13.83,Tonya Dodge,USA,24.05.75,6,Sacramento,17.07.2000
56,57,10:14.19,Audrey Giesler,USA,06.03.82,1,Minneapolis,17.05.2003
57,58,10:14.46,Nanette Evans,USA,18.08.81,1r1,Palo Alto,29.03.2002
58,59,10:14.64,Ann Somerville,USA,29.03.80,1,Madison,18.05.2002
59,60,10:14.70,Ida Nilsson,SWE,08.02.81,1,Tucson,04.05.2002
60,61,10:15.07,Katie Sabino,USA,23.01.79,2,Durham,06.04.2002
61,62,10:15.27,Megan Coombs,USA,26.04.81,3,Durham,06.04.2002
62,63,10:15.71,Lisa Aguilera,USA,30.11.79,1,Pullman,18.05.2002
63,64,10:15.77,Andrea Kremer,USA,02.07.82,1,Oxford MS,17.05.2001
64,65,10:16.24,Laura Turner,USA,07.04.80,2r1,Palo Alto,29.03.2002
65,66,10:16.45,Marget Larson,USA,13.09.79,2,Palo Alto,04.05.2001
66,67,10:16.52,Laura Turner,USA,07.04.80,2,Berkeley,19.05.2001
67,68,10:16.67,Marget Larson,USA,13.09.79,2,Palo Alto,03.05.2002
68,69,10:16.70,Molly Landreth,USA,27.11.82,2,Minneapolis,17.05.2003
69,70,10:16.92,Nanette Evans,USA,18.08.81,2,Claremont,20.04.2001
70,71,10:16.98,Michaela Mannová,CZE,11.01.82,3,Palo Alto,03.05.2002
71,72,10:16.99,Tonya Dodge,USA,24.05.75,1,Uden,01.06.2001
72,73,10:17.36,Ida Nilsson,SWE,08.02.81,1,Missoula,17.05.2002
73,74,10:17.37,Sarah Pepera,USA,01.01.81,3,Minneapolis,17.05.2003
74,75,10:17.39,Tara Haynes,USA,06.08.78,4,San Diego,18.05.2001
75,76,10:17.66,Lisa Aguilera,USA,30.11.79,3,Berkeley,19.05.2001
76,77,10:17.74,Larissa Kleinmann,GER,10.09.78,1,Austin,06.04.2001
77,78,10:17.79,Ragnhild Kvarberg,NOR,23.03.81,6,Amsterdam,13.07.2001
78,79,10:18.10,Lisa Aguilera,USA,30.11.79,2,Tucson,04.05.2002
79,80,10:18.32,Barbara Wenger,USA,27.06.80,3r1,Palo Alto,29.03.2002
80,81,10:18.85,Desiree Owen,USA,22.02.75,7,Sacramento,17.07.2000
81,82,10:18.87,Dawn Cromer-Brooks,USA,24.11.79,1r2,Raleigh,29.03.2003
82,83,10:19.87,Anzhelika Averkova,UKR,13.03.69,6,Hengelo,04.06.2001
83,84,10:20.74,Jennifer Michel,USA,24.12.77,1,Minneapolis,08.06.2002
84,85,10:20.99,Roisin McGettigan,IRL,23.08.80,1,Albany,11.05.2001
85,86,10:21.00,Tara Haynes,USA,06.08.78,3,Claremont,20.04.2001
86,87,10:21.15,Elena Mândrila,ROU,01.07.79,7,Amsterdam,13.07.2001
87,88,10:21.26,Laura Turner,USA,07.04.80,1,Palo Alto,05.05.2001
88,89,10:21.61,Katie Sabino,USA,23.01.79,2r2,Raleigh,29.03.2003
89,90,10:21.83,Brianna Dahm,USA,13.03.82,1,Bloomington,13.04.2002
90,91,10:21.99,Brianna Dahm,USA,13.03.82,4r1,Palo Alto,29.03.2002
91,92,10:22.02,Erin Aufderheide,USA,21.02.80,1,Madison,17.06.2000
92,93,10:22.38,Marielle Schlueter,USA,21.07.79,2,Berkeley,04.05.2002
93,94,10:22.46,Joy Goff,USA,06.05.78,3,Berkeley,04.05.2002
94,95,10:22.75,Barbara Wenger,USA,27.06.80,4,Claremont,20.04.2001
95,96,10:22.94,Lisa Aguilera,USA,30.11.79,1,Los Angeles,17.05.2003
