,0,1,2,3,4,5,6,7
0,1,9:55.77,Rasa Troup,LTU,01.03.77,1,Des Moines,28.04.2006
1,2,10:06.92,Kristen Anderson,USA,16.06.83,2,Des Moines,28.04.2006
2,3,10:07.23,Elizabeth Jackson,USA,27.10.77,1,Eugene,24.06.1999
3,4,10:11.11,Amanda Lorenzen,USA,16.11.83,3,Des Moines,28.04.2006
4,5,10:12.66,Lisa Nye,USA,17.11.68,2,Eugene,24.06.1999
5,6,10:15.45,Jane Rudkin,USA,15.05.80,4,Des Moines,28.04.2006
6,7,10:18.55,Joan Nesbit-Mabe,USA,20.01.62,3,Eugene,24.06.1999
7,8,10:20.46,Sarah Becker,USA,23.01.84,5,Des Moines,28.04.2006
8,9,10:20.50,Tonya Dodge,USA,24.05.75,4,Eugene,24.06.1999
9,10,10:22.45,Julia Webb,USA,14.02.83,6,Des Moines,28.04.2006
10,11,10:23.15,Laura Kennedy,USA,21.07.82,7,Des Moines,28.04.2006
11,12,10:25.86,Arianne Field,USA,08.11.84,8,Des Moines,28.04.2006
12,13,10:26.63,Kara Ormond,USA,17.06.77,5,Eugene,24.06.1999
13,14,10:29.12,Mica Land,USA,25.10.85,9,Des Moines,28.04.2006
14,15,10:32.07,Sarah Madebach,USA,07.10.85,10,Des Moines,28.04.2006
15,16,10:33.44,Desiree Owen,USA,22.02.75,6,Eugene,24.06.1999
16,17,10:38.05,Katie Baloga,USA,06.05.74,7,Eugene,24.06.1999
17,18,10:38.37,Emily Mulick,USA,10.10.77,8,Eugene,24.06.1999
18,19,10:38.96,Heather Bury,USA,18.03.75,9,Eugene,24.06.1999
19,20,10:44.12,Kourtney Joyce,USA,,11,Des Moines,28.04.2006
20,21,10:44.65,Tara Haynes,USA,06.08.78,10,Eugene,24.06.1999
