,0,1,2,3,4,5,6,7
0,1,1:55.82,Jolanda Ceplak,SLO,12.09.76,1,Wien,03.03.2002
1,2,1:55.85,Stephanie Graf,AUT,26.04.73,2,Wien,03.03.2002
2,3,1:56.36,Maria Mutola,MOZ,27.10.72,1,Liévin,22.02.1998
3,4,1:56.40,Christine Wachtel,GER,06.01.65,1,Wien,13.02.1988
4,5,1:56.85,Stephanie Graf,AUT,26.04.73,1,Gent,10.02.2002
5,6,1:56.90,Ludmila Formanová,CZE,02.01.74,1,Maebashi,07.03.1999
6,7,1:57.06,Maria Mutola,MOZ,27.10.72,1,Liévin,21.02.1999
7,8,1:57.13,Maria Mutola,MOZ,27.10.72,1,Liévin,18.02.1996
8,9,1:57.17,Maria Mutola,MOZ,27.10.72,2,Maebashi,07.03.1999
9,10,1:57.18,Jolanda Ceplak,SLO,12.09.76,2,Gent,10.02.2002
10,11,1:57.20,Keely Hodgkinson,GBR,03.03.02,1,Birmingham,19.02.2022
11,12,1:57.23,Inna Yevseyeva,UKR,14.08.64,1,Moskva,01.02.1992
12,13,1:57.47,Natalya Tsyganova,RUS,07.02.71,3,Maebashi,07.03.1999
13,14,1:57.48,Maria Mutola,MOZ,27.10.72,3,Gent,10.02.2002
14,14,1:57.48,Maria Mutola,MOZ,27.10.72,1,Karlsruhe,15.02.2004
15,16,1:57.51,Olga Kotlyarova,RUS,12.04.76,1,Moskva,18.02.2006
16,17,1:57.52,Gudaf Tsegay,ETH,23.06.97,1,Val-de-Reuil,14.02.2021
17,18,1:57.53,Stephanie Graf,AUT,26.04.73,1,Liévin,25.02.2001
18,18,1:57.53,Larisa Chzhao,RUS,04.02.71,1r2,Moskva,23.01.2005
19,20,1:57.55,Maria Mutola,MOZ,27.10.72,1,Toronto,14.03.1993
20,21,1:57.61,Stephanie Graf,AUT,26.04.73,1,Birmingham,17.02.2002
21,22,1:57.62,Maria Mutola,MOZ,27.10.72,1,Barcelona,12.03.1995
22,23,1:57.64,Christine Wachtel,GER,06.01.65,1,Torino,10.02.1988
23,24,1:57.67,Sigrun Wodars,GDR,07.11.65,2,Wien,13.02.1988
24,25,1:57.68,Stephanie Graf,AUT,26.04.73,1,Stockholm,15.02.2001
25,26,1:57.71,Keely Hodgkinson,GBR,03.03.02,1rA,Liévin,15.02.2023
26,27,1:57.72,Maria Mutola,MOZ,27.10.72,1h5,Budapest,05.03.2004
27,28,1:57.79,Jolanda Ceplak,SLO,12.09.76,1,Boston,27.01.2002
28,29,1:57.80,Stephanie Graf,AUT,26.04.73,1,Birmingham,20.02.2000
29,30,1:57.87,Keely Hodgkinson,GBR,03.03.02,1,Torun,08.02.2023
30,31,1:57.90,Maria Mutola,MOZ,27.10.72,1,Stockholm,19.02.1998
31,32,1:57.91,Jemma Reekie,GBR,06.03.98,1,Glasgow,01.02.2020
32,33,1:58.02,Maria Mutola,MOZ,27.10.72,1,Stockholm,20.02.1997
33,33,1:58.02,Maria Mutola,MOZ,27.10.72,2,Liévin,25.02.2001
34,35,1:58.05,Maria Mutola,MOZ,27.10.72,2,Stockholm,15.02.2001
35,36,1:58.10,Mariya Savinova,RUS,13.08.85,1,Torino,08.03.2009
36,37,1:58.14,Yuliya Stepanova,RUS,03.07.86,1,Moskva,17.02.2011
37,38,1:58.16,Maria Mutola,MOZ,27.10.72,1,Malmö,10.02.1999
38,39,1:58.19,Habitam Alemu,ETH,09.07.97,1,Torun,17.02.2021
39,40,1:58.20,Maria Mutola,MOZ,27.10.72,2,Birmingham,17.02.2002
40,41,1:58.22,Sigrun Grau,GER,07.11.65,2,Torino,10.02.1988
41,42,1:58.25,Maria Mutola,MOZ,27.10.72,1,Birmingham,14.02.1999
42,43,1:58.26,Mariya Savinova,RUS,13.08.85,1,Ad-Dawhah,14.03.2010
43,44,1:58.29,Ajee' Wilson,USA,08.05.94,1,New York City,08.02.2020
44,45,1:58.31,Francine Niyonsaba,BDI,05.05.93,1,Birmingham,04.03.2018
45,46,1:58.34,Svetlana Cherkasova,RUS,20.05.78,1r2,Moskva,04.02.2006
46,47,1:58.37,Helena Fuchsová,CZE,03.06.65,3,Liévin,25.02.2001
47,48,1:58.4,Olga Vakhrusheva,UKR,26.11.47,1,Moskva,17.02.1980
48,48,1:58.40,Athing Mu,USA,08.06.02,1,Fayetteville,27.02.2021
49,50,1:58.41,Maria Mutola,MOZ,27.10.72,1,Atlanta,04.03.1995
50,51,1:58.42,Sigrun Grau,GER,07.11.65,1,Wien,01.02.1987
51,52,1:58.43,Stephanie Graf,AUT,26.04.73,1,Stockholm,17.02.2000
52,52,1:58.43,Jennifer Meadows,GBR,17.04.81,2,Ad-Dawhah,14.03.2010
53,54,1:58.44,Laura Muir,GBR,09.05.93,2,Glasgow,01.02.2020
54,55,1:58.46,Maria Mutola,MOZ,27.10.72,1,Glasgow,24.01.2004
55,55,1:58.46,Natoya Goule,JAM,30.03.91,1,Liévin,17.02.2022
56,57,1:58.47,Maria Mutola,MOZ,27.10.72,1,Gent,12.02.1997
57,58,1:58.48,Irina Vashentseva,RUS,30.09.80,2r2,Moskva,23.01.2005
58,58,1:58.48,Noélie Yarigo,BEN,26.12.85,2,Torun,08.02.2023
59,60,1:58.49,Maria Mutola,MOZ,27.10.72,1,Karlsruhe,13.02.2005
60,61,1:58.50,Maria Mutola,MOZ,27.10.72,1,Budapest,07.03.2004
61,62,1:58.53,Yelena Soboleva,RUS,03.10.82,2r2,Moskva,04.02.2006
62,63,1:58.58,Halimah Nakaayi,UGA,16.10.94,2,Liévin,17.02.2022
63,64,1:58.59,Christine Wachtel,GER,06.01.65,1,Wien,25.02.1989
64,65,1:58.60,Ajee' Wilson,USA,08.05.94,1,New York City,09.02.2019
65,65,1:58.60,Natoya Goule,JAM,30.03.91,2,New York City,09.02.2019
66,67,1:58.64,Charlene Lipsey,USA,16.07.91,1,New York City,11.02.2017
67,68,1:58.65,Yevgeniya Zinurova,RUS,18.06.82,1r4,Moskva,14.02.2010
68,69,1:58.66,Keely Hodgkinson,GBR,03.03.02,1,Istanbul,05.03.2023
69,70,1:58.67,Tatyana Petlyuk,UKR,22.02.82,1,Stuttgart,03.02.2007
70,71,1:58.71,Nicole Teter,USA,08.11.73,1,New York City,02.03.2002
71,72,1:58.72,Jolanda Ceplak,SLO,12.09.76,2,Budapest,07.03.2004
72,73,1:58.73,Maria Mutola,MOZ,27.10.72,1rA,Gent,08.02.1998
73,73,1:58.73,Yelena Afanaseyeva,RUS,01.03.67,1,Moskva,17.02.2001
