,0,1,2,3,4,5,6
0,1,69.12,Darya Pishchalnikova,RUS,19.07.85,Yerino,21.07.2012
1,2,68.8,Darya Pishchalnikova,RUS,19.07.85,Cheboksary,05.07.2012
2,3,68.64,Darya Pishchalnikova,RUS,19.07.85,Yerino,21.07.2012
3,4,67.2,Darya Pishchalnikova,RUS,19.07.85,Cheboksary,05.07.2012
4,5,66.89,Natalya Sadova,RUS,07.02.72,Ostrava,30.05.2006
5,6,66.42,Darya Pishchalnikova,RUS,19.07.85,London,04.08.2012
6,7,66.36,Darya Pishchalnikova,RUS,19.07.85,Moskva,20.06.2012
7,8,66.32,Darya Pishchalnikova,RUS,19.07.85,Tula,06.07.2008
8,9,66.21,Natalya Sadova,RUS,07.02.72,Ostrava,30.05.2006
9,10,66.2,Darya Pishchalnikova,RUS,19.07.85,Cheboksary,05.07.2012
10,11,66.11,Darya Pishchalnikova,RUS,19.07.85,Yerino,21.07.2012
11,12,66.06,Darya Pishchalnikova,RUS,19.07.85,Sochi,26.05.2012
12,12,66.06,Darya Pishchalnikova,RUS,19.07.85,Sochi,26.05.2012
13,14,65.99,Natalya Sadova,RUS,07.02.72,Ostrava,30.05.2006
14,15,65.78,Natalya Sadova,RUS,07.02.72,Tula,13.06.2006
15,16,65.55,Darya Pishchalnikova,RUS,19.07.85,Osaka,29.08.2007
16,17,65.54,Irina Yatchenko,BLR,31.10.65,Athínai,21.08.2004
17,17,65.54,Darya Pishchalnikova,RUS,19.07.85,Moskva,20.06.2012
18,19,65.46,Irina Yatchenko,BLR,31.10.65,Athínai,21.08.2004
19,20,65.39,Darya Pishchalnikova,RUS,19.07.85,Stockholm,17.08.2012
20,21,65.38,Darya Pishchalnikova,RUS,19.07.85,Moskva,20.06.2012
21,22,65.19,Darya Pishchalnikova,RUS,19.07.85,London,04.08.2012
22,23,65.18,Sandra Perkovic,CRO,21.06.90,Shanghai,15.05.2011
23,24,65.14,Darya Pishchalnikova,RUS,19.07.85,Osaka,29.08.2007
24,25,65.06,Darya Pishchalnikova,RUS,19.07.85,London,04.08.2012
25,26,65.05,Darya Pishchalnikova,RUS,19.07.85,Berlin,01.09.2012
26,27,65.0,Darya Pishchalnikova,RUS,19.07.85,Moskva,20.06.2012
