,0,1,2,3,4,5,6,7,8
0,1,78.8,Tatyana Lysenko,RUS,09.10.83,,Moskva,,16.08.2013
1,2,78.69,Oksana Menkova,BLR,28.03.82,,Minsk,,18.07.2012
2,3,78.61,Tatyana Lysenko,RUS,09.10.83,,Sochi,,26.05.2007
3,4,78.19,Oksana Menkova,BLR,28.03.82,,Brest,,28.04.2012
4,4,78.19,Oksana Menkova,BLR,28.03.82,,Minsk,,12.06.2012
5,6,78.18,Tatyana Lysenko,RUS,09.10.83,,London,,10.08.2012
6,7,78.15,Tatyana Lysenko,RUS,09.10.83,,Moskva,,24.07.2013
7,8,77.71,Tatyana Lysenko,RUS,09.10.83,,Ostrava,,26.06.2007
8,9,77.36,Gulfiya Agafonova,RUS,04.06.82,,Sochi,,26.05.2007
9,10,77.2,Tatyana Lysenko,RUS,09.10.83,,Yerino,,22.07.2012
10,11,77.01,Tatyana Lysenko,RUS,09.10.83,,Zhukovskiy,,09.06.2007
11,12,76.74,Tatyana Lysenko,RUS,09.10.83,,Zagreb,,04.07.2007
12,13,76.34,Oksana Menkova,BLR,28.03.82,,Beijing,,20.08.2008
13,14,76.32,Oksana Menkova,BLR,28.03.82,,Stayki,,01.08.2009
14,15,76.31,Gwendolyn Berry,USA,29.06.89,,Tucson,,21.05.2016
15,16,76.17,Anna Bulgakova,RUS,17.01.88,,Moskva,,24.07.2013
16,17,75.73,Tatyana Lysenko,RUS,09.10.83,,Ad-Dawhah,,11.05.2007
17,18,75.68,Tatyana Lysenko,RUS,09.10.83,,München,,24.06.2007
18,19,75.45,Oksana Menkova,BLR,28.03.82,,Brest,,27.04.2013
19,20,75.42,Darya Pchelnik,BLR,20.12.81,,Belém,,19.05.2010
20,21,75.39,Gulfiya Agafonova,RUS,04.06.82,,Tula,,07.07.2007
21,22,75.28,Oksana Menkova,BLR,28.03.82,,Stayki,,25.07.2009
22,23,75.11,Gwendolyn Berry,USA,29.06.89,,Memphis,,29.04.2016
23,24,75.07,Gulfiya Agafonova,RUS,04.06.82,,Kazan,,19.07.2008
24,25,75.02,Gulfiya Agafonova,RUS,04.06.82,,Moskva,,15.07.2013
25,26,74.89,Tatyana Lysenko,RUS,09.10.83,,Berlin,,01.09.2013
26,27,74.87,Yekaterina Khoroshikh,RUS,21.03.83,,Sochi,,26.05.2007
27,28,74.83,Anna Bulgakova,RUS,17.01.88,q,Moskva,,14.08.2013
28,29,74.8,Mihaela Melinte,ROU,27.03.75,,Rüdlingen,,13.08.2000
29,30,74.78,Oksana Menkova,BLR,28.03.82,,Brest,,16.05.2012
30,31,74.76,Tatyana Lysenko,RUS,09.10.83,,Dubnica nad Váhom,,26.08.2012
31,32,74.62,Anna Bulgakova,RUS,17.01.88,,Moskva,,16.08.2013
32,33,74.6,Tatyana Lysenko,RUS,09.10.83,q,Moskva,,14.08.2013
33,34,74.52,Oksana Kondratyeva,RUS,22.11.85,,Moskva,,24.07.2013
34,35,74.43,Tatyana Lysenko,RUS,09.10.83,q,London,,08.08.2012
35,36,74.4,Oksana Menkova,BLR,28.03.82,,London,,10.08.2012
36,37,74.32,Mihaela Melinte,ROU,27.03.75,,Nitra,,26.08.2000
37,37,74.32,Gulfiya Agafonova,RUS,04.06.82,,Zhukovskiy,,09.06.2007
38,39,74.22,Anna Bulgakova,RUS,17.01.88,,Moskva,,15.07.2013
39,40,74.16,Anna Bulgakova,RUS,17.01.88,,Krasnodar,,23.02.2014
40,41,74.12,Oksana Kondratyeva,RUS,22.11.85,,Moskva,,15.07.2013
41,42,74.07,Tatyana Lysenko,RUS,09.10.83,,Adler,,26.02.2013
42,43,74.06,Zalina Marghieva,MDA,06.02.88,,London,,10.08.2012
43,44,74.01,Gulfiya Agafonova,RUS,04.06.82,,Podolsk,,20.06.2008
44,45,74.0,Mariya Bespalova,RUS,21.05.86,,Yerino,,22.07.2012
45,46,73.98,Darya Pchelnik,BLR,20.12.81,,Stayki,,25.07.2009
46,47,73.92,Zalina Marghieva,MDA,06.02.88,cB,Ostrava,,24.05.2012
47,48,73.91,Tatyana Lysenko,RUS,09.10.83,,Warszawa,,19.08.2012
48,49,73.9,Tatyana Lysenko,RUS,09.10.83,,Rieti,,08.09.2013
49,50,73.89,Oksana Kondratyeva,RUS,22.11.85,q,Moskva,,14.08.2013
50,51,73.82,Gwendolyn Berry,USA,29.06.89,,Kingston,,07.05.2016
51,52,73.8,Gulfiya Agafonova,RUS,04.06.82,,Zhukovskiy,,15.06.2008
52,53,73.75,Mihaela Melinte,ROU,27.03.75,,Bucuresti,,07.08.2000
53,54,73.74,Mihaela Melinte,ROU,27.03.75,,Noisy-le-Grand,,20.06.2000
54,54,73.74,Mariya Bespalova,RUS,21.05.86,,Yerino,,24.07.2015
55,56,73.65,Darya Pchelnik,BLR,20.12.81,,Beijing,,20.08.2008
56,57,73.6,Zalina Marghieva,MDA,06.02.88,cA,Bar,,18.03.2012
57,58,73.58,Zalina Marghieva,MDA,06.02.88,,Chisinau,,24.04.2010
58,59,73.52,Tatyana Lysenko,RUS,09.10.83,,Rieti,,09.09.2012
59,60,73.42,Tatyana Lysenko,RUS,09.10.83,q,Rieti,,07.09.2013
60,61,73.31,Anna Bulgakova,RUS,17.01.88,,Kazan,,25.07.2014
61,62,73.25,Gwendolyn Berry,USA,29.06.89,,Auburn,,22.04.2016
62,63,73.12,Tatyana Lysenko,RUS,09.10.83,,Beijing,,21.05.2013
63,64,73.11,Darya Pchelnik,BLR,20.12.81,,Stayki,,01.08.2009
64,65,73.1,Oksana Menkova,BLR,28.03.82,q,London,,08.08.2012
65,66,73.07,Oksana Menkova,BLR,28.03.82,,Brest,,21.05.2016
66,67,73.03,Darya Pchelnik,BLR,20.12.81,,Minsk,,04.06.2010
67,68,73.01,Darya Pchelnik,BLR,20.12.81,,Rio de Janeiro,,23.05.2010
68,69,73.0,Darya Pchelnik,BLR,20.12.81,,Ostrava,,26.05.2010
69,69,73.0,Anna Bulgakova,RUS,17.01.88,,Krasnodar,,11.02.2014
70,71,72.97,Tatyana Lysenko,RUS,09.10.83,,Moskva,,10.06.2013
71,72,72.93,Darya Pchelnik,BLR,20.12.81,,Brest,,23.05.2009
72,72,72.93,Zalina Marghieva,MDA,06.02.88,,Shenzhen,,19.08.2011
73,74,72.89,Darya Pchelnik,BLR,20.12.81,,Grodno,,27.06.2009
74,75,72.76,Oksana Kondratyeva,RUS,22.11.85,,Moskva,,16.08.2013
75,76,72.74,Zalina Marghieva,MDA,06.02.88,,Chisinau,,05.02.2011
76,77,72.7,Oksana Menkova,BLR,28.03.82,,Brest,,29.04.2016
77,78,72.69,Zalina Marghieva,MDA,06.02.88,,Daegu,,16.05.2012
78,79,72.65,Gwendolyn Berry,USA,29.06.89,cA,Norwalk,,14.04.2016
79,80,72.62,Tatyana Lysenko,RUS,09.10.83,,Eugene,,31.05.2013
80,81,72.59,Gulfiya Agafonova,RUS,04.06.82,,Moskva,,03.07.2007
81,82,72.54,Mihaela Melinte,ROU,27.03.75,,Milano,,07.06.2000
82,83,72.49,Gulfiya Agafonova,RUS,04.06.82,,Moskva,,16.05.2007
