,0,1,2,3,4,5,6,7
0,1,7291,Jackie Joyner-Kersee,USA,03.03.62,1,Seoul,24.09.1988
1,2,7215,Jackie Joyner-Kersee,USA,03.03.62,1,Indianapolis,16.07.1988
2,3,7158,Jackie Joyner-Kersee,USA,03.03.62,1,Houston,02.08.1986
3,4,7148,Jackie Joyner-Kersee,USA,03.03.62,1A,Moskva,07.07.1986
4,5,7128,Jackie Joyner-Kersee,USA,03.03.62,1,Roma,01.09.1987
5,6,7044,Jackie Joyner-Kersee,USA,03.03.62,1,Barcelona,02.08.1992
6,7,7032,Carolina Klüft,SWE,02.02.83,1,Osaka,26.08.2007
7,8,7013,Nafissatou Thiam,BEL,19.08.94,1,Götzis,28.05.2017
8,9,7007,Larisa Nikitina,RUS,29.04.65,1,Bryansk,11.06.1989
9,10,7001,Carolina Klüft,SWE,02.02.83,1,Saint-Denis,24.08.2003
10,11,6988,Anna Hall,USA,23.03.01,1,Götzis,28.05.2023
11,12,6985,Sabine Braun,GER,29.06.65,1,Götzis,31.05.1992
12,13,6981,Katarina Johnson-Thompson,GBR,09.01.93,1,Ad-Dawhah,03.10.2019
13,14,6979,Jackie Joyner-Kersee,USA,03.03.62,1,San José,24.06.1987
14,15,6955,Jessica Ennis-Hill,GBR,28.01.86,1,London,04.08.2012
15,16,6952,Carolina Klüft,SWE,02.02.83,1,Athínai,21.08.2004
16,17,6947,Nafissatou Thiam,BEL,19.08.94,1,Eugene,18.07.2022
17,18,6946,Sabine John,GDR,16.10.57,1,Potsdam,06.05.1984
18,19,6942,Ghada Shouaa,SYR,10.09.72,1,Götzis,26.05.1996
19,20,6935,Ramona Neubert,GDR,26.07.58,1,Moskva,19.06.1983
20,21,6910,Jackie Joyner-Kersee,USA,03.03.62,1,Walnut,25.04.1986
21,22,6906,Jessica Ennis-Hill,GBR,28.01.86,1,Götzis,27.05.2012
22,23,6897,Sabine John,GDR,16.10.57,2,Seoul,24.09.1988
23,24,6889,Eunice Barber,FRA,17.11.74,1,Arles,05.06.2005
24,25,6887,Carolina Klüft,SWE,02.02.83,1,Helsinki,07.08.2005
25,26,6878,Jackie Joyner-Kersee,USA,03.03.62,1,New York City,13.06.1991
26,27,6875,Larisa Nikitina,RUS,29.04.65,1,Helmond,16.07.1989
27,28,6867,Anouk Vetter,NED,04.02.93,2,Eugene,18.07.2022
28,29,6861,Eunice Barber,FRA,17.11.74,1,Sevilla,22.08.1999
29,30,6859,Natalya Shubenkova,RUS,25.09.57,1,Kyiv,21.06.1984
30,31,6858,Anke Behmer,GER,05.06.61,3,Seoul,24.09.1988
31,32,6847,Larisa Nikitina,RUS,29.04.65,1,Duisburg,29.08.1989
32,33,6845,Ramona Neubert,GDR,26.07.58,1,Halle,20.06.1982
33,33,6845,Irina Belova,RUS,27.03.68,2,Barcelona,02.08.1992
34,35,6842,Eunice Barber,FRA,17.11.74,1,Götzis,04.06.2000
35,36,6841,Jackie Joyner-Kersee,USA,03.03.62,1,Götzis,25.05.1986
36,37,6837,Jackie Joyner-Kersee,USA,03.03.62,1,Stuttgart,17.08.1993
37,38,6836,Carolin Schäfer,GER,05.12.91,2,Götzis,28.05.2017
38,39,6832,Lyudmila Blonska,UKR,09.11.77,2,Osaka,26.08.2007
39,40,6831,Denise Lewis,GBR,27.08.72,1,Talence,30.07.2000
40,41,6824,Carolina Klüft,SWE,02.02.83,1,Götzis,29.05.2005
41,41,6824,Eunice Barber,FRA,17.11.74,2,Helsinki,07.08.2005
42,43,6823,Jessica Ennis-Hill,GBR,28.01.86,1,Barcelona,31.07.2010
43,44,6820,Carolina Klüft,SWE,02.02.83,1,Götzis,30.05.2004
44,45,6819,Nafissatou Thiam,BEL,19.08.94,1,Talence,23.06.2019
45,46,6816,Nafissatou Thiam,BEL,19.08.94,1,Berlin,10.08.2018
46,47,6815,Laura Ikauniece,LAT,31.05.92,3,Götzis,28.05.2017
47,48,6813,Sabine John,GDR,16.10.57,1,Potsdam,21.07.1984
48,48,6813,Katarina Johnson-Thompson,GBR,09.01.93,1,Götzis,26.05.2019
49,50,6810,Nafissatou Thiam,BEL,19.08.94,1,Rio de Janeiro,13.08.2016
50,51,6808,Brianne Theisen Eaton,CAN,18.12.88,1,Götzis,31.05.2015
51,52,6806,Nafissatou Thiam,BEL,19.08.94,1,Götzis,27.05.2018
52,53,6805,Anke Behmer,GER,05.06.61,1,Götzis,19.06.1988
53,54,6803,Jane Frederick,USA,07.04.52,1,Talence,16.09.1984
54,55,6797,Sabine Braun,GER,29.06.65,2,Stuttgart,17.08.1993
55,56,6791,Nafissatou Thiam,BEL,19.08.94,1,Tokyo,05.08.2021
56,57,6790,Jessica Ennis-Hill,GBR,28.01.86,1,Götzis,29.05.2011
57,58,6789,Ramona Neubert,GDR,26.07.58,2,Potsdam,21.07.1984
58,59,6788,Ramona Neubert,GDR,26.07.58,1,Kyiv,28.06.1981
59,60,6787,Sabine Braun,GER,29.06.65,1,Ratingen,01.06.1997
60,61,6784,Nafissatou Thiam,BEL,19.08.94,1,London,06.08.2017
61,62,6783,Jackie Joyner-Kersee,USA,03.03.62,1,Seattle,23.07.1990
62,63,6780,Ghada Shouaa,SYR,10.09.72,1,Atlanta,28.07.1996
63,64,6778,Nataliya Dobrynska,UKR,29.05.82,2,Barcelona,31.07.2010
64,65,6775,Anke Behmer,GER,05.06.61,3,Potsdam,21.07.1984
65,65,6775,Jessica Ennis-Hill,GBR,28.01.86,2,Rio de Janeiro,13.08.2016
66,67,6772,Ramona Neubert,GDR,26.07.58,1,Sofia,11.09.1983
67,68,6770,Ramona Neubert,GDR,26.07.58,1,Helsinki,09.08.1983
68,68,6770,Jackie Joyner-Kersee,USA,03.03.62,1,Eugene,16.06.1993
69,70,6769,Carolina Klüft,SWE,02.02.83,1,Tallinn,04.07.2004
70,71,6765,Yelena Prokhorova,RUS,16.04.78,1,Tula,23.07.2000
71,71,6765,Brianne Theisen Eaton,CAN,18.12.88,1,Götzis,29.05.2016
72,73,6759,Katarina Johnson-Thompson,GBR,09.01.93,2,Berlin,10.08.2018
73,74,6755,Eunice Barber,FRA,17.11.74,2,Saint-Denis,24.08.2003
74,74,6755,Anna Hall,USA,23.03.01,3,Eugene,18.07.2022
75,76,6751,Jessica Ennis-Hill,GBR,28.01.86,1,Daegu,30.08.2011
76,77,6750,Ma Miaolan,CHN,18.01.70,1,Beijing,12.09.1993
77,78,6742,Yorgelis Rodríguez,CUB,25.01.95,2,Götzis,27.05.2018
78,79,6741,Heike Drechsler,GER,16.12.64,1,Talence,11.09.1994
79,80,6740,Carolina Klüft,SWE,02.02.83,1,Göteborg,08.08.2006
80,81,6739,Sabine Braun,GER,29.06.65,1,Athínai,04.08.1997
81,82,6736,Denise Lewis,GBR,27.08.72,1,Götzis,01.06.1997
82,82,6736,Eunice Barber,FRA,17.11.74,1,Götzis,27.05.2001
83,84,6735,Hyleas Fountain,USA,14.01.81,1,Des Moines,26.06.2010
84,85,6733,Anke Behmer,GER,05.06.61,1,Talence,17.07.1988
85,85,6733,Lyudmila Blonska,UKR,09.11.77,1,Kyiv,04.08.2007
86,85,6733,Nataliya Dobrynska,UKR,29.05.82,1,Beijing,16.08.2008
87,85,6733,Jessica Ennis-Hill,GBR,28.01.86,1,Ratingen,26.06.2016
88,89,6731,Jessica Ennis-Hill,GBR,28.01.86,1,Berlin,16.08.2009
89,90,6725,Erica Bougard,USA,26.07.93,3,Götzis,27.05.2018
90,91,6724,Denise Lewis,GBR,27.08.72,2,Sevilla,22.08.1999
91,92,6719,Carolina Klüft,SWE,02.02.83,1,Götzis,28.05.2006
92,93,6718,Jackie Joyner-Kersee,USA,03.03.62,1,Baton Rouge,28.07.1985
93,94,6717,Anke Behmer,GER,05.06.61,1,Stuttgart,30.08.1986
94,95,6715,Ghada Shouaa,SYR,10.09.72,1,Götzis,28.05.1995
95,96,6713,Sabine John,GDR,16.10.57,2,Helsinki,09.08.1983
96,97,6703,Tatyana Blokhina,RUS,12.03.70,1,Talence,11.09.1993
97,97,6703,Annie Kunz,USA,16.02.93,1,Eugene,27.06.2021
98,99,6702,Chantal Beaugeant,FRA,16.02.61,2,Götzis,19.06.1988
99,10,6696,Carolin Schäfer,GER,05.12.91,2,London,06.08.2017
100,10,6695,Jane Flemming,AUS,14.04.65,1,Auckland,28.01.1990
101,10,6695,Jackie Joyner-Kersee,USA,03.03.62,1,New Orleans,21.06.1992
102,10,6694,Yelena Prokhorova,RUS,16.04.78,1,Edmonton,05.08.2001
103,10,6694,Eunice Barber,FRA,17.11.74,1,Arles,08.06.2003
104,10,6693,Anouk Vetter,NED,04.02.93,1,Götzis,29.05.2022
105,10,6692,Anke Behmer,GER,05.06.61,1,Götzis,24.05.1987
106,10,6692,Carolina Klüft,SWE,02.02.83,1,Tallinn,06.07.2003
107,10,6691,Katarina Johnson-Thompson,GBR,09.01.93,4,Götzis,28.05.2017
108,10,6689,Jessica Ennis-Hill,GBR,28.01.86,1,Götzis,30.05.2010
109,10,6689,Anouk Vetter,NED,04.02.93,2,Tokyo,05.08.2021
110,11,6688,Sabine Braun,GER,29.06.65,1,Split,31.08.1990
111,11,6688,Carolina Klüft,SWE,02.02.83,1,Jyväskylä,03.07.2005
112,11,6686,Anke Behmer,GER,05.06.61,1,Götzis,18.06.1989
113,11,6683,Jennifer Oeser,GER,29.11.83,3,Barcelona,31.07.2010
114,11,6683,Kendell Williams,USA,14.06.95,2,Eugene,27.06.2021
115,11,6682,Katarina Johnson-Thompson,GBR,09.01.93,1,Götzis,01.06.2014
116,11,6681,Carolina Klüft,SWE,02.02.83,1,Götzis,27.05.2007
117,11,6681,Kristina Savitskaya,RUS,10.06.91,1,Cheboksary,03.06.2012
118,11,6678,Jane Frederick,USA,07.04.52,4,Potsdam,21.07.1984
119,12,6677,Nafissatou Thiam,BEL,19.08.94,2,Ad-Dawhah,03.10.2019
120,12,6675,Eunice Barber,FRA,17.11.74,1,Talence,18.09.2005
121,12,6673,Irina Belova,RUS,27.03.68,1,Talence,05.09.1992
122,12,6672,Sabine Braun,GER,29.06.65,1,Tokyo,27.08.1991
123,12,6672,Adrianna Sulek,POL,03.04.99,4,Eugene,18.07.2022
124,12,6670,Ramona Neubert,GDR,26.07.58,1,Halle,24.05.1981
125,12,6669,Jessica Ennis-Hill,GBR,28.01.86,1,Beijing,23.08.2015
126,12,6667,Hyleas Fountain,USA,14.01.81,1,Eugene,28.06.2008
127,12,6667,Carolin Schäfer,GER,05.12.91,1,Ratingen,25.06.2017
128,12,6667,Erica Bougard,USA,26.07.93,3,Eugene,27.06.2021
129,13,6666,Jane Frederick,USA,07.04.52,1,Götzis,26.05.1985
