,0,1,2,3,4,5,6,7
0,1,2.09,Stefka Kostadinova,BUL,25.03.65,1,Roma,30.08.1987
1,2,2.08,Stefka Kostadinova,BUL,25.03.65,1,Sofia,31.05.1986
2,2,2.08,Blanka Vlasic,CRO,08.11.83,1,Zagreb,31.08.2009
3,4,2.07,Lyudmila Andonova,BUL,06.05.60,1,Berlin,20.07.1984
4,4,2.07,Stefka Kostadinova,BUL,25.03.65,1,Sofia,25.05.1986
5,4,2.07,Stefka Kostadinova,BUL,25.03.65,1,Cagliari,16.09.1987
6,4,2.07,Stefka Kostadinova,BUL,25.03.65,1,Sofia,03.09.1988
7,4,2.07,Blanka Vlasic,CRO,08.11.83,1,Stockholm,07.08.2007
8,4,2.07,Anna Chicherova,RUS,22.07.82,1,Cheboksary,22.07.2011
9,10,2.06,Stefka Kostadinova,BUL,25.03.65,1,Moskva,18.08.1985
10,10,2.06,Stefka Kostadinova,BUL,25.03.65,1,Fürth,15.06.1986
11,10,2.06,Stefka Kostadinova,BUL,25.03.65,1,Cagliari,14.09.1986
12,10,2.06,Stefka Kostadinova,BUL,25.03.65,1,Wörrstadt,06.06.1987
13,10,2.06,Stefka Kostadinova,BUL,25.03.65,1,Rieti,08.09.1987
14,10,2.06,Kajsa Bergqvist,SWE,12.10.76,1,Eberstadt,26.07.2003
15,10,2.06,Hestrie Cloete,RSA,26.08.78,1,Saint-Denis,31.08.2003
16,10,2.06,Yelena Slesarenko,RUS,28.02.82,1,Athínai,28.08.2004
17,10,2.06,Blanka Vlasic,CRO,08.11.83,1,Thessaloníki,30.07.2007
18,10,2.06,Blanka Vlasic,CRO,08.11.83,1,Istanbul,22.06.2008
19,10,2.06,Blanka Vlasic,CRO,08.11.83,1,Madrid,05.07.2008
20,10,2.06,Ariane Friedrich,GER,10.01.84,1,Berlin,14.06.2009
21,10,2.06,Mariya Lasitskene,RUS,14.01.93,1,Lausanne,06.07.2017
22,10,2.06,Mariya Lasitskene,RUS,14.01.93,1,Ostrava,20.06.2019
23,24,2.05,Tamara Bykova,RUS,21.12.58,1,Kyiv,22.06.1984
24,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,Wörrstadt,14.06.1986
25,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,Rieti,07.09.1986
26,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,Oslo,04.07.1987
27,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,Padova,13.09.1987
28,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,Budapest,12.08.1988
29,24,2.05,Heike Henkel,GER,05.05.64,1,Tokyo,31.08.1991
30,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,San Marino,04.07.1992
31,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,Fukuoka,18.09.1993
32,24,2.05,Inga Babakova,UKR,27.06.67,1,Tokyo,15.09.1995
33,24,2.05,Stefka Kostadinova,BUL,25.03.65,1,Atlanta,03.08.1996
34,24,2.05,Kajsa Bergqvist,SWE,12.10.76,1,Poznan,18.08.2002
35,24,2.05,Hestrie Cloete,RSA,26.08.78,1,Berlin,10.08.2003
36,24,2.05,Kajsa Bergqvist,SWE,12.10.76,1,London,28.07.2006
37,24,2.05,Blanka Vlasic,CRO,08.11.83,1,Madrid,21.07.2007
38,24,2.05,Blanka Vlasic,CRO,08.11.83,1,Osaka,02.09.2007
39,24,2.05,Blanka Vlasic,CRO,08.11.83,1,Ostrava,12.06.2008
40,24,2.05,Blanka Vlasic,CRO,08.11.83,1,Bydgoszcz,01.07.2008
41,24,2.05,Tia Hellebaut,BEL,16.02.78,1,Beijing,23.08.2008
42,24,2.05,Blanka Vlasic,CRO,08.11.83,2,Beijing,23.08.2008
43,24,2.05,Blanka Vlasic,CRO,08.11.83,1,Ad-Dawhah,08.05.2009
44,24,2.05,Chaunté Lowe,USA,12.01.84,1,Des Moines,26.06.2010
45,24,2.05,Blanka Vlasic,CRO,08.11.83,1,Split,05.09.2010
46,24,2.05,Anna Chicherova,RUS,22.07.82,1,Bruxelles,16.09.2011
47,24,2.05,Anna Chicherova,RUS,22.07.82,1,London,11.08.2012
48,24,2.05,Mariya Lasitskene,RUS,14.01.93,1,Monaco,21.07.2017
49,24,2.05,Mariya Lasitskene,RUS,14.01.93,1,Zürich,08.09.2021
50,24,2.05,Yaroslava Mahuchikh,UKR,19.09.01,1,Bruxelles,02.09.2022
51,52,2.04,Tamara Bykova,RUS,21.12.58,1,Pisa,25.08.1983
52,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Bruxelles,30.08.1985
53,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Rieti,04.09.1985
54,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Bern,20.08.1986
55,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Dráma,08.08.1987
56,52,2.04,Tamara Bykova,RUS,21.12.58,2,Roma,30.08.1987
57,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Formia,19.06.1988
58,52,2.04,Silvia Costa,CUB,04.05.64,1,Barcelona,09.09.1989
59,52,2.04,Heike Henkel,GER,05.05.64,1,Monaco,03.08.1991
60,52,2.04,Heike Henkel,GER,05.05.64,1,Wörrstadt,30.05.1992
61,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Stara Zagora,27.06.1992
62,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Wörrstadt,29.05.1993
63,52,2.04,Inga Babakova,UKR,27.06.67,1,Hechtel,22.07.1995
64,52,2.04,Stefka Kostadinova,BUL,25.03.65,1,Tokyo,16.09.1996
65,52,2.04,Hestrie Cloete,RSA,26.08.78,1,Monaco,04.08.1999
66,52,2.04,Venelina Veneva,BUL,13.06.74,1,Kalamáta,02.06.2001
67,52,2.04,Kajsa Bergqvist,SWE,12.10.76,1,Lausanne,02.07.2002
68,52,2.04,Yelena Slesarenko,RUS,28.02.82,1,Bydgoszcz,20.06.2004
69,52,2.04,Hestrie Cloete,RSA,26.08.78,1,Zürich,06.08.2004
70,52,2.04,Kajsa Bergqvist,SWE,12.10.76,1,Sollentuna,16.07.2006
71,52,2.04,Venelina Veneva,BUL,13.06.74,1,Zürich,18.08.2006
72,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Ad-Dawhah,11.05.2007
73,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Zürich,07.09.2007
74,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Oslo,06.06.2008
75,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Zagreb,09.09.2008
76,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Split,16.05.2009
77,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Banská Bystrica,21.06.2009
78,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Berlin,20.08.2009
79,52,2.04,Blanka Vlasic,CRO,08.11.83,1,Thessaloníki,13.09.2009
80,52,2.04,Chaunté Lowe,USA,12.01.84,1,Cottbus,30.05.2010
81,52,2.04,Irina Gordeyeva,RUS,09.10.86,1,Eberstadt,19.08.2012
82,52,2.04,Brigetta Barrett,USA,24.12.90,1,Des Moines,22.06.2013
83,52,2.04,Mariya Lasitskene,RUS,14.01.93,1,Hengelo,11.06.2017
84,52,2.04,Mariya Lasitskene,RUS,14.01.93,1,Paris,30.06.2018
85,52,2.04,Mariya Lasitskene,RUS,14.01.93,1,London,22.07.2018
86,52,2.04,Mariya Lasitskene,RUS,14.01.93,1,Palo Alto,30.06.2019
87,52,2.04,Mariya Lasitskene,RUS,14.01.93,1,Ad-Dawhah,30.09.2019
88,52,2.04,Yaroslava Mahuchikh,UKR,19.09.01,2,Ad-Dawhah,30.09.2019
89,52,2.04,Mariya Lasitskene,RUS,14.01.93,1,Tokyo,07.08.2021
90,91,2.03,Ulrike Meyfarth,FRG,04.05.56,1,London,21.08.1983
91,91,2.03,Tamara Bykova,RUS,21.12.58,2,London,21.08.1983
92,91,2.03,Tamara Bykova,RUS,21.12.58,1,Moskva,06.08.1984
93,91,2.03,Lyudmila Andonova,BUL,06.05.60,1,Rieti,02.09.1984
94,91,2.03,Stefka Kostadinova,BUL,25.03.65,1,Moskva,07.07.1986
95,91,2.03,Stefka Kostadinova,BUL,25.03.65,1,Formia,11.08.1987
96,91,2.03,Stefka Kostadinova,BUL,25.03.65,1,Sofia,22.05.1988
97,91,2.03,Louise Ritter,USA,18.02.58,1,Austin,08.07.1988
98,91,2.03,Silvia Costa,CUB,04.05.64,1,Köln,20.08.1989
99,91,2.03,Stefka Kostadinova,BUL,25.03.65,1,Padova,15.09.1991
100,91,2.03,Stefka Kostadinova,BUL,25.03.65,1,Sevilla,06.06.1992
101,91,2.03,Heike Henkel,GER,05.05.64,1,München,20.06.1992
102,91,2.03,Heike Henkel,GER,05.05.64,1,Hengelo,28.06.1992
103,91,2.03,Heike Henkel,GER,05.05.64,1,Ingolstadt,19.07.1992
104,91,2.03,Inga Babakova,UKR,27.06.67,1,Nikipol,03.05.1995
105,91,2.03,Inga Babakova,UKR,27.06.67,1,Wörrstadt,27.05.1995
106,91,2.03,Inga Babakova,UKR,27.06.67,1,Bratislava,30.05.1995
107,91,2.03,Tatyana Motkova,RUS,26.10.68,2,Bratislava,30.05.1995
108,91,2.03,Inga Babakova,UKR,27.06.67,1,Monaco,09.09.1995
