,0,1,2,3,4,5,6
0,1,2.05,Heike Henkel,GER,05.05.64,Karlsruhe,08.02.1992
1,1,2.05,Kajsa Bergqvist,SWE,12.10.76,Arnstadt,04.02.2006
2,3,2.03,Kajsa Bergqvist,SWE,12.10.76,Arnstadt,04.02.2006
3,3,2.03,Blanka Vlasic,CRO,08.11.83,Banská Bystrica,14.02.2006
4,3,2.03,Tia Hellebaut,BEL,16.02.78,Birmingham,03.03.2007
5,3,2.03,Ariane Friedrich,GER,10.01.84,Karlsruhe,15.02.2009
6,3,2.03,Anna Chicherova,RUS,22.07.82,Arnstadt,04.02.2012
7,3,2.03,Yaroslava Mahuchikh,UKR,19.09.01,Banská Bystrica,02.02.2021
8,9,2.02,Tamara Bykova,RUS,21.12.58,Budapest,06.03.1983
9,9,2.02,Stefka Kostadinova,BUL,25.03.65,Indianapolis,08.03.1987
10,9,2.02,Anna Chicherova,RUS,22.07.82,Arnstadt,07.02.2004
11,9,2.02,Yelena Slesarenko,RUS,28.02.82,Budapest,07.03.2004
12,9,2.02,Blanka Vlasic,CRO,08.11.83,Weinheim,27.02.2008
13,9,2.02,Blanka Vlasic,CRO,08.11.83,Arnstadt,06.02.2010
14,9,2.02,Antonietta Di Martino,ITA,01.06.78,Banská Bystrica,09.02.2011
15,16,2.01,Heike Henkel,GER,05.05.64,Berlin,21.02.1992
16,16,2.01,Alina Astafei,ROU,07.06.69,Stuttgart,05.02.1995
17,16,2.01,Alina Astafei,GER,07.06.69,Berlin,03.03.1995
18,16,2.01,Marina Kuptsova,RUS,22.12.81,Wien,02.03.2002
19,16,2.01,Anna Chicherova,RUS,22.07.82,Yekaterinburg,07.01.2003
20,16,2.01,Kajsa Bergqvist,SWE,12.10.76,Stockholm,18.02.2003
21,16,2.01,Kajsa Bergqvist,SWE,12.10.76,Arnstadt,04.02.2006
22,16,2.01,Tia Hellebaut,BEL,16.02.78,Birmingham,03.03.2007
23,16,2.01,Blanka Vlasic,CRO,08.11.83,Arnstadt,02.02.2008
24,16,2.01,Blanka Vlasic,CRO,08.11.83,Valencia,09.03.2008
25,16,2.01,Blanka Vlasic,CRO,08.11.83,Rijeka,26.01.2009
