,0,1,2,3,4,5,6
0,1,7.25,Heike Drechsler,GER,16.12.64,Berlin,25.01.1986
1,2,7.22,Heike Drechsler,GER,16.12.64,Budapest,05.03.1988
2,3,7.21,Galina Chistyakova,RUS,26.07.62,Volgograd,10.02.1988
3,4,7.2,Heike Drechsler,GER,16.12.64,New York City,27.02.1987
4,4,7.2,Heike Drechsler,GER,16.12.64,Budapest,05.03.1988
5,6,7.18,Heike Drechsler,GER,16.12.64,Madrid,22.02.1986
6,7,7.17,Heike Drechsler,GER,16.12.64,Budapest,05.03.1988
7,7,7.17,Ivana Vuleta,SRB,10.05.90,Beograd,05.03.2017
8,9,7.16,Heike Drechsler,GER,16.12.64,Senftenberg,15.02.1986
9,9,7.16,Heike Drechsler,GER,16.12.64,Madrid,22.02.1986
10,9,7.16,Ivana Vuleta,SRB,10.05.90,Beograd,05.03.2017
11,12,7.15,Yelena Khlopotnova,UKR,04.08.63,Kishinyov,16.02.1985
12,12,7.15,Heike Drechsler,GER,16.12.64,Senftenberg,15.02.1986
13,12,7.15,Galina Chistyakova,RUS,26.07.62,Budapest,05.03.1988
14,12,7.15,Heike Drechsler,GER,16.12.64,Sindelfingen,06.03.1994
15,16,7.14,Galina Chistyakova,RUS,26.07.62,Budapest,05.03.1988
16,17,7.13,Galina Chistyakova,RUS,26.07.62,Kishinyov,16.02.1985
17,17,7.13,Galina Chistyakova,RUS,26.07.62,Lipetsk,28.01.1989
18,17,7.13,Heike Drechsler,GER,16.12.64,Dortmund,17.02.1991
19,20,7.12,Heike Drechsler,GER,16.12.64,Berlin,20.02.1988
20,20,7.12,Heike Drechsler,GER,16.12.64,Stuttgart,06.02.1994
21,22,7.11,Galina Chistyakova,RUS,26.07.62,Kishinyov,16.02.1985
22,22,7.11,Yelena Khlopotnova,UKR,04.08.63,Kishinyov,02.03.1985
23,22,7.11,Heike Drechsler,GER,16.12.64,Berlin,20.02.1988
24,25,7.1,Larisa Berezhnaya,UKR,28.02.61,Gomel,04.02.1989
25,26,7.09,Heike Drechsler,GER,16.12.64,Senftenberg,15.02.1986
26,26,7.09,Heike Drechsler,GER,16.12.64,Maebashi,13.02.1994
27,28,7.08,Heike Drechsler,GER,16.12.64,Stuttgart,06.02.1994
28,29,7.07,Yelena Khlopotnova,UKR,04.08.63,Kishinyov,16.02.1985
29,29,7.07,Yelena Khlopotnova,UKR,04.08.63,Kishinyov,02.03.1985
30,29,7.07,Heike Drechsler,GER,16.12.64,Berlin,20.02.1988
31,32,7.05,Yelena Khlopotnova,UKR,04.08.63,Kishinyov,16.02.1985
32,32,7.05,Heike Drechsler,GER,16.12.64,Madrid,22.02.1986
33,32,7.05,Heike Drechsler,GER,16.12.64,Dortmund,17.02.1991
34,35,7.04,Heike Drechsler,GER,16.12.64,Liévin,21.02.1987
35,35,7.04,Galina Chistyakova,RUS,26.07.62,Moskva,20.01.1989
36,35,7.04,Heike Drechsler,GER,16.12.64,Genova,18.02.1992
37,35,7.04,Heike Drechsler,GER,16.12.64,Stuttgart,06.02.1994
38,35,7.04,Heike Drechsler,GER,16.12.64,Maebashi,13.02.1994
39,40,7.03,Heike Drechsler,GER,16.12.64,Indianapolis,07.03.1987
