,0,1,2,3,4,5,6,7
0,1,7.47A,3.1,Heike Drechsler,GER,16.12.64,Sestriere,21.07.1992
1,2,7.39A,3.1,Heike Drechsler,GER,16.12.64,Sestriere,21.07.1992
2,3,7.38,2.2,Galina Chistyakova,RUS,26.07.62,Leningrad,11.06.1988
3,4,7.36A,2.1,Jackie Joyner-Kersee,USA,03.03.62,Sestriere,31.07.1994
4,5,7.35,3.1,Heike Drechsler,GER,16.12.64,Tallinn,21.06.1986
5,5,7.35,,Galina Chistyakova,RUS,26.07.62,Volgograd,11.06.1989
6,5,7.35,3.6,Heike Drechsler,GER,16.12.64,Sevilla,06.06.1992
7,8,7.33A,3.1,Heike Drechsler,GER,16.12.64,Sestriere,31.07.1991
8,9,7.30,,Heike Drechsler,GER,16.12.64,Oslo,04.07.1987
9,10,7.28,2.5,Heike Drechsler,GER,16.12.64,Dresden,02.08.1985
10,10,7.28,,Galina Chistyakova,RUS,26.07.62,Budapest,12.08.1988
11,12,7.26,2.8,Heike Drechsler,GER,16.12.64,Helsinki,14.08.1983
12,12,7.26,,Heike Drechsler,GER,16.12.64,Padova,15.09.1991
13,14,7.25,2.1,Heike Drechsler,GER,16.12.64,Jena,28.06.1986
14,15,7.24A,2.1,Heike Drechsler,GER,16.12.64,Sestriere,21.07.1992
15,16,7.23,3.2,Galina Chistyakova,RUS,26.07.62,Tallinn,21.06.1986
16,16,7.23A,,Jackie Joyner-Kersee,USA,03.03.62,San José,28.05.1994
17,16,7.23A,2.2,Heike Drechsler,GER,16.12.64,Sestriere,31.07.1994
18,19,7.21,,Galina Chistyakova,RUS,26.07.62,Volgograd,11.06.1989
19,20,7.20,2.6,Yelena Belevskaya,BLR,11.10.63,Leningrad,11.06.1988
20,20,7.20,,Heike Drechsler,GER,16.12.64,Malmö,07.08.1990
21,22,7.19,2.3,Heike Drechsler,GER,16.12.64,Frankfurt,30.06.1991
22,23,7.17A,3.9,Fiona May,ITA,12.12.69,Sestriere,29.07.1995
23,24,7.16,5.5,Heike Drechsler,GER,16.12.64,Helsinki,14.08.1983
24,24,7.16,,Heike Drechsler,GER,16.12.64,Neubrandenburg,09.07.1988
25,24,7.16,2.9,Heike Drechsler,GER,16.12.64,Budapest,22.08.1998
26,27,7.15,5.5,Tatyana Kotova,RUS,11.12.76,Madrid,16.07.2005
27,28,7.14,,Helga Radtke,GER,16.05.62,Jena,12.06.1985
28,28,7.14,4.4,Yelena Sinchukova,RUS,23.01.61,Kyiv,11.07.1991
29,30,7.13,4.6,Eva Murková,SVK,29.05.62,Nitra,26.08.1984
30,30,7.13,,Heike Drechsler,GER,16.12.64,Tallinn,21.06.1986
31,30,7.13,,Galina Chistyakova,RUS,26.07.62,Budapest,12.08.1988
32,33,7.12,,Galina Chistyakova,RUS,26.07.62,Volgograd,11.06.1989
33,33,7.12,,Heike Drechsler,GER,16.12.64,Chemnitz,18.06.1994
34,35,7.11,4.2,Heike Drechsler,GER,16.12.64,Villeneuve d'Ascq,06.07.1992
