,0,1,2,3,4,5,6,7
0,1,80.0,Petra Meier,GER,30.07.59,1,Potsdam,09.09.1988
1,2,78.9,Petra Meier,GER,30.07.59,1,Leipzig,29.07.1987
2,3,78.14,Petra Meier,GER,30.07.59,1,Jena,03.06.1988
3,4,77.52,Petra Meier,GER,30.07.59,1,Tokyo,08.10.1988
4,5,77.44,Fatima Whitbread,GBR,03.03.61,q,Stuttgart,28.08.1986
5,6,76.88,Petra Meier,GER,30.07.59,1,Macerata,05.09.1989
6,7,76.82,Petra Meier,GER,30.07.59,1,Düsseldorf,19.06.1988
7,8,76.8,Petra Meier,GER,30.07.59,1,Haniá,22.05.1988
8,9,76.76,Petra Meier,GER,30.07.59,1,Berlin,27.08.1988
9,10,76.64,Fatima Whitbread,GBR,03.03.61,1,Roma,06.09.1987
10,11,76.5,Petra Meier,GER,30.07.59,1,Rostock,29.05.1988
11,12,76.34,Fatima Whitbread,GBR,03.03.61,1,Oslo,04.07.1987
12,13,76.32,Fatima Whitbread,GBR,03.03.61,1,Stuttgart,29.08.1986
13,14,75.72,Petra Meier,GER,30.07.59,1,Granada,17.06.1989
14,15,75.62,Fatima Whitbread,GBR,03.03.61,1,Derby,25.05.1987
15,16,75.4,Petra Meier,GER,30.07.59,1,Schwerin,04.06.1985
16,17,75.16,Petra Meier,GER,30.07.59,1,Oslo,02.07.1988
17,18,75.04,Petra Meier,GER,30.07.59,1,Dresden,17.08.1986
18,19,74.94,Petra Meier,GER,30.07.59,1,Erfurt,22.06.1985
19,20,74.92,Petra Meier,GER,30.07.59,1,Berlin,29.06.1988
20,21,74.9,Petra Meier,GER,30.07.59,1,Berlin,27.06.1985
21,22,74.76,Tiina Lillak,FIN,15.04.61,1,Tampere,13.06.1983
22,23,74.74,Fatima Whitbread,GBR,03.03.61,1,Crawley,26.08.1987
23,24,74.72,Petra Meier,GER,30.07.59,1,Celje,05.05.1984
24,25,74.7,Petra Meier,GER,30.07.59,1,Berlin,22.09.1985
25,26,74.68,Petra Meier,GER,30.07.59,1,Seoul,26.09.1988
26,27,74.62,Petra Meier,GER,30.07.59,1,Berlin,13.09.1988
27,28,74.56,Petra Meier,GER,30.07.59,1,Berlin,23.08.1985
28,29,74.32,Petra Meier,GER,30.07.59,1,Neubrandenburg,11.06.1987
29,30,74.24,Tiina Lillak,FIN,15.04.61,1,Fresno,07.04.1984
30,30,74.24,Petra Meier,GER,30.07.59,1,Potsdam,21.07.1984
31,32,74.2,Sofia Sakorafa,GRE,29.04.57,1,Haniá,26.09.1982
32,33,74.14,Tiina Lillak,FIN,15.04.61,1,Pori,02.07.1983
33,34,74.1,Petra Meier,GER,30.07.59,1,Berlin,20.08.1986
34,35,74.02,Petra Meier,GER,30.07.59,1,Leningrad,12.06.1988
35,36,73.94,Petra Meier,GER,30.07.59,1,Nanjing,20.09.1987
36,37,73.92,Tiina Lillak,FIN,15.04.61,1,Lappeenranta,18.06.1983
37,38,73.86,Petra Meier,GER,30.07.59,1,Rostock,25.06.1988
38,38,73.86,Petra Meier,GER,30.07.59,1,Helsinki,30.06.1988
39,40,73.8,Tiina Lillak,FIN,15.04.61,1,Thessaloníki,23.09.1983
40,41,73.78,Petra Meier,GER,30.07.59,1,Dresden,15.08.1987
41,42,73.74,Petra Meier,GER,30.07.59,1,Praha,28.08.1984
42,43,73.58,Tessa Sanderson,GBR,14.03.56,1,Edinburgh,26.06.1983
43,44,73.54,Petra Meier,GER,30.07.59,1,Umeå,02.09.1986
44,45,73.32,Fatima Whitbread,GBR,03.03.61,1,Portsmouth,20.06.1987
45,46,73.3,Petra Meier,GER,30.07.59,1,Praha,16.08.1984
46,46,73.3,Tiina Lillak,FIN,15.04.61,1,Lappeenranta,10.09.1988
47,48,73.28,Petra Meier,GER,30.07.59,1,München,09.09.1987
48,49,73.22,Petra Meier,GER,30.07.59,1,Hangzhou,23.09.1987
49,50,73.2,Petra Meier,GER,30.07.59,1,Moskva,17.08.1985
50,51,73.08,Petra Meier,GER,30.07.59,1,Berlin,02.04.1986
51,51,73.08,Petra Meier,GER,30.07.59,1,Manaus,26.03.1990
52,53,73.02,Petra Meier,GER,30.07.59,1,Berlin,30.07.1989
53,54,72.98,Fatima Whitbread,GBR,03.03.61,1,Limassol,31.08.1985
54,54,72.98,Fatima Whitbread,GBR,03.03.61,1,London,10.07.1987
55,56,72.96,Petra Meier,GER,30.07.59,1,Leipzig,11.08.1985
56,56,72.96,Fatima Whitbread,GBR,03.03.61,1,Birmingham,25.07.1987
57,58,72.86,Petra Meier,GER,30.07.59,1,Tokyo,14.09.1984
58,59,72.82,Petra Meier,GER,30.07.59,1,Birmingham,07.07.1985
59,60,72.74,Petra Meier,GER,30.07.59,1,Stockholm,01.07.1986
60,61,72.7,Anna Verouli,GRE,13.11.56,1,Haniá,20.05.1984
61,62,72.68,Petra Meier,GER,30.07.59,2,Oslo,04.07.1987
62,63,72.66,Tiina Lillak,FIN,15.04.61,1,Stockholm,04.09.1983
63,64,72.64,Anna Verouli,GRE,13.11.56,1,Thessaloníki,01.06.1984
64,65,72.62,Petra Meier,GER,30.07.59,q,Stuttgart,28.08.1986
65,66,72.58,Tiina Lillak,FIN,15.04.61,1,Vantaa,09.06.1983
66,67,72.56,Petra Meier,GER,30.07.59,1,Neubrandenburg,07.06.1985
67,68,72.52,Petra Meier,GER,30.07.59,2,Stuttgart,29.08.1986
68,69,72.42,Tiina Lillak,FIN,15.04.61,1,Ilsalmi,17.08.1986
69,70,72.4,Tiina Lillak,FIN,15.04.61,1,Helsinki,29.07.1982
70,70,72.4,Fatima Whitbread,GBR,03.03.61,1,Dartford,29.08.1987
71,72,72.38,Tiina Lillak,FIN,15.04.61,1,Espoo,07.06.1983
72,73,72.36,Tiina Lillak,FIN,15.04.61,1,Berlin,17.08.1983
73,74,72.3,Petra Meier,GER,30.07.59,1,Potsdam,22.08.1987
74,75,72.28,Sofia Sakorafa,GRE,29.04.57,1,Oslo,09.07.1983
75,76,72.26,Fatima Whitbread,GBR,03.03.61,1,Gateshead,05.08.1986
76,77,72.22,Fatima Whitbread,GBR,03.03.61,1,London,14.08.1987
77,78,72.18,Fatima Whitbread,GBR,03.03.61,1,London,08.08.1986
78,78,72.18,Fatima Whitbread,GBR,03.03.61,1,Bruxelles,05.09.1986
79,80,72.16,Antje Zöllkau,GER,23.06.63,1,Celje,05.05.1984
80,81,72.12,Fatima Whitbread,GBR,03.03.61,1,Oslo,27.06.1985
81,81,72.12,Trine Hattestad,NOR,18.04.66,1,Oslo,10.07.1993
82,83,72.04,Petra Meier,GER,30.07.59,1,Berlin,25.08.1987
83,84,72.02,Petra Meier,GER,30.07.59,1,Berlin,15.07.1984
84,85,72.0,Sofia Sakorafa,GRE,29.04.57,1,Haniá,22.05.1983
85,86,71.98,Sofia Sakorafa,GRE,29.04.57,1,Amaroussien,05.06.1983
86,86,71.98,Tiina Lillak,FIN,15.04.61,1,Helsinki,06.07.1983
87,88,71.96,Fatima Whitbread,GBR,03.03.61,1,Birmingham,19.08.1986
88,89,71.94,Petra Meier,GER,30.07.59,1,Oslo,01.07.1989
89,90,71.9,Fatima Whitbread,GBR,03.03.61,2,Moskva,17.08.1985
90,91,71.88,Antoaneta Todorova,BUL,08.06.63,1,Zagreb,15.08.1981
91,92,71.86,Fatima Whitbread,GBR,03.03.61,1,Limassol,29.04.1984
92,92,71.86,Petra Meier,GER,30.07.59,1,Berlin,30.08.1989
93,94,71.84,Petra Meier,GER,30.07.59,1,Dresden,03.08.1985
94,95,71.82,Ivonne Leal,CUB,27.02.66,1,Kobe,30.08.1985
95,96,71.78,Fatima Whitbread,GBR,03.03.61,1,Gateshead,27.06.1986
96,97,71.76,Petra Meier,GER,30.07.59,2,Roma,06.09.1987
97,98,71.74,Antje Zöllkau,GER,23.06.63,2,Potsdam,21.07.1984
98,99,71.7,Tessa Sanderson,GBR,14.03.56,1,Crawley,16.07.1988
99,10,71.66,Petra Meier,GER,30.07.59,1,Neubrandenburg,10.07.1988
100,10,71.6,Petra Meier,GER,30.07.59,1,Stockholm,05.07.1988
101,10,71.58,Fatima Whitbread,GBR,03.03.61,1,Budapest,11.08.1986
102,10,71.52,Sofia Sakorafa,GRE,29.04.57,1,London,17.09.1982
103,10,71.5,Tiina Lillak,FIN,15.04.61,1,Pihtipudas,24.07.1983
104,10,71.5,Petra Meier,GER,30.07.59,1,Sydney,28.09.1985
105,10,71.44,Trine Hattestad,NOR,18.04.66,1,Fana,03.08.1991
106,10,71.4,Petra Meier,GER,30.07.59,1,Zürich,13.08.1986
107,10,71.4,Natalya Shikolenko,BLR,01.08.64,1,Sevilla,05.06.1994
108,10,71.4,Natalya Shikolenko,BLR,01.08.64,1,London,15.07.1994
109,11,71.38,Fatima Whitbread,GBR,03.03.61,1,Belfast,30.06.1986
110,11,71.38,Fatima Whitbread,GBR,03.03.61,1,Gateshead,13.06.1987
111,11,71.34,Tiina Lillak,FIN,15.04.61,1,Stockholm,26.07.1983
112,11,71.32,Trine Hattestad,NOR,18.04.66,1,Oslo,22.07.1994
113,11,71.28,Sofia Sakorafa,GRE,29.04.57,1,Izmir,26.06.1983
114,11,71.28,Fatima Whitbread,GBR,03.03.61,1,Belfast,24.06.1985
115,11,71.28,Tiina Lillak,FIN,15.04.61,1,Kokkola,10.06.1986
116,11,71.26,Petra Meier,GER,30.07.59,1,Praha,27.06.1987
117,11,71.2,Petra Meier,GER,30.07.59,1,Karl-Marx-Stad,21.06.1987
118,11,71.18,Tessa Sanderson,GBR,14.03.56,1,Madrid,14.06.1985
119,11,71.18,Petra Meier,GER,30.07.59,1,Dresden,03.07.1986
120,11,71.18,Natalya Shikolenko,BLR,01.08.64,1,Zürich,16.08.1995
121,12,71.12,Trine Hattestad,NOR,18.04.66,2,Oslo,01.07.1989
122,12,71.1,Tiina Lillak,FIN,15.04.61,1,Bruxelles,26.08.1983
123,12,71.08,Trine Hattestad,NOR,18.04.66,2,London,15.07.1994
124,12,71.0,Antje Zöllkau,GER,23.06.63,1,Sofia,22.05.1983
125,12,71.0,Silke Renk,GER,30.06.67,2,Rostock,25.06.1988
126,12,70.94,Petra Meier,GER,30.07.59,1,Schwerin,03.06.1987
127,12,70.9,Anna Verouli,GRE,13.11.56,2,Bruxelles,26.08.1983
128,12,70.9,Petra Meier,GER,30.07.59,1,Helsinki,29.06.1989
129,13,70.88,Petra Meier,GER,30.07.59,1,Villeneuve d'A,29.06.1990
130,13,70.86,Fatima Whitbread,GBR,03.03.61,1,Grimstad,04.06.1987
131,13,70.84,Fatima Whitbread,GBR,03.03.61,1,Crawley,24.08.1986
132,13,70.82,Tessa Sanderson,GBR,14.03.56,1,Birmingham,05.06.1983
133,13,70.82,Tiina Lillak,FIN,15.04.61,1,Helsinki,13.08.1983
134,13,70.78,Petra Meier,GER,30.07.59,1,Moskva,08.07.1986
135,13,70.78,Fatima Whitbread,GBR,03.03.61,1,Birmingham,17.07.1987
136,13,70.76,Beate Koch,GER,18.08.67,1,Rostock,22.06.1989
137,13,70.74,Fatima Whitbread,GBR,03.03.61,1,Nice,15.07.1986
138,13,70.64,Petra Meier,GER,30.07.59,1,Roma,10.09.1986
139,14,70.62,Tiina Lillak,FIN,15.04.61,1,Pihtipudas,21.07.1985
140,14,70.6,Sofia Sakorafa,GRE,29.04.57,1,Schwechat,17.06.1983
141,14,70.6,Petra Meier,GER,30.07.59,1,Karl-Marx-Stad,20.05.1984
142,14,70.58,Antje Zöllkau,GER,23.06.63,1,Erfurt,12.05.1984
143,14,70.56,Petra Meier,GER,30.07.59,2,Rostock,22.06.1989
144,14,70.48,Ivonne Leal,CUB,27.02.66,1,La Habana,27.02.1988
145,14,70.44,Trine Hattestad,NOR,18.04.66,1,Berlin,27.08.1993
146,14,70.44,Trine Hattestad,NOR,18.04.66,1,Köln,21.08.1994
147,14,70.42,Tiina Lillak,FIN,15.04.61,2,Berlin,23.08.1985
148,14,70.42,Zhang Li,CHN,26.06.61,1,Tianjin,06.08.1990
149,14,70.42,Petra Meier,GER,30.07.59,1,Bruxelles,10.08.1990
150,15,70.4,Petra Meier,GER,30.07.59,1,Dresden,26.07.1984
151,15,70.38,Sofia Sakorafa,GRE,29.04.57,1,London,15.07.1983
152,15,70.36,Anna Verouli,GRE,13.11.56,1,Athínai,27.06.1984
153,15,70.36,Tiina Lillak,FIN,15.04.61,1,Pihtipudas,13.07.1986
154,15,70.36,Natalya Shikolenko,BLR,01.08.64,1,Moskva,22.06.1992
