,0,1,2,3,4,5,6
0,1.0,77.62,Petra Meier,GER,30.07.59,Potsdam,09.09.1988
1,2.0,77.16,Petra Meier,GER,30.07.59,Potsdam,09.09.1988
2,3.0,76.22,Petra Meier,GER,30.07.59,Macerata,05.09.1989
3,4.0,75.26,Petra Meier,GER,30.07.59,Schwerin,04.06.1985
4,5.0,75.2,Petra Meier,GER,30.07.59,Jena,03.06.1988
5,6.0,75.18,Petra Meier,GER,30.07.59,Jena,03.06.1988
6,7.0,74.96,Petra Meier,GER,30.07.59,Macerata,05.09.1989
7,8.0,74.86,Petra Meier,GER,30.07.59,Berlin,29.06.1988
8,9.0,74.82,Petra Meier,GER,30.07.59,Dresden,17.08.1986
9,10.0,74.74,Petra Meier,GER,30.07.59,Oslo,02.07.1988
10,11.0,74.32,Petra Meier,GER,30.07.59,Erfurt,22.06.1985
11,11.0,74.32,Petra Meier,GER,30.07.59,Berlin,27.06.1985
12,13.0,74.28,Fatima Whitbread,GBR,03.03.61,Oslo,04.07.1987
13,14.0,74.14,Petra Meier,GER,30.07.59,Haniá,22.05.1988
14,15.0,74.02,Petra Meier,GER,30.07.59,Düsseldorf,19.06.1988
15,16.0,73.94,Petra Meier,GER,30.07.59,Jena,03.06.1988
16,17.0,73.92,Petra Meier,GER,30.07.59,Düsseldorf,19.06.1988
17,17.0,73.92,Petra Meier,GER,30.07.59,Potsdam,09.09.1988
18,19.0,73.66,Petra Meier,GER,30.07.59,Leningrad,12.06.1988
19,20.0,73.52,Petra Meier,GER,30.07.59,Schwerin,04.06.1985
20,21.0,73.5,Petra Meier,GER,30.07.59,Berlin,27.06.1985
21,22.0,73.46,Petra Meier,GER,30.07.59,Neubrandenburg,11.06.1987
22,23.0,73.34,Petra Meier,GER,30.07.59,Berlin,13.09.1988
23,24.0,73.32,Petra Meier,GER,30.07.59,Jena,03.06.1988
24,25.0,73.24,Petra Meier,GER,30.07.59,Berlin,23.08.1985
25,26.0,73.2,Petra Meier,GER,30.07.59,Erfurt,22.06.1985
26,27.0,73.16,Fatima Whitbread,GBR,03.03.61,Roma,06.09.1987
27,28.0,73.06,Petra Meier,GER,30.07.59,Berlin,02.04.1986
28,29.0,72.98,Petra Meier,GER,30.07.59,Leipzig,29.07.1987
29,30.0,72.94,Petra Meier,GER,30.07.59,Celje,05.05.1984
30,30.0,72.94,Petra Meier,GER,30.07.59,Moskva,17.08.1985
31,32.0,72.82,Petra Meier,GER,30.07.59,Leningrad,12.06.1988
32,33.0,72.76,Tiina Lillak,FIN,15.04.61,Lappeenranta,18.06.1983
33,34.0,72.7,Petra Meier,GER,30.07.59,Hangzhou,23.09.1987
34,34.0,72.7,Petra Meier,GER,30.07.59,Hangzhou,23.09.1987
35,34.0,72.7,Petra Meier,GER,30.07.59,Berlin,29.06.1988
36,37.0,72.68,Fatima Whitbread,GBR,03.03.61,Stuttgart,29.08.1986
37,38.0,72.64,Petra Meier,GER,30.07.59,Celje,05.05.1984
38,39.0,72.62,Petra Meier,GER,30.07.59,Umeå,02.09.1986
39,39.0,72.62,Petra Meier,GER,30.07.59,Düsseldorf,19.06.1988
40,39.0,72.62,Petra Meier,GER,30.07.59,Seoul,26.09.1988
41,42.0,72.56,Petra Meier,GER,30.07.59,Schwerin,04.06.1985
42,43.0,72.5,Fatima Whitbread,GBR,03.03.61,Birmingham,25.07.1987
43,44.0,72.44,Petra Meier,GER,30.07.59,Tokyo,08.10.1988
44,45.0,72.4,Petra Meier,GER,30.07.59,Umeå,02.09.1986
45,46.0,72.28,Petra Meier,GER,30.07.59,Erfurt,22.06.1985
46,46.0,72.28,Petra Meier,GER,30.07.59,Nanjing,20.09.1987
