,0,1,2,3,4,5,6,7,8
0,1,5.06,Yelena Isinbayeva,RUS,03.06.82,1,Zürich,,28.08.2009
1,2,5.05,Yelena Isinbayeva,RUS,03.06.82,1,Beijing,,18.08.2008
2,3,5.04,Yelena Isinbayeva,RUS,03.06.82,1,Monaco,,29.07.2008
3,4,5.03,Yelena Isinbayeva,RUS,03.06.82,1,Roma,,11.07.2008
4,5,5.01,Yelena Isinbayeva,RUS,03.06.82,1,Helsinki,,12.08.2005
5,5,5.01,Anzhelika Sidorova,RUS,28.06.91,1,Zürich,,09.09.2021
6,7,5.0,Yelena Isinbayeva,RUS,03.06.82,1,London,,22.07.2005
7,7,5.0,Sandi Morris,USA,08.07.92,1,Bruxelles,,09.09.2016
8,9,4.95,Yelena Isinbayeva,RUS,03.06.82,1,Madrid,,16.07.2005
9,9,4.95,Sandi Morris,USA,08.07.92,1,Greenville,,27.07.2018
10,9,4.95,Anzhelika Sidorova,RUS,28.06.91,1,Ad-Dawhah,,29.09.2019
11,9,4.95,Katie Moon,USA,13.06.91,1,Eugene,,26.06.2021
12,13,4.94,Eliza McCartney,NZL,11.12.96,1,Jockgrim,,17.07.2018
13,14,4.93,Yelena Isinbayeva,RUS,03.06.82,1,Lausanne,,05.07.2005
14,14,4.93,Yelena Isinbayeva,RUS,03.06.82,1,Bruxelles,,26.08.2005
15,14,4.93,Yelena Isinbayeva,RUS,03.06.82,1,London,,25.07.2008
16,14,4.93,Sandi Morris,USA,08.07.92,1,Houston,,23.07.2016
17,14,4.93,Jennifer Suhr,USA,06.02.82,1,Austin,,14.04.2018
18,14,4.93,Katie Moon,USA,13.06.91,1,Marietta,,23.05.2021
19,20,4.92,Yelena Isinbayeva,RUS,03.06.82,1,Bruxelles,,03.09.2004
20,20,4.92,Jennifer Suhr,USA,06.02.82,1,Eugene,,06.07.2008
21,20,4.92,Eliza McCartney,NZL,11.12.96,1,Mannheim,,23.06.2018
22,20,4.92,Katie Moon,USA,13.06.91,1,Marietta,,01.08.2020
23,24,4.91,Yelena Isinbayeva,RUS,03.06.82,1,Athínai,,25.08.2004
24,24,4.91,Yelena Isinbayeva,RUS,03.06.82,1,London,,28.07.2006
25,24,4.91,Yelena Isinbayeva,RUS,03.06.82,1,Saint-Denis,,06.07.2007
26,24,4.91,Jennifer Suhr,USA,06.02.82,1,Rochester,,26.07.2011
27,24,4.91,Yarisley Silva,CUB,01.06.87,1,Beckum,,02.08.2015
28,24,4.91,Ekateríni Stefanídi,GRE,04.02.90,1,London,,06.08.2017
29,24,4.91,Jennifer Suhr,USA,06.02.82,1,Austin,,30.03.2019
30,24,4.91,Anzhelika Sidorova,RUS,28.06.91,1,Firenze,,10.06.2021
31,24,4.91,Anzhelika Sidorova,RUS,28.06.91,1,Cheboksary,,02.08.2022
32,33,4.9,Yelena Isinbayeva,RUS,03.06.82,1,London,,30.07.2004
33,33,4.9,Yelena Isinbayeva,RUS,03.06.82,1,Lausanne,,11.07.2006
34,33,4.9,Yelena Isinbayeva,RUS,03.06.82,1,Roma,,13.07.2007
35,33,4.9,Jennifer Suhr,USA,06.02.82,1,Carson,,18.05.2008
36,33,4.9,Yarisley Silva,CUB,01.06.87,1,Hengelo,,08.06.2013
37,33,4.9,Yarisley Silva,CUB,01.06.87,1,Beijing,,26.08.2015
38,33,4.9,Yelena Isinbayeva,RUS,03.06.82,1,Cheboksary,,21.06.2016
39,33,4.9,Sandi Morris,USA,08.07.92,2,Ad-Dawhah,,29.09.2019
40,33,4.9,Holly Bradshaw,GBR,02.11.91,1,Manchester,,26.06.2021
41,33,4.9,Katie Moon,USA,13.06.91,1,Monaco,,09.07.2021
42,33,4.9,Katie Moon,USA,13.06.91,1,Tokyo,,05.08.2021
43,44,4.89,Yelena Isinbayeva,RUS,03.06.82,1,Birmingham,,25.07.2004
44,44,4.89,Jennifer Suhr,USA,06.02.82,1,Des Moines,,27.06.2010
45,44,4.89,Yelena Isinbayeva,RUS,03.06.82,1,Moskva,,13.08.2013
46,47,4.88,Svetlana Feofanova,RUS,16.07.80,1,Iráklio,,04.07.2004
47,47,4.88,Jennifer Suhr,USA,06.02.82,1,New York City,,02.06.2007
