,0,1,2,3,4,5,6
0,1.0,4.96,Yelena Isinbayeva,RUS,03.06.82,London,22.07.2005
1,1.0,4.96,Anzhelika Sidorova,RUS,28.06.91,Zürich,09.09.2021
2,3.0,4.95,Yelena Isinbayeva,RUS,03.06.82,Roma,11.07.2008
3,3.0,4.95,Yelena Isinbayeva,RUS,03.06.82,Beijing,18.08.2008
4,5.0,4.94,Sandi Morris,USA,08.07.92,Bruxelles,09.09.2016
5,6.0,4.93,Yelena Isinbayeva,RUS,03.06.82,Monaco,29.07.2008
6,7.0,4.91,Anzhelika Sidorova,RUS,28.06.91,Zürich,09.09.2021
7,8.0,4.9,Anzhelika Sidorova,RUS,28.06.91,Ad-Dawhah,29.09.2019
8,9.0,4.88,Sandi Morris,USA,08.07.92,Bruxelles,09.09.2016
9,10.0,4.87,Yelena Isinbayeva,RUS,03.06.82,London,25.07.2008
10,10.0,4.87,Eliza McCartney,NZL,11.12.96,Jockgrim,17.07.2018
11,12.0,4.86,Eliza McCartney,NZL,11.12.96,Mannheim,23.06.2018
12,13.0,4.85,Yelena Isinbayeva,RUS,03.06.82,Athínai,24.08.2004
13,13.0,4.85,Yelena Isinbayeva,RUS,03.06.82,Roma,11.07.2008
14,13.0,4.85,Yelena Isinbayeva,RUS,03.06.82,Beijing,18.08.2008
15,13.0,4.85,Yarisley Silva,CUB,01.06.87,Beijing,26.08.2015
16,13.0,4.85,Sandi Morris,USA,08.07.92,Greenville,27.07.2018
17,13.0,4.85,Sandi Morris,USA,08.07.92,Ad-Dawhah,29.09.2019
18,13.0,4.85,Anzhelika Sidorova,RUS,28.06.91,Ad-Dawhah,29.09.2019
19,13.0,4.85,Katie Moon,USA,13.06.91,Tokyo,05.08.2021
20,13.0,4.85,Anzhelika Sidorova,RUS,28.06.91,Cheboksary,02.08.2022
21,22.0,4.84,Anzhelika Sidorova,RUS,28.06.91,Zürich,09.09.2021
22,23.0,4.83,Yelena Isinbayeva,RUS,03.06.82,Monaco,29.07.2008
23,23.0,4.83,Yarisley Silva,CUB,01.06.87,Beckum,02.08.2015
24,23.0,4.83,Katie Moon,USA,13.06.91,Marietta,23.05.2021
25,23.0,4.83,Holly Bradshaw,GBR,02.11.91,Manchester,26.06.2021
26,27.0,4.82,Yelena Isinbayeva,RUS,03.06.82,Bruxelles,03.09.2004
27,27.0,4.82,Yelena Isinbayeva,RUS,03.06.82,Moskva,13.08.2013
28,27.0,4.82,Sandi Morris,USA,08.07.92,Bruxelles,09.09.2016
29,27.0,4.82,Ekateríni Stefanídi,GRE,04.02.90,London,06.08.2017
30,27.0,4.82,Ekateríni Stefanídi,GRE,04.02.90,Zürich,30.08.2018
31,32.0,4.81,Yelena Isinbayeva,RUS,03.06.82,Saint-Denis,06.07.2007
32,32.0,4.81,Yelena Isinbayeva,RUS,03.06.82,Zürich,28.08.2009
33,32.0,4.81,Jennifer Suhr,USA,06.02.82,Austin,30.03.2019
34,35.0,4.8,Yelena Isinbayeva,RUS,03.06.82,Gateshead,27.06.2004
35,35.0,4.8,Yelena Isinbayeva,RUS,03.06.82,London,30.07.2004
36,35.0,4.8,Yelena Isinbayeva,RUS,03.06.82,Athínai,24.08.2004
37,35.0,4.8,Yelena Isinbayeva,RUS,03.06.82,London,22.07.2005
38,35.0,4.8,Fabiana Murer,BRA,16.03.81,Daegu,30.08.2011
39,35.0,4.8,Yarisley Silva,CUB,01.06.87,Hengelo,08.06.2013
40,35.0,4.8,Yarisley Silva,CUB,01.06.87,Toronto,23.07.2015
41,35.0,4.8,Yarisley Silva,CUB,01.06.87,Beijing,26.08.2015
42,35.0,4.8,Fabiana Murer,BRA,16.03.81,Beijing,26.08.2015
43,35.0,4.8,Yelena Isinbayeva,RUS,03.06.82,Cheboksary,21.06.2016
44,35.0,4.8,Sandi Morris,USA,08.07.92,Houston,23.07.2016
45,35.0,4.8,Sandi Morris,USA,08.07.92,Rio de Janeiro,19.08.2016
46,35.0,4.8,Ekateríni Stefanídi,GRE,04.02.90,Rio de Janeiro,19.08.2016
47,35.0,4.8,Sandi Morris,USA,08.07.92,Des Moines,28.04.2018
48,35.0,4.8,Jennifer Suhr,USA,06.02.82,Eugene,26.05.2018
49,35.0,4.8,Eliza McCartney,NZL,11.12.96,Eugene,26.05.2018
50,35.0,4.8,Jennifer Suhr,USA,06.02.82,Jockgrim,17.07.2018
51,35.0,4.8,Eliza McCartney,NZL,11.12.96,Jockgrim,17.07.2018
52,35.0,4.8,Anzhelika Sidorova,RUS,28.06.91,Monaco,20.07.2018
53,35.0,4.8,Ekateríni Stefanídi,GRE,04.02.90,Berlin,09.08.2018
54,35.0,4.8,Anzhelika Sidorova,RUS,28.06.91,Cheboksary,25.07.2019
55,35.0,4.8,Anzhelika Sidorova,RUS,28.06.91,Minsk,09.09.2019
56,35.0,4.8,Sandi Morris,USA,08.07.92,Ad-Dawhah,29.09.2019
57,35.0,4.8,Anzhelika Sidorova,RUS,28.06.91,Ad-Dawhah,29.09.2019
58,35.0,4.8,Ekateríni Stefanídi,GRE,04.02.90,Ad-Dawhah,29.09.2019
59,35.0,4.8,Katie Moon,USA,13.06.91,Eugene,26.06.2021
60,35.0,4.8,Katie Moon,USA,13.06.91,Monaco,09.07.2021
61,35.0,4.8,Katie Moon,USA,13.06.91,Tokyo,05.08.2021
62,35.0,4.8,Anzhelika Sidorova,RUS,28.06.91,Tokyo,05.08.2021
63,35.0,4.8,Holly Bradshaw,GBR,02.11.91,Tokyo,05.08.2021
64,35.0,4.8,Sandi Morris,USA,08.07.92,Eugene,17.07.2022
65,35.0,4.8,Katie Moon,USA,13.06.91,Eugene,17.07.2022
66,35.0,4.8,Anzhelika Sidorova,RUS,28.06.91,Moskva,19.07.2022
67,35.0,4.8,Wilma Murto,FIN,11.06.98,München,17.08.2022
68,69.0,4.79,Yelena Isinbayeva,RUS,03.06.82,Birmingham,25.07.2004
69,69.0,4.79,Yelena Isinbayeva,RUS,03.06.82,Lausanne,11.07.2006
70,71.0,4.78,Sandi Morris,USA,08.07.92,Ad-Dawhah,06.05.2016
71,72.0,4.77,Yelena Isinbayeva,RUS,03.06.82,Berlin,16.09.2007
72,72.0,4.77,Yelena Isinbayeva,RUS,03.06.82,Stuttgart,22.09.2007
73,72.0,4.77,Yarisley Silva,CUB,01.06.87,Birmingham,05.06.2016
74,72.0,4.77,Ekateríni Stefanídi,GRE,04.02.90,Zürich,30.08.2018
75,72.0,4.77,Anzhelika Sidorova,RUS,28.06.91,Zürich,30.08.2018
76,72.0,4.77,Sandi Morris,USA,08.07.92,Zürich,30.08.2018
77,72.0,4.77,Sandi Morris,USA,08.07.92,Rabat,16.06.2019
78,72.0,4.77,Ekateríni Stefanídi,GRE,04.02.90,Bruxelles,06.09.2019
79,72.0,4.77,Anzhelika Sidorova,RUS,28.06.91,Bruxelles,06.09.2019
