,0,1,2,3,4,5,6
0,1,4.87,Yelena Isinbayeva,RUS,03.06.82,Stuttgart,22.09.2007
1,2,4.72,Sandi Morris,USA,08.07.92,Ponce,12.05.2022
2,3,4.69,Silke Spiegelburg,GER,17.03.86,Stockholm,22.08.2013
3,4,4.67,Silke Spiegelburg,GER,17.03.86,Stuttgart,13.09.2008
4,5,4.65,Silke Spiegelburg,GER,17.03.86,Oslo,13.06.2013
5,6,4.6,Emily Grove,USA,22.05.93,Sacramento,25.06.2017
6,7,4.58,Fabiana Murer,BRA,16.03.81,Eugene,02.06.2012
7,8,4.55,Kortney Oates,USA,26.07.92,Long Beach,15.04.2017
8,9,4.52,Kristen Brown,USA,26.05.92,Long Beach,16.04.2016
9,10,4.5,April Bennett,USA,22.04.80,New York City,11.06.2005
10,10,4.5,Jillian Schwartz,USA,19.09.79,Indianapolis,24.06.2007
11,12,4.45,Tracy O'Hara,USA,20.07.80,New York City,11.06.2005
12,12,4.45,Jillian Schwartz,USA,19.09.79,Indianapolis,24.06.2007
13,12,4.45,Lacy Janson,USA,20.02.83,Indianapolis,24.06.2007
14,12,4.45,Melinda Withrow,USA,30.10.84,Osaka,08.05.2010
15,16,4.41,Jirina Ptácníková,CZE,20.05.86,Madrid,02.07.2010
16,17,4.4,Naroa Agirre,ESP,15.05.79,Valencia,27.07.2002
17,17,4.4,Angelina Zhuk-Krasnova,RUS,07.02.91,Moskva,13.06.2012
18,19,4.36,Minna Nikkanen,FIN,09.04.88,Karlstad,22.07.2015
