,0,1,2,3,4,5,6
0,1,4.6,Anna Rogowska,POL,12.05.81,Hof,27.06.2009
1,2,4.52,Monika Pyrek,POL,11.08.80,Hof,20.06.2008
2,3,4.5,Anna Rogowska,POL,12.05.81,Sopot,02.06.2005
3,4,4.5,Anna Rogowska,POL,12.05.81,Hof,27.06.2009
4,5,4.48,Kristen Leland,USA,01.07.92,Lawrence,21.04.2017
5,6,4.46,Rosbeilys Peinado,VEN,26.11.97,Padova,31.05.2019
6,7,4.43,Yvonne Buschbaum,GER,14.07.80,Recklinghausen,24.05.2002
7,8,4.42,Alana Boyd,AUS,10.05.84,Praha,02.07.2014
8,9,4.4,Carolin Hingst,GER,18.09.80,Kozienice,21.09.2007
9,9,4.4,Kate Dennison,GBR,07.05.84,Hof,27.06.2009
10,11,4.38,Kristen Leland,USA,01.07.92,Lawrence,21.04.2017
11,11,4.38,Kortney Oates,USA,26.07.92,Lawrence,21.04.2017
12,11,4.38,Mary Saxer,USA,21.06.87,Lawrence,21.04.2017
13,14,4.36,Rosbeilys Peinado,VEN,26.11.97,Padova,31.05.2019
14,14,4.36,Sonia Malavisi,ITA,31.10.94,Padova,31.05.2019
15,16,4.35,Daniela Bártová,CZE,06.05.74,Praha,18.06.1997
16,17,4.32,Monika Pyrek,POL,11.08.80,Hof,20.06.2008
17,17,4.32,Alana Boyd,AUS,10.05.84,Praha,02.07.2014
18,17,4.32,Romana Malácová,CZE,15.05.87,Praha,02.07.2014
