,0,1,2,3,4,5,6,7
0,1,22.5,Helena Fibingerová,CZE,13.07.49,1,Jablonec nad Nisou,19.02.1977
1,2,22.14,Natalya Lisovskaya,RUS,16.07.62,1,Penza,07.02.1987
2,3,21.75,Helena Fibingerová,CZE,13.07.49,1,Ostrava,26.02.1977
3,4,21.66,Helena Fibingerová,CZE,13.07.49,1,Budapest,02.02.1977
4,5,21.6,Natalya Lisovskaya,RUS,16.07.62,1,Volgograd,11.02.1988
5,5,21.6,Natalya Lisovskaya,RUS,16.07.62,1,Moskva,21.02.1988
6,5,21.6,Valentina Fedyushina,UKR,10.02.65,1,Simferopol,28.12.1991
7,8,21.59,Ilona Slupianek,GDR,24.09.56,1,Berlin,24.01.1979
8,9,21.58,Helena Fibingerová,CZE,13.07.49,1,Ostrava,29.01.1977
9,9,21.58,Helena Fibingerová,CZE,13.07.49,1,Jablonec nad Nisou,12.02.1977
10,11,21.52,Ilona Slupianek,GDR,24.09.56,1,Berlin,23.01.1980
11,12,21.49,Ilona Slupianek,GDR,24.09.56,1,Berlin,20.01.1980
12,13,21.47,Helena Fibingerová,CZE,13.07.49,1,Jablonec nad Nisou,09.02.1985
13,14,21.46,Helena Fibingerová,CZE,13.07.49,1,San Sebastián,13.03.1977
14,14,21.46,Claudia Losch,GER,10.01.60,1,Zweibrücken,04.02.1986
15,16,21.45,Ilona Slupianek,GDR,24.09.56,1,Cosford,28.02.1979
16,17,21.44,Natalya Lisovskaya,RUS,16.07.62,1,Valencia,17.02.1988
17,18,21.42,Ilona Slupianek,GDR,24.09.56,1,Berlin,04.02.1979
18,19,21.27,Helena Fibingerová,CZE,13.07.49,1,Jablonec nad Nisou,07.02.1981
19,20,21.26,Helena Fibingerová,CZE,13.07.49,1,Jablonec nad Nisou,26.02.1978
20,20,21.26,Ines Müller,GDR,02.01.59,1,Berlin,24.02.1985
21,20,21.26,Natalya Akhrimenko,RUS,12.05.55,1,Leningrad,24.01.1987
22,23,21.23,Margitta Pufe,GDR,10.09.52,1,Senftenberg,26.02.1978
23,23,21.23,Ilona Slupianek,GDR,24.09.56,1,Senftenberg,24.01.1979
24,23,21.23,Helena Fibingerová,CZE,13.07.49,1,Stuttgart,23.02.1985
25,26,21.2,Helena Fibingerová,CZE,13.07.49,1,Ostrava,04.03.1978
26,26,21.2,Ilona Slupianek,GDR,24.09.56,1,Senftenberg,18.02.1979
27,28,21.15,Irina Korzhanenko,RUS,16.05.74,1,Moskva,18.02.1999
28,29,21.13,Helena Fibingerová,CZE,13.07.49,1,Jablonec nad Nisou,15.02.1975
29,30,21.12,Ilona Slupianek,GDR,24.09.56,2,San Sebastián,13.03.1977
30,31,21.11,Natalya Akhrimenko,RUS,12.05.55,1,Moskva,15.02.1987
31,32,21.1,Huang Zhihong,CHN,07.05.65,1,Beijing,03.03.1990
32,33,21.09,Ilona Slupianek,GDR,24.09.56,1,Berlin,07.02.1979
33,34,21.08,Li Meisu,CHN,17.04.59,1,Beijing,25.03.1988
34,35,21.07,Natalya Akhrimenko,RUS,12.05.55,2,Penza,07.02.1987
35,36,21.06,Eva Wilms,FRG,28.07.52,1,Dortmund,19.02.1977
36,36,21.06,Nunu Abashidze,UKR,27.03.55,1,Budapest,08.02.1984
37,38,21.03,Ilona Slupianek,GDR,24.09.56,1,Berlin,13.02.1977
38,38,21.03,Helma Knorscheidt,GDR,31.12.56,2,Berlin,04.08.1983
