,0,1,2,3,4,5,6,7
0,1,21.7,Nadezhda Ostapchuk,BLR,12.10.80,,Mogilyov,12.02.2010
1,2,21.43,Viktoriya Pavlysh,UKR,15.01.69,,Maebashi,06.03.1999
2,3,20.86,Nadezhda Ostapchuk,BLR,12.10.80,,Minsk,24.02.2006
3,4,20.85,Nadezhda Ostapchuk,BLR,12.10.80,,Ad-Dawhah,14.03.2010
4,5,20.7,Nadezhda Ostapchuk,BLR,12.10.80,,Mogilyov,10.02.2012
5,6,20.63,Nadezhda Ostapchuk,BLR,12.10.80,,Zürich,18.08.2010
6,7,20.56,Irina Korzhanenko,RUS,16.05.74,,Maebashi,06.03.1999
7,8,20.49,Viktoriya Pavlysh,UKR,15.01.69,,Budapest,05.03.2004
8,9,20.48,Nadezhda Ostapchuk,BLR,12.10.80,,Zürich,07.09.2011
9,10,20.42,Natalya Mikhnevich,BLR,25.05.82,,Ad-Dawhah,14.03.2010
10,10,20.42,Nadezhda Ostapchuk,BLR,12.10.80,,Istanbul,10.03.2012
11,12,20.35,Nadezhda Ostapchuk,BLR,12.10.80,,Mogilyov,22.08.2008
12,13,20.3,Nadezhda Ostapchuk,BLR,12.10.80,,Mogilyov,28.01.2006
13,14,20.28,Natalya Mikhnevich,BLR,25.05.82,,Mogilyov,12.02.2010
14,15,20.09,Nadezhda Ostapchuk,BLR,12.10.80,q,Ad-Dawhah,13.03.2010
