,0,1,2,3,4,5,6
0,1,21.47,Nadezhda Ostapchuk,BLR,12.10.80,Minsk,18.07.2012
1,2,21.32,Nadezhda Ostapchuk,BLR,12.10.80,Grodno,06.07.2012
2,2,21.32,Nadezhda Ostapchuk,BLR,12.10.80,London,06.08.2012
3,4,21.31,Nadezhda Ostapchuk,BLR,12.10.80,London,06.08.2012
4,5,21.15,Nadezhda Ostapchuk,BLR,12.10.80,London,06.08.2012
5,6,21.11,Ilona Slupianek,GDR,24.09.56,Helsinki,14.08.1977
6,7,21.05,Nadezhda Ostapchuk,BLR,12.10.80,Grodno,06.07.2012
7,8,20.84,Ilona Slupianek,GDR,24.09.56,Helsinki,14.08.1977
8,9,20.81,Ilona Slupianek,GDR,24.09.56,Helsinki,14.08.1977
9,10,20.8,Nadezhda Ostapchuk,BLR,12.10.80,Stayki,27.07.2008
10,11,20.76,Ilona Slupianek,GDR,24.09.56,Helsinki,14.08.1977
11,12,20.7,Irina Korzhanenko,RUS,16.05.74,Olympia,18.08.2004
12,13,20.66,Nadezhda Ostapchuk,BLR,12.10.80,Minsk,12.06.2012
13,14,20.65,Nadezhda Ostapchuk,BLR,12.10.80,Minsk,12.06.2012
14,15,20.56,Nadezhda Ostapchuk,BLR,12.10.80,Stockholm,05.08.2010
15,16,20.48,Nadezhda Ostapchuk,BLR,12.10.80,Saint-Denis,08.07.2011
16,17,20.44,Nadezhda Ostapchuk,BLR,12.10.80,Shanghai,23.05.2010
17,18,20.43,Nadezhda Ostapchuk,BLR,12.10.80,Barcelona,27.07.2010
18,19,20.42,Nadezhda Ostapchuk,BLR,12.10.80,Saint-Denis,08.07.2011
19,20,20.41,Irina Korzhanenko,RUS,16.05.74,Olympia,18.08.2004
20,21,20.34,Nadezhda Ostapchuk,BLR,12.10.80,Stayki,28.07.2007
21,22,20.33,Nadezhda Ostapchuk,BLR,12.10.80,Stockholm,05.08.2010
22,23,20.31,Nadezhda Ostapchuk,BLR,12.10.80,Minsk,12.06.2012
23,24,20.3,Nadezhda Ostapchuk,BLR,12.10.80,Helsinki,13.08.2005
24,25,20.28,Nadezhda Ostapchuk,BLR,12.10.80,Bar,17.03.2012
25,26,20.24,Nadezhda Ostapchuk,BLR,12.10.80,Stockholm,28.07.2011
26,27,20.23,Nadezhda Ostapchuk,BLR,12.10.80,Helsinki,13.08.2005
27,27,20.23,Nadezhda Ostapchuk,BLR,12.10.80,Gateshead,10.07.2010
28,29,20.16,Nadezhda Ostapchuk,BLR,12.10.80,Arles,21.03.2010
29,29,20.16,Nadezhda Ostapchuk,BLR,12.10.80,Saint-Denis,16.07.2010
30,31,20.14,Nadezhda Ostapchuk,BLR,12.10.80,Eugene,04.06.2011
31,32,20.13,Nadezhda Ostapchuk,BLR,12.10.80,Helsinki,13.08.2005
32,32,20.13,Nadezhda Ostapchuk,BLR,12.10.80,Split,05.09.2010
33,32,20.13,Nadezhda Ostapchuk,BLR,12.10.80,Eugene,04.06.2011
34,32,20.13,Nadezhda Ostapchuk,BLR,12.10.80,Stockholm,28.07.2011
35,36,20.12,Nadezhda Ostapchuk,BLR,12.10.80,Grodno,26.06.2010
36,37,20.1,Natalya Mikhnevich,BLR,25.05.82,Beijing,16.08.2008
37,38,20.08,Nadezhda Ostapchuk,BLR,12.10.80,Stockholm,21.08.2008
38,39,20.04,Irina Korzhanenko,RUS,16.05.74,Olympia,18.08.2004
39,39,20.04,Nadezhda Ostapchuk,BLR,12.10.80,Osaka,26.08.2007
40,41,20.02,Nadezhda Ostapchuk,BLR,12.10.80,Monaco,22.07.2010
41,42,20.01,Nadezhda Ostapchuk,BLR,12.10.80,Shanghai,23.05.2010
42,42,20.01,Nadezhda Ostapchuk,BLR,12.10.80,London,06.08.2012
43,44,20.0,Nadezhda Ostapchuk,BLR,12.10.80,Monaco,22.07.2010
