,0,1,2,3,4,5,6,7,8
0,1,15.32,+0.5,Tatyana Lebedeva,RUS,21.07.76,,Beijing,17.08.2008
1,2,15.23,+1.6,Hrysopiyí Devetzí,GRE,02.01.76,,Beijing,17.08.2008
2,3,15.22,+1.5,Hrysopiyí Devetzí,GRE,02.01.76,,Thessaloníki,09.07.2008
3,4,15.04,-0.2,Hrysopiyí Devetzí,GRE,02.01.76,,Osaka,31.08.2007
4,5,14.94,+0.3,Tatyana Lebedeva,RUS,21.07.76,,Rieti,07.09.2008
5,6,14.92,-0.1,Iva Prandzheva,BUL,15.02.72,,Atlanta,31.07.1996
6,6,14.92,+1.0,Hrysopiyí Devetzí,GRE,02.01.76,,Athínai,15.06.2008
7,6,14.92,+0.1,Hrysopiyí Devetzí,GRE,02.01.76,q,Beijing,15.08.2008
8,9,14.88,+0.3,Anna Pyatykh,RUS,04.04.81,,Osaka,31.08.2007
9,10,14.85,±0.0,Tatyana Lebedeva,RUS,21.07.76,,Rovereto,10.09.2008
10,11,14.83,+0.2,Tatyana Lebedeva,RUS,21.07.76,,Shanghai,20.09.2008
11,12,14.75,+0.4,Hrysopiyí Devetzí,GRE,02.01.76,,Stuttgart,23.09.2007
12,12,14.75,+0.4,Hrysopiyí Devetzí,GRE,02.01.76,,Réthymno,14.07.2008
13,14,14.72,-0.8,Tatyana Lebedeva,RUS,21.07.76,,Shanghai,20.09.2009
14,15,14.71,+1.9,Anna Pyatykh,RUS,04.04.81,,Rieti,09.09.2007
15,16,14.70,-0.5,Hrysopiyí Devetzí,GRE,02.01.76,q,Athínai,14.06.2008
16,17,14.69*,+0.2,Hrysopiyí Devetzí,GRE,02.01.76,,Barcelona,19.07.2008
17,18,14.68,+1.8,Hrysopiyí Devetzí,GRE,02.01.76,,Istanbul,21.06.2008
18,18,14.68,±0.0,Tatyana Lebedeva,RUS,21.07.76,,Cheboksary,04.07.2012
19,20,14.63,+0.6,Tatyana Lebedeva,RUS,21.07.76,,Stuttgart,14.09.2008
20,21,14.61,+0.1,Iva Prandzheva,BUL,15.02.72,q,Atlanta,29.07.1996
21,22,14.60,-0.5,Anna Pyatykh,RUS,04.04.81,,Tula,03.08.2007
22,23,14.58,+1.1,Sofiya Bozhanova,BUL,04.10.67,,Helsinki,08.08.1994
23,24,14.55,±0.0,Tatyana Lebedeva,RUS,21.07.76,q,Beijing,15.08.2008
24,25,14.51,-0.2,Anna Pyatykh,RUS,04.04.81,q,Osaka,29.08.2007
25,25,14.51*,+0.3,Tatyana Lebedeva,RUS,21.07.76,,Padova,31.08.2008
26,27,14.48,-0.5,Tatyana Lebedeva,RUS,21.07.76,,Thessaloníki,13.09.2009
27,28,14.45,-1.2,Tatyana Lebedeva,RUS,21.07.76,q,Berlin,15.08.2009
28,29,14.40,+0.4,Tatyana Lebedeva,RUS,21.07.76,,Lausanne,07.07.2009
29,29,14.40,+0.4,Anna Pyatykh,RUS,04.04.81,,Moskva,25.07.2013
