,0,1,2,3,4,5,6,7,8
0,1,62:52,Letesenbet Gidey,ETH,20.03.98,1,Valencia,,24.10.2021
1,2,63:51,Yalemzerf Yehualaw,ETH,03.08.99,2,Valencia,,24.10.2021
2,3,64:02,Ruth Chepngetich,KEN,08.08.94,1,Istanbul,,04.04.2021
3,4,64:14,Girmawit Gebrzihair,ETH,21.11.01,1,Ra's Al Khaymah,,19.02.2022
4,5,64:22,Helen Obiri,KEN,13.12.89,2,Ra's Al Khaymah,,19.02.2022
5,5,64:22,Yalemzerf Yehualaw,ETH,03.08.99,1,Larne,,30.08.2022
6,7,64:26,Emily Chebet,KEN,18.02.86,1,Lille,,19.03.2023
7,8,64:27,Addisie Andualem,ETH,01.01.00,2,Lille,,19.03.2023
8,9,64:28a,Brigid Kosgei,KEN,20.02.94,1,Newcastle-South,Shields,08.09.2019
9,10,64:31,Ababel Yeshaneh,ETH,22.07.91,1,Ra's Al Khaymah,,21.02.2020
10,11,64:36,Sheila Chepkirui,KEN,27.12.90,3,Ra's Al Khaymah,,19.02.2022
11,12,64:37,Irene Kimais,KEN,10.10.98,1,Barcelona,,19.02.2023
12,13,64:40,Yalemzerf Yehualaw,ETH,03.08.99,2,Istanbul,,04.04.2021
13,14,64:46,Joyciline Jepkosgei,KEN,08.12.93,2,Barcelona,,19.02.2023
14,15,64:48,Helen Obiri,KEN,13.12.89,1,Istanbul,,27.03.2022
15,16,64:49,Brigid Kosgei,KEN,20.02.94,2,Ra's Al Khaymah,,21.02.2020
16,17,64:51,Joyciline Jepkosgei,KEN,08.12.93,1,Valencia,,22.10.2017
17,17,64:51,Helen Obiri,KEN,13.12.89,3,Istanbul,,04.04.2021
18,19,64:52,Joyciline Jepkosgei,KEN,08.12.93,1,Praha,,01.04.2017
19,19,64:52,Fancy Chemutai,KEN,20.03.95,1,Ra's Al Khaymah,,08.02.2018
20,21,64:54,Sheila Chepkirui,KEN,27.12.90,3,Valencia,,24.10.2021
21,22,64:55,Mary Keitany,KEN,18.01.82,2,Ra's Al Khaymah,,08.02.2018
22,23,65:01,Tsehay Gemechu,ETH,12.12.98,2,Larne,,30.08.2022
23,24,65:02,Sheila Chepkirui,KEN,27.12.90,1,Berlin,,03.04.2022
24,25,65:03,Vicoty Chepngeno,KEN,12.11.93,1,Houston,,16.01.2022
25,26,65:04,Joan Melly Chelimo,KEN,10.11.90,1,Praha,,07.04.2018
26,27,65:05,Helen Obiri,KEN,13.12.89,1,Ra's Al Khaymah,,18.02.2023
27,28,65:06,Peres Jepchirchir,KEN,27.09.93,1,Ra's Al Khaymah,,10.02.2017
28,29,65:07,Florence Kiplagat,KEN,27.02.87,1,Barcelona,,15.02.2015
29,29,65:07,Caroline Kipkirui,KEN,26.05.94,3,Ra's Al Khaymah,,08.02.2018
30,31,65:08,Tsehay Gemechu,ETH,12.12.98,1,København,,19.09.2021
31,32,65:09,Joan Melly Chelimo,KEN,10.11.90,4,Istanbul,,04.04.2021
32,33,65:10+,Ruth Chepngetich,KEN,08.08.94,1,Chicago,,09.10.2022
33,34,65:12,Florence Kiplagat,KEN,27.02.87,1,Barcelona,,16.02.2014
34,35,65:13,Mary Keitany,KEN,18.01.82,2,Ra's Al Khaymah,,10.02.2017
35,36,65:15,Sifan Hassan,NED,01.01.93,1,København,,16.09.2018
36,37,65:16,Peres Jepchirchir,KEN,27.09.93,1,Gdynia,,17.10.2020
37,38,65:18,Melat Kejeta,GER,27.09.92,2,Gdynia,,17.10.2020
38,38,65:18,Genzebe Dibaba,ETH,08.02.91,1c1,Valencia,,06.12.2020
