,0,1,2,3,4,5,6,7
0,1,68:12,Claudia Metzner,GER,05.05.66,1,Las Vegas,04.02.1995
1,2,68:13,Petra Wassiluk,GER,27.10.69,1,Las Vegas,09.02.1997
2,3,69:05,Nadia Prasad,FRA,06.10.67,1,Las Vegas,05.02.1994
3,4,69:35,Jacquline Nytipei,KEN,84,1,Austin,27.01.2008
4,5,69:42,Claudia Camargo,ARG,30.03.71,2,Austin,27.01.2008
5,6,69:45,Hyvon Ngetich,KEN,85,3,Austin,27.01.2008
6,7,69:51,Gitte Karlshøj,DEN,14.05.59,2,Las Vegas,09.02.1997
7,8,69:54,Sylvia Mosqueda,USA,08.04.66,1,Austin,25.01.2004
8,8,69:54,Sylvia Mosqueda,USA,08.04.66,1,Austin,25.01.2004
9,10,70:04,Aniela Nikiel,POL,01.11.65,3,Las Vegas,09.02.1997
10,11,70:18,Magdaline Mukunzi,KEN,22.10.83,4,Austin,27.01.2008
11,12,70:24,Debbie Kilpatrick-Morris,USA,09.09.63,4,Las Vegas,09.02.1997
