,0,1,2,3,4,5,6
0,1,2:18:20,Liliya Shobukhova,RUS,13.11.77,Chicago,09.10.2011
1,2,2:20:15,Liliya Shobukhova,RUS,13.11.77,London,17.04.2011
2,3,2:20:23,Wei Yanan,CHN,06.12.81,Beijing,20.10.2002
3,4,2:20:25,Liliya Shobukhova,RUS,13.11.77,Chicago,10.10.2010
4,5,2:21:29a,Aliaksandra Duliba,BLR,09.01.88,Boston,21.04.2014
5,6,2:22:00,Liliya Shobukhova,RUS,13.11.77,London,25.04.2010
6,7,2:22:09,Tetyana Hamera-Shmyrko,UKR,01.06.83,Osaka,25.01.2015
7,8,2:22:27,Mariya Konovalova,RUS,14.08.74,Nagoya,08.03.2015
8,9,2:22:46,Mariya Konovalova,RUS,14.08.74,Chicago,13.10.2013
9,10,2:22:59,Liliya Shobukhova,RUS,13.11.77,Chicago,07.10.2012
10,11,2:23:06,Aliaksandra Duliba,BLR,09.01.88,Dubai,23.01.2015
11,12,2:23:43,Mariya Konovalova,RUS,14.08.74,Nagoya,09.03.2014
12,13,2:23:44,Aliaksandra Duliba,BLR,09.01.88,Chicago,13.10.2013
13,14,2:23:50,Mariya Konovalova,RUS,14.08.74,Chicago,10.10.2010
14,15,2:23:58,Tetyana Hamera-Shmyrko,UKR,01.06.83,Osaka,27.01.2013
15,16,2:24:32,Tetyana Hamera-Shmyrko,UKR,01.06.83,London,05.08.2012
16,17,2:24:35,Rita Sitienei Jeptoo,KEN,15.02.81,Chicago,12.10.2014
17,18,2:24:37,Tetyana Hamera-Shmyrko,UKR,01.06.83,Osaka,26.01.2014
18,19,2:24:43,Aliaksandra Duliba,BLR,09.01.88,Toronto,19.10.2014
19,20,2:24:46,Tetyana Hamera-Shmyrko,UKR,01.06.83,Osaka,29.01.2012
20,21,2:25:18,Mariya Konovalova,RUS,14.08.74,London,17.04.2011
21,22,2:25:30,Tetyana Hamera-Shmyrko,UKR,01.06.83,London,13.04.2014
22,23,2:25:38,Mariya Konovalova,RUS,14.08.74,Chicago,07.10.2012
23,24,2:25:56,Liliya Shobukhova,RUS,13.11.77,Chicago,11.10.2009
24,25,2:26:33,Rkia El Moukim,MAR,22.02.88,London,26.04.2015
25,26,2:26:44,Olivera Jevtic,SRB,24.07.77,New York City,03.11.2002
26,27,2:26:47,Lidiya Grigoryeva,RUS,21.01.74,Chicago,11.10.2009
27,28,2:27:00,Alena Peterková,CZE,13.11.60,Pardubice,29.04.1995
28,29,2:27:02,Lucy Wangui,KEN,24.03.84,Milano,08.04.2018
29,30,2:27:29,Tatyana Aryasova,RUS,02.04.79,Tokyo,27.02.2011
30,31,2:27:31,Kim Hye-Song,PRK,09.03.93,Pyongyang,08.04.2018
31,32,2:28:00,Julia Mumbi,KEN,25.01.85,Köln,14.09.2014
32,33,2:28:01,Malika Assahsah,MAR,24.09.82,Valencia,15.11.2015
33,34,2:28:12,Rkia El Moukim,MAR,22.02.88,New York City,02.11.2014
34,35,2:28:38,Kateryna Stetsenko,UKR,22.01.82,Tokyo,26.02.2012
35,36,2:29:17,Edinah Kwambai,KEN,22.03.86,Hannover,10.04.2016
36,37,2:29:23a,Aliaksandra Duliba,BLR,09.01.88,Boston,20.04.2015
37,38,2:29:29,Alina Gherasim,ROU,10.11.71,Amsterdam,20.10.2002
