Jahr,Note,Bundesland,Anzahl,Anteil in Prozent
2006,1.0,BB,81,0.7011165930927032
2006,1.1,BB,56,0.4847225828789059
2006,1.2,BB,136,1.1771834155630572
2006,1.3,BB,178,1.5407253527222367
2006,1.4,BB,193,1.670561758850515
2006,1.5,BB,266,2.302432268674803
2006,1.6,BB,325,2.8131221327793647
2006,1.7,BB,388,3.3584350385181336
2006,1.8,BB,398,3.4449926426036526
2006,1.9,BB,437,3.7825672985371765
2006,2.0,BB,491,4.249978360598979
2006,2.1,BB,532,4.604864537349606
2006,2.2,BB,580,5.020341036960097
2006,2.3,BB,628,5.435817536570588
2006,2.4,BB,581,5.028996797368649
2006,2.5,BB,695,6.0157534839435645
2006,2.6,BB,625,5.409850255344932
2006,2.7,BB,688,5.955163161083701
2006,2.8,BB,688,5.955163161083701
2006,2.9,BB,643,5.565653942698866
2006,3.0,BB,643,5.565653942698866
2006,3.1,BB,614,5.314636890850862
2006,3.2,BB,581,5.028996797368649
2006,3.3,BB,432,3.739288496494417
2006,3.4,BB,313,2.709253007876742
2006,3.5,BB,235,2.0341036960096943
2006,3.6,BB,95,0.8222972388124297
2006,3.7,BB,26,0.22504977062234918
2006,3.8,BB,5,0.043278802042759454
2006,3.9,BB,0,0.0
2006,4.0,BB,0,0.0
2006,1.0,BE,41,0.3025160481074301
2006,1.1,BE,49,0.3615435696893677
2006,1.2,BE,52,0.3836788902825943
2006,1.3,BE,103,0.7599793403674463
2006,1.4,BE,136,1.0034678668929389
2006,1.5,BE,191,1.4092820777687596
2006,1.6,BE,211,1.5568508817236035
2006,1.7,BE,272,2.0069357337858778
2006,1.8,BE,327,2.4127499446616985
2006,1.9,BE,349,2.575075629012027
2006,2.0,BE,417,3.076809562458496
2006,2.1,BE,472,3.4826237733343173
2006,2.2,BE,537,3.96222238618756
2006,2.3,BE,631,4.655795764775326
2006,2.4,BE,613,4.522983841215967
2006,2.5,BE,675,4.980447133475983
2006,2.6,BE,803,5.924887478786984
2006,2.7,BE,832,6.138862244521508
2006,2.8,BE,866,6.389729211244743
2006,2.9,BE,829,6.116726923928281
2006,3.0,BE,863,6.367593890651516
2006,3.1,BE,919,6.780786541725079
2006,3.2,BE,878,6.478270493617649
2006,3.3,BE,851,6.27905260827861
2006,3.4,BE,654,4.825499889323397
2006,3.5,BE,509,3.7556260606507785
2006,3.6,BE,307,2.2651811407068547
2006,3.7,BE,129,0.9518187855087434
2006,3.8,BE,37,0.2730022873164613
2006,3.9,BE,0,0.0
2006,4.0,BE,0,0.0
2006,1.0,BW,714,1.7934741654316646
2006,1.1,BW,458,1.1504358091984628
2006,1.2,BW,633,1.590012810529753
2006,1.3,BW,820,2.059732234809475
2006,1.4,BW,844,2.1200170807063374
2006,1.5,BW,1013,2.544522870563412
2006,1.6,BW,1268,3.185049358217578
2006,1.7,BW,1402,3.5216397478083947
2006,1.8,BW,1616,4.059179623722087
2006,1.9,BW,1578,3.9637286177187208
2006,2.0,BW,1854,4.657004345532641
2006,2.1,BW,1992,5.003642209439602
2006,2.2,BW,2141,5.377910627715958
2006,2.3,BW,2175,5.46331415940318
2006,2.4,BW,2127,5.342744467609455
2006,2.5,BW,2297,5.769762126045565
2006,2.6,BW,2317,5.819999497626284
2006,2.7,BW,2237,5.6190500113034085
2006,2.8,BW,2282,5.732084097360026
2006,2.9,BW,1919,4.820275803169978
2006,3.0,BW,1748,4.3907462761548315
2006,3.1,BW,1678,4.214915475622315
2006,3.2,BW,1487,3.73514857702645
2006,3.3,BW,1292,3.2453342041144406
2006,3.4,BW,837,2.1024340006530857
2006,3.5,BW,642,1.6126196277410765
2006,3.6,BW,318,0.7987742081334305
2006,3.7,BW,102,0.2562105950616664
2006,3.8,BW,19,0.047725503001682955
2006,3.9,BW,1,0.0025118685790359446
2006,4.0,BW,0,0.0
2006,1.0,BY,261,0.9514782545295468
2006,1.1,BY,172,0.6270278152455251
2006,1.2,BY,293,1.0681345922496446
2006,1.3,BY,415,1.512886879807517
2006,1.4,BY,487,1.7753636396777368
2006,1.5,BY,652,2.3768728810469906
2006,1.6,BY,798,2.9091174218949365
2006,1.7,BY,917,3.34293317779155
2006,1.8,BY,1083,3.9480879297145566
2006,1.9,BY,1248,4.549597171083811
2006,2.0,BY,1188,4.330866537858627
2006,2.1,BY,1414,5.154751923006817
2006,2.2,BY,1512,5.512011957274616
2006,2.3,BY,1562,5.694287484962269
2006,2.4,BY,1610,5.869271991542416
2006,2.5,BY,1662,6.058838540337574
2006,2.6,BY,1646,6.000510371477525
2006,2.7,BY,1611,5.872917502096168
2006,2.8,BY,1609,5.865626480988663
2006,2.9,BY,1559,5.68335095330101
2006,3.0,BY,1293,4.713645146002698
2006,3.1,BY,1155,4.210564689584777
2006,3.2,BY,1014,3.6965477015055956
2006,3.3,BY,819,2.9856731435237505
2006,3.4,BY,632,2.3039626699719298
2006,3.5,BY,440,1.6040246436513435
2006,3.6,BY,263,0.9587692756370529
2006,3.7,BY,96,0.3499690131602931
2006,3.8,BY,18,0.06561918996755496
2006,3.9,BY,2,0.007291021107506106
2006,4.0,BY,0,0.0
2006,1.0,HB,31,1.2464817048652996
2006,1.1,HB,21,0.8443908323281062
2006,1.2,HB,26,1.045436268596703
2006,1.3,HB,46,1.8496180136710896
2006,1.4,HB,57,2.2919179734620023
2006,1.5,HB,46,1.8496180136710896
2006,1.6,HB,64,2.573381584238038
2006,1.7,HB,86,3.4579815038198634
2006,1.8,HB,104,4.181745074386812
2006,1.9,HB,90,3.6188178528347406
2006,2.0,HB,104,4.181745074386812
2006,2.1,HB,111,4.463208685162847
2006,2.2,HB,116,4.664254121431443
2006,2.3,HB,113,4.543626859670286
2006,2.4,HB,115,4.624045034177724
2006,2.5,HB,113,4.543626859670286
2006,2.6,HB,140,5.629272215520707
2006,2.7,HB,140,5.629272215520707
2006,2.8,HB,119,4.784881383192602
2006,2.9,HB,124,4.9859268194611985
2006,3.0,HB,126,5.066344993968637
2006,3.1,HB,120,4.8250904704463204
2006,3.2,HB,124,4.9859268194611985
2006,3.3,HB,128,5.146763168476076
2006,3.4,HB,98,3.9404905508644954
2006,3.5,HB,61,2.45275432247688
2006,3.6,HB,46,1.8496180136710896
2006,3.7,HB,15,0.6031363088057901
2006,3.8,HB,3,0.12062726176115803
2006,3.9,HB,0,0.0
2006,4.0,HB,0,0.0
2006,1.0,HE,183,0.9391357897978035
2006,1.1,HE,166,0.8518936672482809
2006,1.2,HE,212,1.087960587088166
2006,1.3,HE,299,1.5344349789592528
2006,1.4,HE,342,1.755106230113928
2006,1.5,HE,399,2.0476239351329157
2006,1.6,HE,463,2.3760648670840605
2006,1.7,HE,607,3.1150569639741352
2006,1.8,HE,690,3.5410037975982758
2006,1.9,HE,680,3.4896849019809095
2006,2.0,HE,785,4.028533305963256
2006,2.1,HE,908,4.659755722056861
2006,2.2,HE,978,5.018987991378426
2006,2.3,HE,1053,5.403879708508673
2006,2.4,HE,999,5.126757672174895
2006,2.5,HE,1160,5.952991891614492
2006,2.6,HE,1077,5.527045057990352
2006,2.7,HE,1190,6.106948578466591
2006,2.8,HE,1210,6.209586369701324
2006,2.9,HE,1085,5.568100174484245
2006,3.0,HE,1093,5.609155290978138
2006,3.1,HE,1009,5.178076567792261
2006,3.2,HE,878,4.505799035204762
2006,3.3,HE,742,3.8078620548085804
2006,3.4,HE,534,2.7404290259673614
2006,3.5,HE,400,2.0527558246946525
2006,3.6,HE,230,1.1803345991994252
2006,3.7,HE,81,0.41568305450066717
2006,3.8,HE,21,0.10776968079646926
2006,3.9,HE,6,0.030791337370419787
2006,4.0,HE,6,0.030791337370419787
