,0,1,2,3,4,5,6,7,8
0,1,9.12,1.2,Carl Lewis,USA,01.07.61,1,Tokyo,25.08.1991
1,2,9.13,0.3,Linford Christie,GBR,02.04.60,1,Stuttgart,15.08.1993
2,3,9.14,1.2,Leroy Burrell,USA,21.02.67,2,Tokyo,25.08.1991
3,4,9.15,1.2,Dennis Mitchell,USA,20.02.66,3,Tokyo,25.08.1991
4,5,9.16,0.3,André Cason,USA,20.01.69,2,Stuttgart,15.08.1993
5,6,9.19,1.2,Raymond Stewart,JAM,18.03.65,5,Tokyo,25.08.1991
6,7,9.2,1.2,Frank Fredericks,NAM,02.10.67,6,Tokyo,25.08.1991
7,8,9.24,0.3,Daniel Effiong,NGR,17.06.72,2s1,Stuttgart,15.08.1993
8,9,9.26,0.3,Bruny Surin,CAN,12.07.67,4,Stuttgart,15.08.1993
9,10,9.35,1.2,Robson Caetano da Silva,BRA,04.09.64,7,Tokyo,25.08.1991
10,11,9.43,0.9,Aleksandr Porkhomovskiy,RUS,12.08.72,5s2,Stuttgart,15.08.1993
