,0,1,2,3,4,5,6,7
0,1,2:11.96,Noah Ngeny,KEN,02.11.78,1,Rieti,05.09.1999
1,2,2:12.18,Sebastian Coe,GBR,29.09.56,1,Oslo,11.07.1981
2,3,2:12.66,Noah Ngeny,KEN,02.11.78,1,Nice,17.07.1999
3,4,2:12.88,Steve Cram,GBR,14.10.60,1,Gateshead,09.08.1985
4,5,2:13.08,Taoufik Makhloufi,ALG,29.04.88,1,Tomblaine,01.07.2015
5,6,2:13.40,Sebastian Coe,GBR,29.09.56,1,Oslo,01.07.1980
6,7,2:13.49,Ayanleh Souleiman,DJI,03.12.92,1,Lausanne,25.08.2016
7,8,2:13.56,Kenneth Kimwetich,KEN,01.01.73,2,Nice,17.07.1999
8,9,2:13.62,Abubaker Kaki Khamis,SUD,21.06.89,1,Eugene,03.07.2010
9,10,2:13.73,Noureddine Morceli,ALG,28.02.70,1,Villeneuve d'Ascq,02.07.1993
10,11,2:13.88,Jake Wightman,GBR,11.07.94,1,Monaco,10.08.2022
11,12,2:13.89,Robert Biwott,KEN,28.01.96,2,Lausanne,25.08.2016
12,13,2:13.9,Rick Wohlhuter,USA,23.12.48,1,Oslo,30.07.1974
13,14,2:13.93,Abubaker Kaki Khamis,SUD,21.06.89,1,Stockholm,22.07.2008
14,15,2:13.95,Jonathan Kitilit,KEN,24.04.94,3,Lausanne,25.08.2016
15,16,2:13.96,Mehdi Baala,FRA,17.08.78,1,Strasbourg,26.06.2003
16,17,2:14.09,Joaquim Cruz,BRA,12.03.63,1,Nice,20.08.1984
17,18,2:14.23,Asbel Kiprop,KEN,30.06.89,4,Lausanne,25.08.2016
18,19,2:14.28,Japheth Kimutai,KEN,20.12.78,1,Stockholm,01.08.2000
19,20,2:14.30,Marcin Lewandowski,POL,13.06.87,5,Lausanne,25.08.2016
20,21,2:14.35,Marco Arop,CAN,20.09.98,2,Monaco,10.08.2022
21,22,2:14.41,William Yiampoy,KEN,17.05.74,2,Rieti,05.09.1999
22,23,2:14.43,Laban Rotich,KEN,20.01.69,1,Nice,16.07.1997
23,24,2:14.50,Abdi Bile,SOM,28.12.62,1,Jerez de la Frontera,13.09.1989
24,25,2:14.51,Abdi Bile,SOM,28.12.62,1,London,14.07.1989
25,26,2:14.52,Djabir Said-Guerni,ALG,29.03.77,3,Rieti,05.09.1999
26,27,2:14.53,Willi Wülbeck,FRG,18.12.54,2,Oslo,01.07.1980
27,28,2:14.54,Joaquim Cruz,BRA,12.03.63,1,Eugene,21.07.1984
28,29,2:14.64,Laban Rotich,KEN,20.01.69,3,Nice,17.07.1999
29,30,2:14.69,Mahjoub Haïda,MAR,01.07.70,1,Nice,12.07.1995
30,31,2:14.72,Youssef Saad Kamel,BRN,29.03.83,2,Stockholm,22.07.2008
31,32,2:14.73,Joseph Tengelei,KEN,08.12.70,2,Nice,12.07.1995
32,32,2:14.73,Patrick Konchellah,KEN,20.04.68,2,Stockholm,01.08.2000
33,34,2:14.78,Noah Ngeny,KEN,02.11.78,1,Nice,08.07.2000
34,35,2:14.79,William Yiampoy,KEN,17.05.74,3,Stockholm,01.08.2000
35,36,2:14.83,Boaz Lalang,KEN,08.02.89,2,Eugene,03.07.2010
36,37,2:14.88,Ferguson Cheruiyot,KEN,30.11.89,1,Stockholm,10.06.2018
37,38,2:14.90,Sebastian Coe,GBR,29.09.56,1,Haringey,16.07.1986
38,39,2:14.95,Sammy Koskei,KEN,14.05.61,1,Bruxelles,30.08.1985
39,40,2:14.96,Benson Koech,KEN,10.11.74,2,Nice,16.07.1997
40,41,2:14.99,William Chirchir,KEN,06.02.79,4,Nice,17.07.1999
41,41,2:14.99,Mehdi Baala,FRA,17.08.78,1,Villeneuve d'Ascq,09.06.2006
42,43,2:15.00,Benjamin Kipkurui,KEN,28.12.80,5,Nice,17.07.1999
43,44,2:15.05,Marko Koers,NED,03.11.72,3,Nice,16.07.1997
44,45,2:15.08,Ilham Tanui Özbilen,TUR,05.03.90,1,Ostrava,17.06.2014
45,46,2:15.09,Steve Cram,GBR,14.10.60,1,Edinburgh,23.07.1985
46,46,2:15.09,Elkanah Angwenyi,KEN,05.02.83,2,Villeneuve d'Ascq,09.06.2006
47,48,2:15.11,Joaquim Cruz,BRA,12.03.63,1,Bern,16.08.1985
48,49,2:15.12,Steve Cram,GBR,14.10.60,1,London,17.09.1982
49,50,2:15.16,Saïd Aouita,MAR,02.11.59,1,London,28.08.1988
50,51,2:15.17,Mahjoub Haïda,MAR,01.07.70,1,Stockholm,05.08.1998
51,51,2:15.17,Mehdi Baala,FRA,17.08.78,1,Tomblaine,17.09.2002
52,53,2:15.21,Mehdi Baala,FRA,17.08.78,1,Tomblaine,05.09.2006
53,54,2:15.23,Rob Druppers,NED,29.04.62,1,Utrecht,17.08.1985
54,54,2:15.23,Belal Mansoor Ali,BRN,17.10.83,1,Stockholm,07.08.2007
55,56,2:15.25,Andreas Busse,GDR,06.05.59,1,Berlin,31.07.1983
56,57,2:15.26,Driss Maazouzi,FRA,15.10.69,6,Nice,17.07.1999
57,58,2:15.28,Joaquim Cruz,BRA,12.03.63,1,Bern,29.07.1983
58,59,2:15.3,Mike Boit,KEN,06.01.49,1,Wattenscheid,23.09.1977
59,60,2:15.31,Amine Laâlou,MAR,13.05.82,1,Rabat,05.06.2011
60,60,2:15.31,Pierre-Ambroise Bosse,FRA,11.05.92,2,Ostrava,17.06.2014
61,62,2:15.33,Rob Druppers,NED,29.04.62,2,Bruxelles,30.08.1985
62,63,2:15.39,Laban Rotich,KEN,20.01.69,2,Stockholm,05.08.1998
63,64,2:15.45,Japheth Kimutai,KEN,20.12.78,1,Stockholm,30.07.1999
64,64,2:15.45,Mehdi Baala,FRA,17.08.78,2,Nice,08.07.2000
65,66,2:15.47,Japheth Kimutai,KEN,20.12.78,3,Stockholm,05.08.1998
66,66,2:15.47,Mehdi Baala,FRA,17.08.78,1,Metz,02.07.2006
67,68,2:15.48,Arthémon Hatungimana,BDI,21.01.74,3,Nice,12.07.1995
68,69,2:15.5,Ivo van Damme,BEL,21.02.54,1,Namur,14.07.1976
69,69,2:15.50,Yuriy Borzakovskiy,RUS,12.04.81,3,Stockholm,22.07.2008
70,71,2:15.51,Nadir Bosch,FRA,16.05.73,7,Nice,17.07.1999
71,72,2:15.53,Noah Ngeny,KEN,02.11.78,1,Athínai,28.06.2000
