,0,1,2,3,4,5,6,7
0,1,2:14.20,Ayanleh Souleiman,DJI,03.12.92,1,Stockholm,17.02.2016
1,2,2:14.96,Wilson Kipketer,DEN,12.12.70,1,Birmingham,20.02.2000
2,3,2:15.25,Wilson Kipketer,DEN,12.12.70,1,Stuttgart,06.02.2000
3,4,2:15.26,Noureddine Morceli,ALG,28.02.70,1,Birmingham,22.02.1992
4,5,2:15.50,Kenneth Kimwetich,KEN,01.01.73,2,Stuttgart,06.02.2000
5,6,2:15.62,Vénuste Niyongabo,BDI,09.12.73,1,Stockholm,27.02.1995
6,7,2:15.77,Abubaker Kaki Khamis,SUD,21.06.89,1,Stockholm,21.02.2008
7,8,2:15.96,Ilham Tanui Özbilen,TUR,05.03.90,1,Istanbul,20.02.2014
8,9,2:16.15,Abubaker Kaki Khamis,SUD,21.06.89,1,Gent,24.02.2008
9,10,2:16.16,Shane Streich,USA,19.09.96,1,Louisville,12.02.2022
10,11,2:16.23,Abubaker Kaki Khamis,SUD,21.06.89,1,Stuttgart,07.02.2009
11,12,2:16.47,Wilson Kipketer,DEN,12.12.70,1,Stockholm,17.02.2000
12,13,2:16.58,Nathan Brannen,CAN,08.09.82,2,Boston,02.03.2014
13,14,2:16.62,Rob Druppers,NED,29.04.62,1,Den Haag,20.02.1988
14,15,2:16.71,Johan Botha,RSA,10.01.74,1,Erfurt,03.02.1999
15,16,2:16.76,Haron Keitany,KEN,17.12.83,1r2,Moskva,01.02.2009
16,16,2:16.76,David Torrence,USA,26.11.85,1,Boston,02.03.2014
17,18,2:16.96,Richard Kiplagat,KEN,03.07.84,2,Stockholm,21.02.2008
18,19,2:16.99,Joaquim Cruz,BRA,12.03.63,1,Stuttgart,12.02.1989
