,0,1,2,3,4,5,6,7
0,1,31.4,Wayde van Niekerk,RSA,15.07.92,1,Beijing,26.08.2015
1,2,31.6,LaShawn Merritt,USA,27.06.86,2,Beijing,26.08.2015
2,2,31.6,Wayde van Niekerk,RSA,15.07.92,1,London,08.08.2017
3,4,31.7,Kirani James,GRN,01.09.92,3,Beijing,26.08.2015
4,5,31.8,Karl Honz,FRG,28.01.51,1,München,21.07.1972
5,5,31.8,Michael Johnson,USA,13.09.67,1,Sacramento,16.06.1995
6,5,31.8,LaShawn Merritt,USA,27.06.86,1,Indianapolis,23.06.2007
7,5,31.8,Jeremy Wariner,USA,31.01.84,1,Stockholm,07.08.2007
8,5,31.8,Jeremy Wariner,USA,31.01.84,1,Beijing,31.08.2008
9,5,31.8,Akeem Bloomfield,JAM,10.11.97,1,Eugene,08.06.2018
10,11,31.9,Steve Lewis,USA,16.05.69,1,Indianapolis,20.07.1988
11,11,31.9,Jeremy Wariner,USA,31.01.84,1,Helsinki,08.08.2005
12,11,31.9,Angelo Taylor,USA,29.12.78,2,Indianapolis,23.06.2007
13,11,31.9,LaShawn Merritt,USA,27.06.86,2,Beijing,31.08.2008
14,11,31.9,Baboloki Thebe,BOT,18.03.97,2,London,08.08.2017
15,11,31.9,Michael Norman,USA,03.12.97,2=,Eugene,08.06.2018
16,11,31.9,Nathon Allen,JAM,28.10.95,2=,Eugene,08.06.2018
17,18,32.0,Danny Everett,USA,01.11.66,2=,Indianapolis,20.07.1988
18,18,32.0,Harry Reynolds,USA,08.06.64,2=,Indianapolis,20.07.1988
19,18,32.0,David Neville,USA,01.06.84,3,Beijing,31.08.2008
20,18,32.0,Gil Roberts,USA,15.03.89,1,Sacramento,24.06.2017
21,18,32.0,Nathon Allen,JAM,28.10.95,3=,London,08.08.2017
22,18,32.0,Steven Gardiner,BAH,12.09.95,3=,London,08.08.2017
23,18,32.0,Obi Igbokwe,USA,28.01.97,1,London,21.07.2019
24,18,32.0,Michael Norman,USA,03.12.97,1,Eugene,28.05.2022
25,26,32.1,Fred Newhouse,USA,08.11.48,1,Montréal,29.07.1976
26,26,32.1,Harry Reynolds,USA,08.06.64,1,Zürich,17.08.1988
27,26,32.1,Harry Reynolds,USA,08.06.64,2,Göteborg,09.08.1995
28,26,32.1,Michael Johnson,USA,13.09.67,1=,Sydney,25.09.2000
29,26,32.1,Gregory Haughton,JAM,10.11.73,1=,Sydney,25.09.2000
30,26,32.1,Otis Harris,USA,30.06.82,1,Athínai,23.08.2004
31,26,32.1,Darold Williamson,USA,19.02.83,3,Indianapolis,23.06.2007
32,26,32.1,LaShawn Merritt,USA,27.06.86,1=,Eugene,03.07.2016
33,26,32.1,Gil Roberts,USA,15.03.89,1=,Eugene,03.07.2016
34,26,32.1,Nathon Allen,JAM,28.10.95,1=,Eugene,09.06.2017
35,26,32.1,Fred Kerley,USA,07.05.95,1=,Eugene,09.06.2017
36,26,32.1,Fred Kerley,USA,07.05.95,2=,Sacramento,24.06.2017
37,26,32.1,Tony McQuay,USA,16.04.90,2=,Sacramento,24.06.2017
38,26,32.1,Akeem Bloomfield,JAM,10.11.97,2,London,21.07.2019
39,26,32.1,Kirani James,GRN,01.09.92,1,Zürich,09.09.2021
40,26,32.1,Michael Cherry,USA,23.03.95,2,Zürich,09.09.2021
41,26,32.1,Kirani James,GRN,01.09.92,2,Eugene,28.05.2022
42,43,32.2A,Lee Evans,USA,25.02.47,1,Ciudad de México,18.10.1968
43,43,32.2,Gregory Haughton,JAM,10.11.73,2,Göteborg,09.08.1995
44,43,32.2,Jeremy Wariner,USA,31.01.84,2,Athínai,23.08.2004
45,43,32.2,Darold Williamson,USA,19.02.83,1,Sacramento,11.06.2005
46,43,32.2,Tyler Christopher,CAN,03.10.83,2,Helsinki,08.08.2005
47,43,32.2,Demish Gaye,JAM,20.01.93,5,London,08.08.2017
48,43,32.2,Nathon Allen,JAM,28.10.95,3,London,21.07.2019
49,43,32.2,Demish Gaye,JAM,20.01.93,4,London,21.07.2019
50,43,32.2,Kirani James,GRN,01.09.92,1,Stockholm,04.07.2021
51,43,32.2,Deon Lendore,TTO,28.10.92,2,Stockholm,04.07.2021
52,43,32.2,Isaac Makwala,BOT,24.09.85,3,Stockholm,04.07.2021
53,43,32.2,Jereem Richards,TTO,13.01.94,3,Eugene,28.05.2022
