,0,1,2,3,4,5
0,1.0,14:22.22,Kenya,1,Nassau,25.05.2014
1,,,Collins Cheboi,(3:38.5),25.09.87,KEN
2,,,Silas Kiplagat,(3:32.4),20.08.89,KEN
3,,,James Magut,(3:39.0),20.07.90,KEN
4,,,Asbel Kiprop,(3:32.3),30.06.89,KEN
5,2.0,14:34.97,Nike/Bowerman TC - B,1,Portland,31.07.2020
6,,,Evan Jager,,08.03.89,USA
7,,,Grant Fisher,,22.04.97,USA
8,,,Sean McGorty,,07.03.95,USA
9,,,Lopez Lomong,,01.01.85,USA
10,3.0,14:36.23,Kenya,1,Bruxelles,04.09.2009
11,,,William Biwott Tanui,(3:38.5),05.03.90,KEN
12,,,Gideon Gathimba,(3:39.5),09.03.80,KEN
13,,,Geoffrey Rono,(3:41.4),21.04.87,KEN
14,,,Augustine Choge,(3:36.9),21.01.87,KEN
15,4.0,14:38.8,Federal Republic of Germany,1,Köln,17.08.1977
16,,,Thomas Wessinghage,(3:38.8),22.02.52,FRG
17,,,Harald Hudak,(3:40.2),28.01.57,FRG
18,,,Michael Lederer,(3:42.6),26.06.55,FRG
19,,,Karl Fleschen,(3:37.3),28.06.55,FRG
20,5.0,14:40.4,New Zealand,1,Oslo,22.08.1973
21,,,Tony Polhill,(3:42.9),15.12.47,NZL
22,,,John Walker,(3:40.4),12.01.52,NZL
23,,,Rod Dixon,(3:41.2),13.07.50,NZL
24,,,Dick Quax,(3:35.9),01.01.48,NZL
25,6.0,14:40.80,United States,2,Nassau,25.05.2014
26,,,Patrick Casey,(3:38.2),23.05.90,USA
27,,,David Torrence,(3:36.6),26.11.85,USA
28,,,Will Leer,(3:39.3),15.04.85,USA
29,,,Leonel Manzano,(3:46.7),12.09.84,USA
30,7.0,14:41.22,Ethiopia,3,Nassau,25.05.2014
31,,,Mekonnen Gebremedhin,(3:39.9),11.10.88,ETH
32,,,Soresa Fida,(3:37.5),27.05.93,ETH
33,,,Zebene Alemayehu,(3:46.5),04.09.92,ETH
34,,,Aman Wote,(3:37.3),18.04.84,ETH
35,8.0,14:44.31,Mixed Team,2,Bruxelles,04.09.2009
36,,,Belal Mansoor Ali,(3:38.1),17.10.83,BRN
37,,,Bethwell Birgen,(3:43.3),06.08.88,KEN
38,,,Nicholas Kiptanui Kemboi,(3:40.0),18.12.89,KEN
39,,,Dave Campbell,(3:43.0),28.01.82,IRL
