,0,1,2,3,4,5,6,7
0,1,21330m,Mohamed Farah,GBR,23.03.83,1,Bruxelles,04.09.2020
1,2,21322m,Bashir Abdi,BEL,10.02.89,2,Bruxelles,04.09.2020
2,3,21285m,Haile Gebrselassie,ETH,18.04.73,1,Ostrava,27.06.2007
3,4,21250m,Sabastian Sawe,KEN,16.03.95,1,Bruxelles,02.09.2022
4,5,21101m,Arturo Barrios,MEX,12.12.63,1,La Flèche,30.03.1991
5,6,20944m,Jos Hermens,NED,08.01.50,1,Papendal,01.05.1976
6,7,20943m,Dionisio Castro,POR,22.11.63,1,La Flèche,31.03.1990
7,8,20940m,Kibiwott Kandie,KEN,20.06.96,2,Bruxelles,02.09.2022
8,9,20907m,Jos Hermens,NED,08.01.50,1,Papendal,28.09.1975
9,10,20855m,Carl Thackery,GBR,14.10.62,2,La Flèche,31.03.1990
10,11,20822m,Haile Gebrselassie,ETH,18.04.73,1,Hengelo,01.06.2009
11,12,20797m,Kenneth Kiplimo Kimutai,KEN,10.12.81,2,Hengelo,01.06.2009
12,13,20784m,Gaston Roelants,BEL,05.02.37,1,Bruxelles,20.09.1972
13,14,20772m,Mohrad Amdouni,FRA,21.06.88,1,Lucciana,19.09.2020
14,15,20756m,Wilson Kiprop,KEN,14.04.87,3,Hengelo,01.06.2009
15,16,20739m,Jos Hermens,NED,08.01.50,1,Papendal,14.09.1975
16,17,20703m+,Sondre Nordstad Moen,NOR,12.01.91,1,Oslo,11.06.2020
17,18,20644m,Gaston Roelants,BEL,05.02.37,1,Louvain,28.10.1966
18,19,20639m,Samuel Nyangincha,KEN,10.11.62,2,La Flèche,30.03.1991
19,20,20620m,Godfrey Kiprotich,KEN,23.11.64,3,La Flèche,30.03.1991
20,21,20601m,Bertrand Itsweire,FRA,30.08.65,3,La Flèche,31.03.1990
21,22,20587m,Peter Kiprotich,KEN,20.12.98,2,Lucciana,19.09.2020
22,23,20550m,Gerard Tebroke,NED,09.11.49,1,Gröningen,28.09.1978
23,24,20547m,Bill Rodgers,USA,23.12.47,1,Boston,09.08.1977
24,25,20536m,Werner Schildhauer,GER,05.06.59,1,Cottbus,29.04.1983
25,26,20525m,Hansjörg Kunze,GDR,28.12.59,4,La Flèche,31.03.1990
26,27,20518m,Willy Polleunis,BEL,27.12.47,2,Bruxelles,20.09.1972
27,28,20516m,Robert de Castella,AUS,27.02.57,1,Roma,17.04.1982
28,29,20509m,Jean-Louis Prianon,FRA,22.02.60,4,La Flèche,30.03.1991
29,30,20493m,Mariano Haro,ESP,27.05.40,1,San Sebastián,09.08.1975
30,31,20483m,Giuseppe Gerbi,ITA,13.09.55,2,Roma,17.04.1982
31,32,20471m,Ron Hill,GBR,25.09.39,1,Leicester,09.11.1968
32,33,20467m,Loris Pimazzoni,ITA,06.07.56,3,Roma,17.04.1982
33,34,20429m,Pierre Lévisse,FRA,21.02.52,1,La Flèche,25.03.1989
34,35,20416m,Franco Fava,ITA,03.09.52,1,Roma,09.04.1977
35,35,20416m,Bertrand Itsweire,FRA,30.08.65,2,La Flèche,25.03.1989
36,37,20410m,Seiji Kushibe,JPN,11.11.71,1,Tokyo,02.10.1996
37,38,20399m,Jun Hiratsuka,JPN,08.01.69,2,Tokyo,02.10.1996
38,39,20393m,Jürgen Haase,GDR,19.01.45,1,Dresden,06.05.1973
39,40,20386m,Kevin Shaw,RSA,06.10.52,1,Bellville,02.10.1978
40,41,20354m,Aloÿs Nizigama,BDI,18.06.66,1,Hengelo,02.06.2002
41,42,20341m,Franco Fava,ITA,03.09.52,1,Roma,12.04.1975
42,43,20340m,Trevor Wright,GBR,23.09.46,1,Colombes,02.10.1971
43,43,20340m,Jacques Boxberger,FRA,06.04.49,1,Saint-Maur,17.09.1980
44,45,20305m,Lucien Rault,FRA,30.03.36,1,Colombes,14.10.1973
45,46,20304m,Gerard Tebroke,NED,09.11.49,1,Roosendaal,26.09.1977
46,47,20303m,Ronald Grove,GBR,30.06.38,2,Leicester,09.11.1968
47,48,20296m,Seppo Tuominen,FIN,09.07.43,2,Colombes,02.10.1971
48,49,20285m,Noël Tijou,FRA,12.12.41,1,Colombes,14.10.1972
49,50,20281m,Jean-Louis Prianon,FRA,22.02.60,1,St. Paul,14.09.1991
50,51,20280m+,Toshihiko Seko,JPN,15.07.56,1,Christchurch,22.03.1981
51,52,20275m,Jacques Boxberger,FRA,06.04.49,1,Marignane,15.10.1980
52,53,20271m,Daniel Limo Kiprop,KEN,10.12.83,2,Ostrava,27.06.2007
53,54,20270m,John Korir,KEN,15.12.75,1,Martigny,15.04.1998
54,55,20269m,Dominique Chauvelier,FRA,03.08.56,3,La Flèche,25.03.1989
55,56,20264m,Stéphane Schweickhardt,SUI,14.09.60,2,Martigny,15.04.1998
56,57,20240m,Andras Fancsali,HUN,03.11.49,1,Budapest,16.04.1978
57,58,20238m,Dominique Chauvelier,FRA,03.08.56,5,La Flèche,30.03.1991
58,59,20237m,Lutz Philipp,FRG,14.10.40,2,Colombes,14.10.1973
59,59,20237m,Jackson Kipng'ok,KEN,14.12.60,6,La Flèche,30.03.1991
60,61,20232m,Ron Clarke,AUS,21.02.37,1,Geelong,27.10.1965
61,61,20232m,Dominique Coux,FRA,06.01.50,1,Saint-Maur,26.09.1979
62,63,20223m+,Bill Rodgers,USA,23.12.47,1,Saratoga,21.02.1979
63,64,20220m,Youssuf Doukal,DJI,06.11.58,7,La Flèche,30.03.1991
64,65,20218m,Leszek Beblo,POL,08.07.66,5,La Flèche,31.03.1990
65,66,20206m,Alessio Faustini,ITA,10.06.60,1,Roma,10.04.1983
66,67,20201m,Jim Alder,GBR,10.06.40,3,Leicester,09.11.1968
