,0,1,2,3,4,5,6,7
0,1,3:47.01,Yomif Kejelcha,ETH,01.08.97,1,Boston,03.03.2019
1,2,3:47.38,Yared Nuguse,USA,01.06.99,1rA,New York City,11.02.2023
2,3,3:48.45,Hicham El Guerrouj,MAR,14.09.74,1,Gent,12.02.1997
3,4,3:48.46,Yomif Kejelcha,ETH,01.08.97,1rA,New York City,09.02.2019
4,5,3:48.87,Josh Kerr,GBR,08.10.97,1r1,Boston,27.02.2022
5,6,3:49.44,Edward Cheserek,KEN,02.02.94,1,Boston,09.02.2018
6,7,3:49.46,Neil Gourley,GBR,07.02.95,2rA,New York City,11.02.2023
7,8,3:49.78,Eamonn Coghlan,IRL,24.11.52,1,East Rutherford,27.02.1983
8,9,3:49.89,Bernard Lagat,USA,12.12.74,1,Fayetteville,11.02.2005
9,10,3:49.98,Johnny Gregorek,USA,07.12.91,2,Boston,03.03.2019
10,11,3:50.17,Cooper Teare,USA,18.08.99,1,Chicago,11.02.2022
11,12,3:50.35,Cole Hocker,USA,06.06.01,2,Chicago,11.02.2022
12,13,3:50.39,Cooper Teare,USA,18.08.99,1,Fayetteville,12.02.2021
13,14,3:50.45,Amos Bartelsmeyer,GER,25.07.94,1r1,Boston,11.02.2023
14,15,3:50.46,Anas Essayi,MAR,18.05.01,2r1,Boston,11.02.2023
15,16,3:50.55,Cole Hocker,USA,06.06.01,2,Fayetteville,12.02.2021
16,17,3:50.6,Eamonn Coghlan,IRL,24.11.52,1,San Diego,20.02.1981
17,18,3:50.63,Matthew Centrowitz,USA,18.10.89,1rA,New York City,20.02.2016
18,19,3:50.70,Noureddine Morceli,ALG,28.02.70,1,Birmingham,20.02.1993
19,20,3:50.81,Noureddine Morceli,ALG,28.02.70,1,East Rutherford,08.02.1991
20,21,3:50.83,Oliver Hoare,AUS,29.01.97,1rA,New York City,29.01.2022
21,21,3:50.83,Oliver Hoare,AUS,29.01.97,3rA,New York City,11.02.2023
22,23,3:50.92,Galen Rupp,USA,08.05.86,1rA,Boston,26.01.2013
23,24,3:50.94,Marcus O'Sullivan,IRL,22.12.61,1,East Rutherford,13.02.1988
24,24,3:50.94,Samuel Prakel,USA,29.10.94,3,Boston,03.03.2019
25,26,3:51.06,Nick Willis,NZL,25.04.83,2rA,New York City,20.02.2016
26,27,3:51.20,Ray Flynn,IRL,22.01.57,2,East Rutherford,27.02.1983
27,28,3:51.21,Lopez Lomong,USA,01.01.85,1,New York City,16.02.2013
28,29,3:51.22,George Beamish,NZL,24.10.96,1r2,Boston,26.02.2023
29,30,3:51.25,Samuel Prakel,USA,29.10.94,2r2,Boston,26.02.2023
30,31,3:51.26,Henry Wynne,USA,17.04.95,4,Boston,03.03.2019
31,32,3:51.34,Bernard Lagat,USA,12.12.74,1,Liévin,10.02.2009
32,32,3:51.34,Matthew Centrowitz,USA,18.10.89,2,New York City,16.02.2013
33,34,3:51.35,Matthew Centrowitz,USA,18.10.89,1,New York City,14.02.2015
34,35,3:51.46,Nick Willis,NZL,25.04.83,2,New York City,14.02.2015
35,36,3:51.61,Nick Willis,NZL,25.04.83,1,Boston,07.02.2015
36,37,3:51.66,Marcus O'Sullivan,IRL,22.12.61,1r1,East Rutherford,10.02.1989
37,38,3:51.70,Yomif Kejelcha,ETH,01.08.97,1,Boston,26.01.2019
38,38,3:51.70,Samuel Tanner,NZL,24.08.00,4rA,New York City,11.02.2023
39,40,3:51.79,Mariano Garcia,ESP,25.09.97,5rA,New York City,11.02.2023
40,41,3:51.8,Steve Scott,USA,05.05.56,2,San Diego,20.02.1981
41,42,3:51.82,Johnny Gregorek,USA,07.12.91,6rA,New York City,11.02.2023
42,43,3:52.01,Edward Cheserek,KEN,02.02.94,1rA,Boston,26.02.2017
43,44,3:52.02,Peter Elliott,GBR,09.10.62,1,East Rutherford,09.02.1990
44,45,3:52.03,Morgan Beadlescomb,USA,01.06.98,3,Chicago,11.02.2022
45,46,3:52.10,Ciarán O'Lionáird,IRL,11.04.88,3,New York City,16.02.2013
46,47,3:52.18,Rui Silva,POR,03.08.77,1,Stockholm,15.02.2001
47,48,3:52.22,Kyle Merber,USA,19.11.90,2rA,Boston,26.02.2017
48,49,3:52.27,Josh Kerr,GBR,08.10.97,2rA,New York City,29.01.2022
49,50,3:52.28,Steve Scott,USA,05.05.56,3,East Rutherford,27.02.1983
50,51,3:52.30,Frank O'Mara,IRL,17.07.60,1,Fayetteville,25.01.1986
51,52,3:52.37,Eamonn Coghlan,IRL,24.11.52,1,East Rutherford,09.02.1985
52,53,3:52.40,Sydney Maree,USA,09.09.56,2,East Rutherford,09.02.1985
53,54,3:52.47,Will Leer,USA,15.04.85,1,New York City,15.02.2014
54,55,3:52.49,Joshua Thompson,USA,16.01.93,7rA,New York City,11.02.2023
55,56,3:52.51,Mehdi Baala,FRA,17.08.78,2,Liévin,10.02.2009
56,56,3:52.51,Henry Wynne,USA,17.04.95,1r1,Boston,26.02.2023
57,58,3:52.54,Cameron Procevait,CAN,20.09.93,2r1,Boston,27.02.2022
58,59,3:52.56,José Manuel Abascal,ESP,17.03.58,4,East Rutherford,27.02.1983
59,59,3:52.56,Cooper Teare,USA,18.08.99,2r1,Boston,26.02.2023
60,61,3:52.58,Eduardo Herrera,USA,23.09.97,3r1,Boston,26.02.2023
61,62,3:52.6,Eamonn Coghlan,IRL,24.11.52,1,San Diego,16.02.1979
62,63,3:52.62,Kieran Lumb,CAN,02.08.98,3r2,Boston,26.02.2023
63,64,3:52.63,Silas Kiplagat,KEN,20.08.89,1,Fayetteville,11.02.2012
64,65,3:52.66,Caleb Ndiku,KEN,09.10.92,2,Fayetteville,11.02.2012
65,66,3:52.8,John Walker,NZL,12.01.52,3,San Diego,20.02.1981
66,66,3:52.8,John Walker,NZL,12.01.52,1,San Diego,19.02.1982
67,66,3:52.80,Johnny Gregorek,USA,07.12.91,4r2,Boston,26.02.2023
68,69,3:52.84,Colby Alexander,USA,13.06.91,3rA,New York City,29.01.2022
69,69,3:52.84,Neil Gourley,GBR,07.02.95,1,Boston,04.02.2023
70,71,3:52.85,Samuel Tanner,NZL,24.08.00,2,Boston,04.02.2023
71,72,3:52.87,Bernard Lagat,USA,12.12.74,1,New York City,04.02.2005
72,72,3:52.87,Luke Houser,USA,01.01.01,5r2,Boston,26.02.2023
73,74,3:52.88,Lawi Lalang,KEN,15.06.91,2,New York City,15.02.2014
74,75,3:52.9,Eamonn Coghlan,IRL,24.11.52,1,Los Angeles,15.02.1980
75,76,3:52.91,Chris O'Hare,GBR,23.11.90,3rA,New York City,20.02.2016
76,77,3:52.98,Chris O'Hare,GBR,23.11.90,4,New York City,16.02.2013
77,78,3:52.99,Noureddine Morceli,ALG,28.02.70,1,New York City,22.02.1991
78,79,3:53.0,Steve Scott,USA,05.05.56,2,Los Angeles,15.02.1980
79,79,3:53.0,Eamonn Coghlan,IRL,24.11.52,1,New York City,06.02.1981
80,81,3:53.02,Nick Willis,NZL,25.04.83,3,New York City,15.02.2014
81,82,3:53.1,Eamonn Coghlan,IRL,24.11.52,1,San Diego,18.02.1983
82,83,3:53.13,Ben Blankenship,USA,15.12.88,2,Boston,07.02.2015
83,83,3:53.13,Sam Ellis,USA,20.10.98,6r2,Boston,26.02.2023
84,85,3:53.15,Johnny Gregorek,USA,07.12.91,3rA,Boston,26.02.2017
85,86,3:53.16,Robby Andrews,USA,29.03.91,4rA,New York City,20.02.2016
86,87,3:53.18,Laban Rotich,KEN,20.01.69,1,Boston,29.01.2005
87,88,3:53.23,Eric Jenkins,USA,24.11.91,1rA,New York City,11.02.2017
88,89,3:53.25,Nathan Green,USA,10.04.03,7r2,Boston,26.02.2023
89,90,3:53.26,Paul Korir,KEN,15.07.77,1,Fayetteville,14.02.2004
90,91,3:53.27,Nick Willis,NZL,25.04.83,1,Boston,14.02.2016
91,92,3:53.29,Edward Cheserek,KEN,02.02.94,2rA,New York City,09.02.2019
92,93,3:53.30,Clayton Murphy,USA,26.02.95,3rA,New York City,09.02.2019
93,94,3:53.31,Noah Ngeny,KEN,02.11.78,2,Stockholm,15.02.2001
94,95,3:53.40,Izaic Yorks,USA,17.04.94,1rA,Boston,25.02.2018
95,96,3:53.42,Frank O'Mara,IRL,17.07.60,1,Providence,01.02.1987
96,97,3:53.49,Reyes Estévez,ESP,02.08.76,3,Stockholm,15.02.2001
97,97,3:53.49,Charles Hunter,AUS,20.07.96,3,Fayetteville,12.02.2021
98,99,3:53.50,Noureddine Morceli,ALG,28.02.70,1r1,New York City,01.02.1991
