,0,1,2,3,4,5,6,7
0,1,9.88,Maurice Greene,USA,23.07.74,1q2,Edmonton,04.08.2001
1,3,9.95,Bernard Williams,USA,19.01.78,1q5,Edmonton,04.08.2001
2,4,9.97,Mark Lewis-Francis,GBR,04.09.82,1q3,Edmonton,04.08.2001
3,4,9.97,Dwain Chambers,GBR,05.04.78,1q4,Edmonton,04.08.2001
4,6,10.0,Kim Collins,SKN,05.04.76,1q1,Edmonton,04.08.2001
5,7,10.03,Obadele Thompson,BAR,30.03.76,2q3,Edmonton,04.08.2001
6,8,10.06,Ato Boldon,TTO,30.12.73,2q2,Edmonton,04.08.2001
7,8,10.06,Nobuharu Asahara,JPN,21.06.72,2q4,Edmonton,04.08.2001
8,8,10.06,Uchenna Emedolu,NGR,17.09.76,2q1,Edmonton,04.08.2001
9,11,10.09,Christian Malcolm,GBR,03.06.79,2q5,Edmonton,04.08.2001
10,11,10.09,Troy Douglas,NED,30.11.62,3q1,Edmonton,04.08.2001
