,0,1,2,3,4,5,6,7,8
0,1,9.7,±0.0,Nicholas Mabilo,NGR,14.02.03,1,Benin City,26.05.2022
1,2,9.8,,Osmond Ezinwa,NGR,22.11.71,1h2,Bauchi,02.01.1990
2,2,9.8,±0.0,Michael Herrera,CUB,05.06.85,1,La Habana,19.03.2010
3,2,9.8,,Isaac Botsio,NGR,11.12.99,1,Tamale,12.02.2022
4,5,9.9,,Claudiu Suselescu,ROU,09.12.52,1,Bucuresti,14.08.1976
5,5,9.9,±0.0,Yunier Pérez,CUB,16.02.85,2,La Habana,19.03.2010
6,5,9.9,±0.0,Roberto Skyers,CUB,12.11.91,3,La Habana,19.03.2010
7,5,9.9,±0.0,Rolando Palacios,HON,03.05.87,4,La Habana,19.03.2010
8,5,9.9,±0.0,Víctor Angel González,CUB,08.06.87,5,La Habana,19.03.2010
9,5,9.9,±0.0,Adekalu Nicholas Fakorede,NGR,28.06.03,2,Benin City,26.05.2022
