,0,1,2,3,4,5,6,7
0,1,28:03.56,Charles Karanja,KEN,05.08.97,4r7,Hachioji,21.11.2020
1,2,28:09.14,Kyohei Hosoya,JPN,31.08.95,7r7,Hachioji,21.11.2020
2,3,28:09.23,Tadashi Isshiki,JPN,05.06.94,8r7,Hachioji,21.11.2020
3,4,28:10.84,Yudai Okamoto,JPN,29.12.91,1r9,Hachioji,21.11.2020
4,5,28:13.50,Kiyoshi Koga,JPN,30.04.96,1r6,Hachioji,21.11.2020
5,6,28:15.66,Takahiro Nakamura,JPN,24.08.83,10r7,Hachioji,21.11.2020
6,7,28:16.62,Masato Kikuchi,JPN,18.09.90,2r9,Hachioji,21.11.2020
7,8,28:17.84,Taiga Nakanishi,JPN,27.05.00,4r9,Hachioji,21.11.2020
8,9,28:19.26,Yuchi Fukuda,JPN,10.04.98,3r6,Hachioji,21.11.2020
9,10,28:19.48,Shuichi Kondo,JPN,27.07.95,4r6,Hachioji,21.11.2020
10,11,28:19.61,Shuichi Kondo,JPN,27.07.95,5r6,Hachioji,21.11.2020
11,12,28:20.13,Takuro Miura,JPN,04.12.99,6r9,Hachioji,21.11.2020
12,13,28:21.50,Masaki Sakuda,JPN,06.05.96,6r6,Hachioji,21.11.2020
13,14,28:24.17,Toshio Takaki,JPN,09.08.93,7r9,Hachioji,21.11.2020
14,15,28:24.46,Naoki Koyama,JPN,12.05.96,7r6,Hachioji,21.11.2020
15,16,28:25.40,Kazuki Muramoto,JPN,10.11.92,8r9,Hachioji,21.11.2020
16,17,28:27.37,Hiroyuki Yamamoto,JPN,30.04.86,10r9,Hachioji,21.11.2020
