,0,1,2,3,4,5,6,7,8
0,1,12.80,+0.3,Aries Merritt,USA,24.07.85,1,Bruxelles,07.09.2012
1,2,12.81,+1.8,Grant Holloway,USA,19.11.97,1s1,Eugene,26.06.2021
2,3,12.84,+1.6,Devon Allen,USA,12.12.94,1,New York City,12.06.2022
3,4,12.87,+0.9,Dayron Robles,CUB,19.11.86,1rA,Ostrava,12.06.2008
4,5,12.88,+1.1,Liu Xiang,CHN,13.07.83,1rA,Lausanne,11.07.2006
5,5,12.88,+0.5,Dayron Robles,CUB,19.11.86,1,Saint-Denis,18.07.2008
6,7,12.89,+0.5,David Oliver,USA,24.04.82,1,Saint-Denis,16.07.2010
7,8,12.90,+1.1,Dominique Arnold,USA,14.09.73,2rA,Lausanne,11.07.2006
8,8,12.90,+1.6,David Oliver,USA,24.04.82,1,Eugene,03.07.2010
9,8,12.90,+0.7,Omar McLeod,JAM,25.04.94,1,Kingston,24.06.2017
10,11,12.91,+0.5,Colin Jackson,GBR,18.02.67,1,Stuttgart,20.08.1993
11,11,12.91,+0.3,Liu Xiang,CHN,13.07.83,1,Athínai,27.08.2004
12,11,12.91,+0.2,Dayron Robles,CUB,19.11.86,1,Stockholm,22.07.2008
13,14,12.92,-0.1,Roger Kingdom,USA,26.08.62,1rA,Zürich,16.08.1989
14,14,12.92,+0.9,Allen Johnson,USA,01.03.71,1,Atlanta,23.06.1996
15,14,12.92,+0.2,Allen Johnson,USA,01.03.71,1,Bruxelles,23.08.1996
16,14,12.92,+1.5,Liu Xiang,CHN,13.07.83,1,New York City,02.06.2007
17,14,12.92,±0.0,Dayron Robles,CUB,19.11.86,1,Stuttgart,23.09.2007
18,14,12.92,-0.3,Aries Merritt,USA,24.07.85,1,London,08.08.2012
19,14,12.92,+0.6,Sergey Shubenkov,RUS,04.10.90,1,Székesfehérvár,02.07.2018
20,21,12.93,-0.2,Renaldo Nehemiah,USA,24.03.59,1r2,Zürich,19.08.1981
21,21,12.93,±0.0,Allen Johnson,USA,01.03.71,1,Athínai,07.08.1997
22,21,12.93,-0.6,Liu Xiang,CHN,13.07.83,1,Stuttgart,09.09.2006
23,21,12.93,+0.1,Dayron Robles,CUB,19.11.86,1,Beijing,21.08.2008
24,21,12.93,+1.7,David Oliver,USA,24.04.82,1,Des Moines,27.06.2010
25,21,12.93,-0.3,David Oliver,USA,24.04.82,1,Zürich,19.08.2010
26,21,12.93,+1.2,Aries Merritt,USA,24.07.85,1,Eugene,30.06.2012
27,21,12.93,+0.6,Aries Merritt,USA,24.07.85,1,London,13.07.2012
28,21,12.93,±0.0,Aries Merritt,USA,24.07.85,1,Monaco,20.07.2012
29,30,12.94,+1.6,Jack Pierce,USA,23.09.62,1s2,Atlanta,22.06.1996
30,30,12.94,+1.8,David Oliver,USA,24.04.82,1,Eugene,04.06.2011
31,30,12.94,+0.1,Aries Merritt,USA,24.07.85,1s2,London,08.08.2012
32,30,12.94,+0.8,Hansle Parchment,JAM,17.06.90,1,Lausanne,05.07.2014
33,30,12.94,+0.5,Orlando Ortega,CUB,29.07.91,1rA,Saint-Denis,04.07.2015
34,35,12.95,+0.6,Allen Johnson,USA,01.03.71,1,Atlanta,29.07.1996
35,35,12.95,+1.5,Terrence Trammell,USA,23.11.78,2,New York City,02.06.2007
36,35,12.95,+1.7,Liu Xiang,CHN,13.07.83,1,Osaka,31.08.2007
37,35,12.95,+2.0,David Oliver,USA,24.04.82,1,Ad-Dawhah,09.05.2008
38,35,12.95,-1.7,Dayron Robles,CUB,19.11.86,1rA,Dubnica nad Váhom,07.09.2008
39,35,12.95,-0.9,Aries Merritt,USA,24.07.85,1,Birmingham,26.08.2012
40,35,12.95,+0.2,Pascal Martinot-Lagarde,FRA,22.09.91,1,Monaco,18.07.2014
41,35,12.95,+0.6,Sergey Shubenkov,RUS,04.10.90,1,Lausanne,05.07.2018
42,43,12.96,+0.4,Allen Johnson,USA,01.03.71,1,Athínai,17.09.2006
