,0,1,2,3,4,5,6,7
0,1,3:30.54,Amine Laâlou,MAR,13.05.82,,Monaco,20.07.2012
1,2,3:30.77,Adil Kaouch,MAR,01.01.79,,Roma,13.07.2007
2,3,3:32.86,Rashid Ramzi,BRN,17.07.80,rA,Zürich,29.08.2008
3,4,3:32.89,Rashid Ramzi,BRN,17.07.80,h4,Beijing,15.08.2008
4,5,3:32.94,Rashid Ramzi,BRN,17.07.80,,Beijing,19.08.2008
5,6,3:34.29,Yassine Bensghir,MAR,03.01.83,rB,Rabat,14.06.2015
6,7,3:34.80,Yassine Bensghir,MAR,03.01.83,,Marrakesh,08.06.2014
7,8,3:35.24,Yassine Bensghir,MAR,03.01.83,rA,Carquefou,20.06.2014
8,9,3:35.56,Yassine Bensghir,MAR,03.01.83,,Tomblaine,01.07.2015
9,10,3:35.93,Fouad El Kaam,MAR,27.05.88,,Praha,13.06.2011
10,11,3:35.95,Abdulhadi Labali,MAR,26.04.93,,Dakar,12.06.2013
11,12,3:36.58,Hamza Driouch,QAT,16.11.94,,Zagreb,04.09.2012
12,13,3:36.73,Fouad El Kaam,MAR,27.05.88,,Torino,10.06.2011
13,14,3:37.11,Rashid Ramzi,BRN,17.07.80,s2,Beijing,17.08.2008
14,15,3:37.12,Yassine Bensghir,MAR,03.01.83,,Tomblaine,27.06.2014
15,16,3:37.18,Dieter Baumann,GER,09.02.65,,Heusden-Zolder,05.08.2000
16,17,3:37.26,Yassine Bensghir,MAR,03.01.83,rA,Amiens,21.06.2014
17,18,3:37.52,Abdulhadi Labali,MAR,26.04.93,,Marrakesh,08.06.2014
18,19,3:37.58,Dieter Baumann,GER,09.02.65,r1,Leverkusen,20.08.2000
19,20,3:37.89,Abdulhadi Labali,MAR,26.04.93,rB,Rabat,14.06.2015
