,0,1,2,3,4,5,6
0,1,1:16:53,Vladimir Kanaykin,RUS,21.03.85,Saransk,08.06.2008
1,2,1:17:47,Andrey Ruzavin,RUS,28.03.86,Sochi,18.02.2012
2,3,1:17:52,Sergey Morozov,RUS,21.03.88,Sochi,18.02.2012
3,4,1:18:25,Andrey Krivov,RUS,14.11.85,Sochi,18.02.2012
4,5,1:18:28,Pyotr Trofimov,RUS,18.12.83,Sochi,23.02.2013
5,6,1:18:29,Stanislav Yemelyanov,RUS,23.10.90,Sochi,18.02.2012
6,7,1:18:37,Ruslan Dmytrenko,UKR,22.03.86,Taicang,04.05.2014
7,8,1:18:41,Valeriy Borchin,RUS,03.07.86,Berlin,15.08.2009
8,9,1:18:55,Valeriy Borchin,RUS,03.07.86,Rio Maior,09.04.2011
9,10,1:18:59,Andrey Ruzavin,RUS,28.03.86,Taicang,04.05.2014
10,11,1:19:06,Andrey Ruzavin,RUS,28.03.86,Sochi,23.02.2013
11,12,1:19:08,Andrey Ruzavin,RUS,28.03.86,Cheboksary,08.06.2013
12,13,1:19:18,Sergey Morozov,RUS,21.03.88,Saransk,12.06.2011
13,14,1:19:20,Pyotr Trofimov,RUS,18.12.83,Sochi,18.02.2012
14,15,1:19:27,Andrey Krivov,RUS,14.11.85,Saransk,12.05.2012
15,16,1:19:33,Stanislav Yemelyanov,RUS,23.10.90,Rio Maior,09.04.2011
16,17,1:19:43,Valeriy Borchin,RUS,03.07.86,Sesto San Giovanni,01.05.2011
17,17,1:19:43,Vladimir Kanaykin,RUS,21.03.85,Saransk,12.05.2012
18,19,1:19:45,Aleksandr Ivanov,RUS,25.04.93,Zürich,13.08.2014
19,20,1:19:46,Ruslan Dmytrenko,UKR,22.03.86,Zürich,13.08.2014
20,21,1:19:47,Stanislav Yemelyanov,RUS,23.10.90,Sochi,18.02.2017
21,22,1:19:49,Sergey Morozov,RUS,21.03.88,Moskva,10.06.2012
22,23,1:19:56,Valeriy Borchin,RUS,03.07.86,Daegu,28.08.2011
23,24,1:20:04,Denis Strelkov,RUS,26.10.90,Cheboksary,13.06.2015
24,25,1:20:06,Aleksandr Ivanov,RUS,25.04.93,Sochi,27.02.2015
25,26,1:20:08,Sergey Morozov,RUS,21.03.88,Sochi,26.02.2011
26,26,1:20:08,Ruslan Dmytrenko,UKR,22.03.86,Lugano,16.03.2014
27,28,1:20:10,Stanislav Yemelyanov,RUS,23.10.90,Barcelona,27.07.2010
28,28,1:20:10,Stanislav Yemelyanov,RUS,23.10.90,Cheboksary,13.06.2015
29,30,1:20:17,Ruslan Dmytrenko,UKR,22.03.86,Saransk,12.05.2012
30,31,1:20:19,Ruslan Dmytrenko,UKR,22.03.86,Lugano,18.03.2012
31,32,1:20:23,Alex Schwazer,ITA,26.11.84,La Coruña,28.05.2016
32,33,1:20:26,Sergey Morozov,RUS,21.03.88,Saransk,12.05.2012
33,34,1:20:27,Vladimir Kanaykin,RUS,21.03.85,Daegu,28.08.2011
34,35,1:20:29,Gurmeet Singh,IND,01.07.85,Nomi,20.03.2016
35,36,1:20:31,Pyotr Trofimov,RUS,18.12.83,Sochi,26.02.2011
36,37,1:20:33,Ruslan Dmytrenko,UKR,22.03.86,Roma,07.05.2016
37,38,1:20:37,Andrey Ruzavin,RUS,28.03.86,Saransk,12.05.2012
38,39,1:20:40,Daniel Plaza,ESP,03.07.66,Podébrady,19.04.1997
39,40,1:20:44,Pyotr Trofimov,RUS,18.12.83,Adler,20.02.2010
40,40,1:20:44,Aleksandr Ivanov,RUS,25.04.93,Sochi,22.03.2014
41,42,1:20:47,Andrey Krivov,RUS,14.11.85,Saransk,12.06.2011
42,43,1:20:48,Andrey Ruzavin,RUS,28.03.86,Moskva,10.06.2012
43,44,1:20:51,Pyotr Trofimov,RUS,18.12.83,Taicang,30.03.2012
44,45,1:20:54,Ruslan Dmytrenko,UKR,22.03.86,Kazan,09.07.2013
45,46,1:20:58,Aleksandr Ivanov,RUS,25.04.93,Moskva,11.08.2013
