,0,1,2,3,4,5,6,7,8
0,1,19.19,-0.3,Usain Bolt,JAM,21.08.86,1,Berlin,20.08.2009
1,2,19.26,+0.7,Yohan Blake,JAM,26.12.89,1,Bruxelles,16.09.2011
2,3,19.30,-0.9,Usain Bolt,JAM,21.08.86,1,Beijing,20.08.2008
3,4,19.31,+0.4,Noah Lyles,USA,18.07.97,1,Eugene,21.07.2022
4,5,19.32,+0.4,Michael Johnson,USA,13.09.67,1,Atlanta,01.08.1996
5,5,19.32,+0.4,Usain Bolt,JAM,21.08.86,1,London,09.08.2012
6,7,19.40,+0.8,Usain Bolt,JAM,21.08.86,1,Daegu,03.09.2011
7,8,19.44,+0.4,Yohan Blake,JAM,26.12.89,2,London,09.08.2012
8,9,19.46,+0.8,Noah Lyles,USA,18.07.97,1,Monaco,10.08.2022
9,10,19.49,+1.4,Erriyon Knighton,USA,29.01.04,1r1,Baton Rouge,30.04.2022
10,11,19.50,-0.1,Noah Lyles,USA,18.07.97,1,Lausanne,05.07.2019
11,12,19.52,+1.5,Noah Lyles,USA,18.07.97,1,Eugene,21.08.2021
12,12,19.52,-0.6,Noah Lyles,USA,18.07.97,1,Zürich,08.09.2022
13,14,19.53,+0.7,Walter Dix,USA,31.01.86,2,Bruxelles,16.09.2011
14,15,19.54,±0.0,Yohan Blake,JAM,26.12.89,1,Bruxelles,07.09.2012
15,16,19.55,-0.1,Usain Bolt,JAM,21.08.86,1,Beijing,27.08.2015
16,17,19.56,-0.8,Usain Bolt,JAM,21.08.86,1,Kingston,01.05.2010
17,17,19.56,+1.3,Noah Lyles,USA,18.07.97,1,Lausanne,26.08.2022
18,19,19.57,±0.0,Usain Bolt,JAM,21.08.86,1,Bruxelles,04.09.2009
19,19,19.57,+0.4,Justin Gatlin,USA,10.02.82,1,Eugene,28.06.2015
20,21,19.58,+1.3,Tyson Gay,USA,09.08.82,1,New York City,30.05.2009
21,21,19.58,+1.4,Usain Bolt,JAM,21.08.86,1rA,Lausanne,23.08.2012
22,23,19.59,-0.9,Usain Bolt,JAM,21.08.86,1rA,Lausanne,07.07.2009
23,24,19.61,+1.3,Noah Lyles,USA,18.07.97,1,New York City,12.06.2022
24,25,19.62,-0.3,Tyson Gay,USA,09.08.82,1,Indianapolis,24.06.2007
25,25,19.62,-0.5,Andre De Grasse,CAN,10.11.94,1,Tokyo,04.08.2021
