,0,1,2,3,4,5,6,7,8
0,1,19.84,0.6,Wayde van Niekerk,RSA,15.07.92,1,Boston,04.06.2017
1,2,19.88,0.3,Steven Gardiner,BAH,12.09.95,1,Boston,20.05.2018
2,3,19.89,-0.3,Jerome Blake,CAN,18.08.95,1,Boston,23.05.2021
3,4,19.93,-0.3,Zharnel Hughes,GBR,13.07.95,2,Boston,23.05.2021
4,5,20.0,-0.2,Zharnel Hughes,GBR,13.07.95,1,Boston,16.06.2019
5,6,20.03,0.3,Alonso Edward,PAN,08.12.89,2,Boston,20.05.2018
6,6,20.03,0.3,Jereem Richards,TTO,13.01.94,3,Boston,20.05.2018
7,8,20.09,-0.2,Kyle Greaux,TTO,26.04.88,2,Boston,16.06.2019
8,9,20.17,0.6,Beejay Lee,USA,05.03.93,2,Boston,04.06.2017
9,10,20.36,0.3,Josephus Lyles,USA,22.07.98,4,Boston,20.05.2018
