,0,1,2,3,4,5,6,7
0,1,7:40.66,Abdihamid Nur,SOM,14.10.98,1r7,Seattle,11.02.2022
1,2,7:41.63,Fouad Messaoudi,MAR,07.01.01,1r7,Seattle,10.02.2023
2,3,7:41.99,Ryan Schoppe,USA,01.01.02,2r7,Seattle,10.02.2023
3,4,7:42.30,Ky Robinson,AUS,27.02.02,1r2,Seattle,25.02.2023
4,5,7:42.67,Eduardo Herrera,USA,23.09.97,2r7,Seattle,11.02.2022
5,6,7:43.08,Ryan Hill,USA,31.01.90,1r2,Seattle,11.02.2012
6,7,7:43.10,Cole Sprout,USA,03.12.01,1r2,Seattle,26.02.2022
7,8,7:43.27,Kieran Lumb,CAN,02.08.98,1,Seattle,14.01.2023
8,9,7:43.84,Charlie Hicks,GBR,25.07.01,2r2,Seattle,26.02.2022
9,10,7:44.20,Lawi Lalang,KEN,15.06.91,1,Seattle,01.02.2014
10,11,7:44.45,Andrew Bumbalough,USA,14.03.87,1,Seattle,03.03.2012
11,12,7:44.63,Diego Estrada,MEX,12.12.89,2r2,Seattle,11.02.2012
12,13,7:44.90,Duncan Hamilton,USA,14.07.00,3r7,Seattle,10.02.2023
13,14,7:45.40,Duncan Hamilton,USA,14.07.00,3r7,Seattle,11.02.2022
14,15,7:45.71,Colby Gilbert,USA,17.03.95,1r4,Seattle,28.01.2017
15,16,7:45.80,Colton Johnsen,USA,08.05.98,4r7,Seattle,11.02.2022
16,17,7:45.82,Lopez Lomong,USA,01.01.85,1r6,Seattle,15.02.2020
17,18,7:45.92,Ben Blankenship,USA,15.12.88,1r1,Seattle,15.01.2022
18,19,7:46.06,Samuel Prakel,USA,29.10.94,2r1,Seattle,15.01.2022
19,20,7:46.11,Marc Scott,GBR,21.12.93,2r6,Seattle,15.02.2020
20,21,7:46.17,Johnny Gregorek,USA,07.12.91,3r1,Seattle,15.01.2022
21,22,7:46.19,Joshua Yeager,USA,,1r6,Seattle,11.02.2022
22,23,7:46.22,Charles Philibert-Thiboutot,CAN,31.12.90,2r4,Seattle,28.01.2017
23,24,7:46.24,Evan Jager,USA,08.03.89,3r6,Seattle,15.02.2020
24,25,7:46.42,Evan Jager,USA,08.03.89,2,Seattle,03.03.2012
25,26,7:46.45,Cooper Teare,USA,18.08.99,4r6,Seattle,15.02.2020
26,27,7:46.48,Ryan Schoppe,USA,01.01.02,2r6,Seattle,11.02.2022
27,28,7:46.76,Sean McGorty,USA,07.03.95,5r6,Seattle,15.02.2020
28,29,7:47.10,James West,GBR,30.01.96,6r6,Seattle,15.02.2020
29,30,7:47.11,Joey Berriatura,USA,16.06.95,4r1,Seattle,15.01.2022
30,31,7:47.18,Nathan Brannen,CAN,08.09.82,3r4,Seattle,28.01.2017
31,32,7:47.20,Edward Cheserek,KEN,02.02.94,1rA,Seattle,01.03.2014
32,33,7:47.45,Charlie Hicks,GBR,25.07.01,2r2,Seattle,25.02.2023
33,34,7:47.52,David McNeill,AUS,06.10.86,1,Seattle,13.02.2010
34,35,7:47.56,Mario García,ESP,29.06.99,1r1,Nashville,12.02.2022
35,36,7:47.57,Marc Scott,GBR,21.12.93,1rA,Ames,11.02.2017
36,37,7:47.82,Justyn Knight,CAN,19.07.96,2rA,Ames,11.02.2017
37,38,7:47.91,Henry Lelei,KEN,31.12.88,1,Notre Dame,02.03.2013
38,39,7:47.93,Sam Gilman,USA,20.09.00,1r4,Ames,11.02.2022
39,40,7:47.97,German Fernandez,USA,02.11.90,1rA,Seattle,14.02.2009
40,41,7:47.99,Hyuga Endo,JPN,05.08.98,7r6,Seattle,15.02.2020
41,42,7:48.05,Michael Coe,USA,04.12.87,2rA,Seattle,14.02.2009
42,43,7:48.13,Kemoy Campbell,JAM,14.01.91,1rA,Seattle,14.02.2015
43,44,7:48.17,Garrett Heath,USA,03.11.85,2rA,Seattle,14.02.2015
44,45,7:48.25,Cameron Levins,CAN,28.03.89,1rA,Seattle,28.01.2012
45,46,7:48.32,Nate Osterstock,USA,,3r6,Seattle,11.02.2022
46,47,7:48.48,Jeramy Elkaim,USA,25.12.92,1r1,Seattle,28.02.2015
47,48,7:48.59,Bolota Asmerom,USA,12.10.78,1,Seattle,31.01.2004
48,49,7:48.65,Nick Willis,NZL,25.04.83,1,Notre Dame,05.02.2005
49,50,7:48.71,Justyn Knight,CAN,19.07.96,1rA,Ames,13.02.2016
50,50,7:48.71,Abdirizak Ibrahim,USA,01.07.97,5r7,Seattle,11.02.2022
51,52,7:48.73,Alex Maier,USA,12.11.00,1r2,Ames,26.02.2022
52,53,7:48.74,Hillary Cheruiyot,KEN,12.11.99,2r1,Nashville,12.02.2022
53,54,7:48.79,Sean McGorty,USA,07.03.95,2rA,Ames,13.02.2016
54,55,7:48.81,Luke Houser,USA,02.05.01,4r7,Seattle,10.02.2023
55,56,7:48.98,Wesley Kiptoo,KEN,19.05.96,2r4,Ames,11.02.2022
56,57,7:49.01,Alex Ostberg,USA,15.02.97,8r6,Seattle,15.02.2020
57,58,7:49.11,Ross Millington,GBR,19.09.89,3r2,Seattle,11.02.2012
58,59,7:49.14,Christopher Thompson,GBR,17.04.81,2rA,Seattle,28.01.2012
59,60,7:49.25,Colby Gilbert,USA,17.03.95,3rA,Seattle,14.02.2015
60,61,7:49.42,Colby Gilbert,USA,17.03.95,1r5,Seattle,10.02.2018
61,62,7:49.52,Martin Hehir,USA,19.12.92,3rA,Ames,11.02.2017
62,63,7:49.58,Miles Batty,USA,01.06.87,3rA,Seattle,28.01.2012
63,64,7:49.61,Brodey Hasty,USA,15.11.99,1r6,Seattle,10.02.2023
