,0,1,2,3,4,5,6,7
0,1,8:17.46,Aleksandr Zagoryuko,UKR,04.11.55,1,Moskva,21.02.1982
1,2,8:19.50,Vadim Slobodenyuk,UKR,17.03.81,1r2,Sumy,11.02.2005
2,3,8:19.59,Aleksandr Khudyakov,RUS,08.07.60,2,Volgograd,30.01.1987
3,4,8:22.29,Roman Usov,RUS,04.06.78,1r3,Moskva,26.02.2003
4,5,8:22.39,Andrey Kozhevnikov,RUS,20.08.82,1r2,Moskva,17.02.2006
5,6,8:23.05,Nikolay Matyushenko,UKR,04.01.66,1,Chelyabinsk,04.02.1990
6,7,8:23.12,Pavel Potapovich,RUS,26.11.80,2r3,Moskva,26.02.2003
7,8,8:23.16,Andrey Farnosov,RUS,09.07.80,2r2,Moskva,17.02.2006
8,9,8:23.34,Sergey Yepishin,RUS,22.01.58,1h3,Moskva,20.02.1983
9,10,8:23.76,Gennadiy Panin,RUS,19.01.67,1,Volgograd,09.02.1991
10,10,8:23.76,Nikolay Karpovich,BLR,02.02.67,2,Volgograd,09.02.1991
11,12,8:26.39,Roman Usov,RUS,04.06.78,1,Moskva,18.02.2004
12,13,8:26.68,Roman Usov,RUS,04.06.78,1,Volgograd,11.02.2005
13,14,8:26.78,Andrey Farnosov,RUS,09.07.80,2,Volgograd,11.02.2005
14,15,8:27.00,Andrey Farnosov,RUS,09.07.80,2,Moskva,18.02.2004
15,16,8:28.03,Aleksey Veselov,RUS,29.07.79,3r3,Moskva,26.02.2003
16,17,8:28.94,Pavel Potapovich,RUS,26.11.80,3r2,Moskva,17.02.2006
17,18,8:29.01,Andrey Kuznetsov,RUS,28.01.80,3,Volgograd,11.02.2005
18,19,8:29.1,Roman Usov,RUS,04.06.78,1,Moskva,21.01.2001
19,20,8:29.56,Roman Usov,RUS,04.06.78,1,Moskva,17.02.2001
20,21,8:29.68,Andrey Olshanskiy,RUS,15.06.78,2,Moskva,17.02.2001
