,0,1,2,3,4,5,6,7
0,1,44.52,Michael Norman,USA,03.12.97,1r2,College Station,10.03.2018
1,2,44.57,Kerron Clement,USA,31.10.85,1r2,Fayetteville,12.03.2005
2,3,44.62,Randolph Ross,USA,01.01.01,1r2,Birmingham AL,12.03.2022
3,4,44.63,Michael Johnson,USA,13.09.67,1,Atlanta,04.03.1995
4,5,44.66,Michael Johnson,USA,13.09.67,1,Atlanta,02.03.1996
5,6,44.71,Noah Williams,USA,01.01.99,1rA,Fayetteville,13.03.2021
6,7,44.75,Elija Godwin,USA,01.07.99,1r2,Fayetteville,25.02.2023
7,7,44.75A,Elija Godwin,USA,01.07.99,1r1,Albuquerque,11.03.2023
8,9,44.80,Kirani James,GRN,01.09.92,1r2,Fayetteville,27.02.2011
9,10,44.82,Tyrell Richard,USA,04.08.97,1r2,Birmingham AL,09.03.2019
10,11,44.83,Randolph Ross,USA,01.01.01,1r1,Clemson,11.02.2022
11,12,44.85,Fred Kerley,USA,07.05.95,1,College Station,11.03.2017
12,13,44.86,Akeem Bloomfield,JAM,10.11.97,1r1,College Station,10.03.2018
13,14,44.88,Bralon Taplin,GRN,08.05.92,1r2,College Station,03.02.2018
14,15,44.93,LaShawn Merritt,USA,27.06.86,1,Fayetteville,11.02.2005
15,15,44.93A,Ryan Willie,USA,24.06.02,1r2,Albuquerque,11.03.2023
16,17,44.94,Fred Kerley,USA,07.05.95,1h6,Nashville,25.02.2017
17,18,44.97A,Michael Johnson,USA,13.09.67,1,Reno,01.02.1995
18,19,44.99,Randolph Ross,USA,01.01.01,1rB,Fayetteville,13.03.2021
19,20,45.00,Michael Norman,USA,03.12.97,1r1,Clemson,09.02.2018
20,20,45.00,Jereem Richards,TTO,13.01.94,1,Beograd,19.03.2022
21,22,45.02,Danny Everett,USA,01.11.66,1,Stuttgart,02.02.1992
22,22,45.02,Fred Kerley,USA,07.05.95,1rA,Clemson,10.02.2017
23,22,45.02,Akeem Bloomfield,JAM,10.11.97,1r2,Clemson,09.02.2018
24,25,45.03,Torrin Lawrence,USA,11.04.89,1r2,Fayetteville,12.02.2010
25,25,45.03,Deon Lendore,TTO,28.10.92,1rA,College Station,01.03.2014
26,25,45.03,Kahmari Montgomery,USA,16.08.97,2r2,Birmingham AL,09.03.2019
27,25,45.03,Fred Kerley,USA,07.05.95,1r2,Fayetteville,24.01.2021
28,29,45.04,Champion Allison,USA,05.11.98,1r2,College Station,26.02.2022
29,30,45.05,Thomas Schönlebe,GER,06.08.65,1,Sindelfingen,05.02.1988
30,30,45.05,Danny Everett,USA,01.11.66,1,Stuttgart,04.02.1990
31,30,45.05,Alvin Harrison,USA,20.01.74,1,Atlanta,28.02.1998
32,30,45.05,Karsten Warholm,NOR,28.02.96,1,Glasgow,02.03.2019
33,30,45.05,Trevor Bassitt,USA,26.02.98,2,Beograd,19.03.2022
34,30,45.05,Jacory Patterson,USA,02.02.00,1r1,Fayetteville,25.02.2023
35,36,45.08A,Matthew Moorer,USA,16.02.00,2r1,Albuquerque,11.03.2023
36,37,45.09,Chris Bailey,USA,29.05.00,1r13,Fayetteville,28.01.2023
37,38,45.10,Torrin Lawrence,USA,11.04.89,1r2,Fayetteville,28.02.2010
38,38,45.10,Fred Kerley,USA,07.05.95,1h1,College Station,10.03.2017
39,40,45.11,Nery Brenes,CRC,25.09.85,1,Istanbul,10.03.2012
40,41,45.13,Chris Bailey,USA,29.05.00,2r2,Fayetteville,25.02.2023
41,42,45.14,Michael Johnson,USA,13.09.67,1,Birmingham,20.02.1993
42,42,45.14,Jacory Patterson,USA,02.02.00,2rB,Fayetteville,13.03.2021
43,44,45.15,Deon Lendore,TTO,28.10.92,1h1,Fayetteville,23.03.2013
44,44,45.15,Ryan Willie,USA,24.06.02,2r1,Fayetteville,25.02.2023
45,46,45.16,My'Lik Kerley,USA,06.06.96,2r2,College Station,10.03.2018
46,46,45.16,Wilbert London,USA,17.08.97,3r2,Birmingham AL,09.03.2019
47,48,45.17,Michael Johnson,USA,13.09.67,1,Birmingham,27.02.1994
48,48,45.17,Lalonde Gordon,TTO,25.11.88,1rA,Boston,08.02.2014
49,50,45.18,Calvin Harrison,USA,20.01.74,2,Atlanta,28.02.1998
50,50,45.18A,Fred Kerley,USA,07.05.95,1h2,Albuquerque,17.02.2018
51,52,45.19,Kirani James,GRN,01.09.92,1r2,Fayetteville,11.02.2012
52,52,45.19,Bralon Taplin,GRN,08.05.92,1,Madrid,24.02.2017
53,52,45.19,Wilbert London,USA,17.08.97,1r2,Lubbock,23.02.2019
54,55,45.20,Bralon Taplin,GRN,08.05.92,1rA,College Station,16.01.2016
