,0,1,2,3,4,5,6,7
0,1,48.1,Jim Bolding,USA,24.03.49,1,Milano,02.07.1974
1,2,48.3y,Jim Bolding,USA,24.03.49,1,Torino,24.07.1974
2,3,48.4,Ralph Mann,USA,16.06.49,1,Eugene,02.07.1972
3,3,48.4,Jim Bolding,USA,24.03.49,1,Nice,28.07.1974
4,3,48.4,Jim Bolding,USA,24.03.49,1,Milano,02.07.1975
5,3,48.4,Harald Schmid,FRG,29.09.57,1,Paris,13.07.1985
6,3,48.4,Felix Sánchez,DOM,30.08.77,1,Santo Domingo,14.05.2005
7,8,48.5y,Ralph Mann,USA,16.06.49,1,Des Moines,20.06.1970
8,8,48.5,Aleksandr Yatsevich,RUS,08.09.56,1,Kyiv,09.08.1982
9,10,48.6,Jean-Claude Nallet,FRA,15.03.47,1,Colombes,08.07.1970
10,10,48.6,Dick Bruggeman,USA,13.06.47,2,Eugene,02.07.1972
11,10,48.6,Jim Bolding,USA,24.03.49,1,Västerås,28.06.1974
12,10,48.6,Edwin Moses,USA,31.08.55,1,Helsinki,28.06.1978
13,10,48.6,James Walker,USA,25.10.57,1,Philadelphia,17.07.1980
14,10,48.6,Amadou Dia Bã,SEN,22.09.58,2,Paris,13.07.1985
15,16,48.7y,Jim Bolding,USA,24.03.49,1,Wichita,31.05.1975
16,16,48.7,Aleksandr Chesko,UKR,18.04.58,1,Cherkassy,03.09.1982
17,16,48.7,Toma Tomov,BUL,06.05.58,1,Sofia,03.08.1986
18,16,48.7A,Gideon Yego,KEN,06.05.60,1,Nairobi,13.08.1988
19,16,48.7A,Barnabas Agui Kinyor,KEN,03.08.61,1,Nairobi,03.07.1993
