,0,1,2,3,4,5
0,1.0,3:02.39,Texas A&M University,1r2,Nashville,25.02.2017
1,,,Fred Kerley,(45.0),07.05.95,USA
2,,,Richard Rose,(45.8),25.02.96,USA
3,,,Devin Dixon,(46.1),22.09.97,USA
4,,,My'Lik Kerley,(45.5),06.06.96,USA
5,2.0,3:02.73,University of Florida,2r2,Nashville,25.02.2017
6,,,Kunle Fasasi,,23.06.96,NGR
7,,,Grant Holloway,,19.11.97,USA
8,,,Eric Futch,,25.04.93,USA
9,,,Timothy J Holmes,,02.07.95,USA
10,3.0,3:02.92,University of Alabama,3r2,Nashville,25.02.2017
11,,,Skyler Bowden,,24.05.97,USA
12,,,Steven Gayle,,19.03.94,JAM
13,,,Jacopo Lahbi,,01.06.93,ITA
14,,,Jereem Richards,,13.01.94,TTO
