,0,1,2,3,4,5
0,1.0,3:02.97A,University of Oklahoma,r2,Albuquerque,11.03.2023
1,,,Zarik Brown,(46.21),02.09.99,USA
2,,,Salim Epps,(45.94),10.01.02,USA
3,,,Josh Bour,(45.20),11.05.02,USA
4,,,Muzuri Mattar,(45.63),,USA
5,2.0,3:03.17A,University of California LA,r1,Albuquerque,11.03.2023
6,,,Antonie Matthys Nortje,(45.90),02.02.02,RSA
7,,,Myles Misener-Daley,(45.65),06.03.01,CAN
8,,,Willington Wright,(45.82),16.09.00,USA
9,,,Ismail Turner,(45.81),17.03.01,USA
10,3.0,3:03.23,Louisiana State University,r3,Fayetteville,14.03.2015
11,,,Darrell Bush,(46.49),13.05.93,USA
12,,,Quincy Downing,(45.51),16.01.93,USA
13,,,Cyril Grayson,(46.43),05.12.93,USA
14,,,Vernon Norwood,(44.81),10.04.92,USA
