,0,1,2,3,4,5,6,7
0,1,3:32:33,Yohann Diniz,FRA,01.01.78,1,Zürich,15.08.2014
1,2,3:33:12,Yohann Diniz,FRA,01.01.78,1,London,13.08.2017
2,3,3:34:14,Denis Nizhegorodov,RUS,26.07.80,1,Cheboksary,11.05.2008
3,4,3:34:38,Matej Tóth,SVK,10.02.83,1,Dudince,21.03.2015
4,5,3:35:29,Denis Nizhegorodov,RUS,26.07.80,1,Cheboksary,13.06.2004
5,6,3:35:47,Nathan Deakes,AUS,17.08.77,1,Geelong,02.12.2006
6,7,3:36:03,Robert Korzeniowski,POL,30.07.68,1,Saint-Denis,27.08.2003
7,8,3:36:04,Alex Schwazer,ITA,26.11.84,1,Rosignano Solvay,11.02.2007
8,9,3:36:06,Yu Chaohong,CHN,12.12.76,1,Nanjing,22.10.2005
9,10,3:36:13,Zhao Chengliang,CHN,01.06.84,2,Nanjing,22.10.2005
10,11,3:36:20,Han Yucheng,CHN,16.12.78,1,Nanning,27.02.2005
11,12,3:36:21,Matej Tóth,SVK,10.02.83,2,Zürich,15.08.2014
12,13,3:36:39,Robert Korzeniowski,POL,30.07.68,1,München,08.08.2002
13,14,3:36:42,German Skurygin,RUS,15.09.63,2,Saint-Denis,27.08.2003
14,15,3:36:45,Masatora Kawano,JPN,23.10.98,1,Takahata,27.10.2019
15,16,3:36:53,Jared Tallent,AUS,17.10.84,1,London,11.08.2012
16,17,3:37:04,Alex Schwazer,ITA,26.11.84,2,Cheboksary,11.05.2008
17,18,3:37:09,Alex Schwazer,ITA,26.11.84,1,Beijing,22.08.2008
18,19,3:37:16,Si Tianfeng,CHN,17.06.84,2,London,11.08.2012
19,20,3:37:26,Valeriy Spitsyn,RUS,05.12.65,1,Moskva,21.05.2000
20,21,3:37:39,Satoshi Maruo,JPN,28.11.91,2,Takahata,27.10.2019
21,22,3:37:41,Andrey Perlov,RUS,12.12.61,1,Leningrad,05.08.1989
22,22,3:37:41,Ivan Noskov,RUS,16.07.88,3,Zürich,15.08.2014
23,24,3:37:43,Yohann Diniz,FRA,01.01.78,1,Alytus,19.05.2019
24,25,3:37:46,Andreas Erm,GER,12.03.76,3,Saint-Denis,27.08.2003
25,26,3:37:48,Yohann Diniz,FRA,01.01.78,1,Saint-Sébastien-sur-Loire,13.03.2016
26,27,3:37:54,Robert Heffernan,IRL,28.02.78,3,London,11.08.2012
27,28,3:37:56,Robert Heffernan,IRL,28.02.78,1,Moskva,14.08.2013
28,29,3:37:58,Xing Shucai,CHN,04.08.84,2,Nanning,27.02.2005
29,30,3:38:01,Aleksey Voyevodin,RUS,09.08.70,4,Saint-Denis,27.08.2003
30,31,3:38:02,Denis Nizhegorodov,RUS,26.07.80,1,La Coruña,14.05.2006
31,31,3:38:02,Wang Qin,CHN,08.05.94,1,Huangshan,09.03.2019
32,33,3:38:08,Sergey Kirdyapkin,RUS,18.06.80,1,Helsinki,12.08.2005
33,33,3:38:08,Igor Yerokhin,RUS,04.09.85,1,Saransk,08.06.2008
34,35,3:38:17,Ronald Weigel,GER,08.08.59,1,Potsdam,25.05.1986
35,36,3:38:23,Denis Nizhegorodov,RUS,26.07.80,5,Saint-Denis,27.08.2003
36,37,3:38:29,Vyacheslav Ivanenko,RUS,01.03.61,1,Seoul,30.09.1988
37,38,3:38:31,Ronald Weigel,GER,08.08.59,1,Berlin,20.07.1984
38,39,3:38:42,Satoshi Maruo,JPN,28.11.91,1,Wajima,11.04.2021
39,40,3:38:43,Valentí Massana,ESP,05.07.70,1,Orense,20.03.1994
40,41,3:38:45,Yohann Diniz,FRA,01.01.78,1,Dudince,28.03.2009
41,42,3:38:46,Robert Korzeniowski,POL,30.07.68,1,Athínai,27.08.2004
42,43,3:38:48,Si Tianfeng,CHN,17.06.84,1rB,Taicang,24.04.2011
43,44,3:38:56,Ronald Weigel,GER,08.08.59,2,Seoul,30.09.1988
44,44,3:38:56,Zhao Chengliang,CHN,01.06.84,3,Nanning,27.02.2005
45,44,3:38:56,Jared Tallent,AUS,17.10.84,1,Melbourne,22.11.2009
46,47,3:39:01,Li Jianbo,CHN,14.11.86,4,London,11.08.2012
47,48,3:39:07,Yusuke Suzuki,JPN,02.01.88,1,Wajima,14.04.2019
48,49,3:39:10,Han Yucheng,CHN,16.12.78,1,Guangzhou,22.03.2004
49,50,3:39:17,Dong Jimin,CHN,10.10.85,4,Nanning,27.02.2005
50,51,3:39:21,Vladimir Potemin,RUS,24.01.79,2,Moskva,21.05.2000
51,52,3:39:22,Sergey Korepanov,KAZ,09.05.64,1,Mézidon-Canon,02.05.1999
52,53,3:39:24,Masatora Kawano,JPN,23.10.98,2,Wajima,14.04.2019
53,54,3:39:27,Jared Tallent,AUS,17.10.84,2,Beijing,22.08.2008
54,55,3:39:34,Valentin Kononen,FIN,07.03.69,1,Dudince,25.03.2000
55,55,3:39:34,Vladimir Potemin,RUS,24.01.79,2,Cheboksary,13.06.2004
56,57,3:39:38,Ivan Noskov,RUS,16.07.88,1,Taicang,03.05.2014
57,58,3:39:43,Nathan Deakes,AUS,17.08.77,1,Melbourne,07.12.2003
58,59,3:39:45,Hartwig Gauder,GER,10.11.54,3,Seoul,30.09.1988
59,60,3:39:46,Matej Tóth,SVK,10.02.83,1,Dudince,26.03.2011
60,61,3:39:47,Andrey Perlov,RUS,12.12.61,1,Leningrad,03.08.1985
61,61,3:39:47,Tomohiro Noda,JPN,24.01.96,1,Takahata,28.10.2018
62,63,3:39:54,Jesús Angel García,ESP,17.10.69,1,Podébrady,20.04.1997
63,64,3:40:02,Aleksandr Potashov,BLR,12.03.62,1,Moskva,27.05.1990
64,65,3:40:03,Jared Tallent,AUS,17.10.84,2,Moskva,14.08.2013
65,66,3:40:04,Satoshi Maruo,JPN,28.11.91,3,Wajima,14.04.2019
66,67,3:40:07,Andrey Perlov,RUS,12.12.61,1,Kharkov,05.09.1987
67,67,3:40:07,Andrey Plotnikov,RUS,12.08.67,2,Moskva,27.05.1990
68,69,3:40:08,Tomasz Lipiec,POL,10.05.71,2,Mézidon-Canon,02.05.1999
69,70,3:40:12,Oleg Ishutkin,RUS,22.07.75,2,Podébrady,20.04.1997
70,70,3:40:12,Yuki Yamazaki,JPN,16.01.84,1,Wajima,12.04.2009
71,72,3:40:13,Nikolay Matyukhin,RUS,13.12.68,3,Mézidon-Canon,02.05.1999
72,73,3:40:14,Denis Nizhegorodov,RUS,26.07.80,3,Beijing,22.08.2008
73,74,3:40:16,Aleksey Voyevodin,RUS,09.08.70,2,München,08.08.2002
74,75,3:40:19,Takayuki Tanii,JPN,14.02.83,1,Incheon,01.10.2014
75,76,3:40:20,Hironori Arai,JPN,19.09.79,1,Wajima,19.04.2015
76,77,3:40:22,Xing Shucai,CHN,04.08.84,2,Guangzhou,22.03.2004
77,78,3:40:23,Gadasu Alatan,CHN,27.01.84,3,Nanjing,22.10.2005
78,79,3:40:30,Han Yucheng,CHN,16.12.78,1,Dudince,26.03.2005
79,80,3:40:32,Jared Tallent,AUS,17.10.84,1,Saransk,13.05.2012
80,80,3:40:32,Matej Tóth,SVK,10.02.83,1,Beijing,29.08.2015
81,82,3:40:33,Zhao Chengliang,CHN,01.06.84,1,Jinan,26.10.2009
82,83,3:40:34,Hirooki Arai,JPN,18.05.88,1,Takahata,26.10.2014
83,84,3:40:37,Yohann Diniz,FRA,01.01.78,1,Barcelona,30.07.2010
84,85,3:40:39,Igor Hlavan,UKR,25.09.90,3,Moskva,14.08.2013
85,86,3:40:40,Jesús Angel García,ESP,17.10.69,4,Mézidon-Canon,02.05.1999
86,86,3:40:40,Vladimir Kanaykin,RUS,21.03.85,1,Saransk,12.06.2005
87,88,3:40:42,Aleksey Voyevodin,RUS,09.08.70,1,Cheboksary,26.05.2002
88,89,3:40:44,Yuriy Andronov,RUS,06.11.71,1,Moskva,10.06.2012
89,90,3:40:46,José Marin,ESP,25.01.50,1,Valencia,13.05.1983
90,90,3:40:46,Yuriy Andronov,RUS,06.11.71,1,Moskva,11.06.2012
91,92,3:40:53,Hartwig Gauder,GER,10.11.54,1,Roma,05.09.1987
92,92,3:40:53,Denis Nizhegorodov,RUS,26.07.80,1,Cheboksary,17.06.2007
93,94,3:40:54,German Skurygin,RUS,15.09.63,5,Mézidon-Canon,02.05.1999
94,95,3:40:55,Hartwig Gauder,GER,10.11.54,1,Stuttgart,31.08.1986
95,96,3:40:57,Vladimir Kanaykin,RUS,21.03.85,1,Leamington,20.05.2007
96,97,3:40:58,Andrey Plotnikov,RUS,12.08.67,1,Sochi,21.04.1996
97,97,3:40:58,Alex Schwazer,ITA,26.11.84,1,Dudince,24.03.2012
98,97,3:40:58,Matej Tóth,SVK,10.02.83,1,Rio de Janeiro,19.08.2016
99,10,3:40:59,Aleksey Voyevodin,RUS,09.08.70,1,Turin,13.10.2002
100,10,3:41:00,Aleksandr Potashov,BLR,12.03.62,4,Seoul,30.09.1988
