,0,1,2,3,4,5,6,7
0,,1,,1:43.7     George Kersh,USA,03.07.68,Philadelphia,25.04.1991
1,,2,,1:44.01    Sebastian Coe,GBR,29.09.56,London,30.08.1982
2,,3,,1:44.03    Khadevis Robinson,USA,19.07.76,Bruxelles,25.08.2006
3,,4,,1:44.28    Duane Solomon,USA,28.12.84,Philadelphia,24.04.2010
4,,5,,1:44.3     Johan Botha,RSA,10.01.74,Stuttgart,06.06.1999
5,,6,,1:44.38    William Yiampoy,KEN,17.05.74,Bruxelles,25.08.2006
6,,7,,1:44.5     José Parilla,USA,31.03.72,Philadelphia,28.04.1994
7,,7,,1:44.5     Khadevis Robinson,USA,19.07.76,Philadelphia,27.04.2006
8,,9,,1:44.54    Steve Cram,GBR,14.10.60,London,30.08.1982
9,,10,,1:44.6     Japheth Kimutai,KEN,20.12.78,Stuttgart,06.06.1999
10,,11,,1:44.75    Eric Sowinski,USA,21.12.89,Nassau,02.05.2015
11,,12,,1:44.8y    Rick Wohlhuter,USA,23.12.48,Durham,12.05.1973
12,,12,,1:44.8     Johnny Gray,USA,19.06.60,Walnut,26.04.1986
13,,12,,1:44.8     Adam Kszczot,POL,02.09.89,Nassau,24.05.2014
14,,15,,1:44.84    Gary Reed,CAN,25.10.81,Philadelphia,24.04.2010
15,,16,,1:44.87    Marko Koers,NED,03.11.72,Philadelphia,27.04.1996
16,,17,,1:44.9     Savieri Nghidi,ZIM,02.03.68,Philadelphia,28.04.1994
17,,18,,1:44.91    Bram Som,NED,20.02.80,Bruxelles,25.08.2006
18,,19,,1:44.92    Ismael Kombich,KEN,16.10.85,Bruxelles,25.08.2006
19,,20,,1:45.2     Earl Jones,USA,17.07.64,Walnut,26.04.1986
20,,20,,1:45.2     Hezekiél Sepeng,RSA,30.06.74,Stuttgart,06.06.1999
21,,20,,1:45.2     Duane Solomon,USA,28.12.84,Nassau,24.05.2014
22,,23,,1:45.3     Sammy Kirongo,KEN,04.02.94,Nassau,24.05.2014
23,,24,,1:45.4y    Robert Ouko,KEN,24.11.48,London,05.09.1970
24,,24,,1:45.4     George Kersh,USA,03.07.68,Philadelphia,26.04.1990
25,,24,,1:45.4     José Parilla,USA,31.03.72,Knoxville,10.04.1992
26,,24,,1:45.40    Wilfred Bungei,KEN,24.07.80,Bruxelles,25.08.2006
27,,28,,1:45.5     Jeff West,USA,02.12.61,Tempe,02.04.1983
28,,28,,1:45.5     Randy Moore,USA,18.11.62,Philadelphia,27.04.1985
29,,30,,1:45.56    Alfred Kirwa Yego,KEN,28.11.86,Philadelphia,24.04.2010
30,,31,,1:45.59    Casimir Loxsom,USA,17.03.91,Nassau,02.05.2015
31,,32,,1:45.6     Mike Stahr,USA,09.12.64,Tempe,07.04.1984
32,,32,,1:45.6     Savieri Nghidi,ZIM,02.03.68,Knoxville,09.04.1992
33,,32,,1:45.6     José Parilla,USA,31.03.72,Philadelphia,24.04.1992
34,,32,,1:45.6     Brian Berryhill,USA,15.12.77,Des Moines,27.04.2001
35,,36,,1:45.69    David Krummenacker,USA,24.05.75,Bruxelles,25.08.2006
36,,37,,1:45.7     Jeff West,USA,02.12.61,Tempe,07.04.1984
37,,37,,1:45.7     James Mays,USA,15.08.59,Tempe,07.04.1984
38,,37,,1:45.7     Robin van Helden,NED,06.02.65,Philadelphia,25.04.1987
39,,37,,1:45.7     José Parilla,USA,31.03.72,Philadelphia,22.04.1993
40,,37,,1:45.7     William Chirchir,KEN,06.02.79,Stuttgart,06.06.1999
41,,42,,1:45.8     George Kersh,USA,03.07.68,Philadelphia,24.04.1992
42,,42,,1:45.8     Regan Nichols,USA,26.07.73,Philadelphia,29.04.1994
43,,42,,1:45.8     Savieri Nghidi,ZIM,02.03.68,Philadelphia,28.04.1995
44,,42,,1:45.8     James Karanu,KEN,05.01.76,Philadelphia,28.04.2000
45,,46,,1:45.81    Majid Saeed Sultan,QAT,03.11.86,Bruxelles,25.08.2006
46,,47,,1:45.89    Abdulrahman Suleiman,QAT,10.01.84,Bruxelles,25.08.2006
47,,48,,1:45.9     Ado Maude,NGR,15.02.67,Austin,06.04.1990
48,,48,,1:45.9     Martin Steele,GBR,20.09.62,Sheffield,05.06.1992
49,,48,,1:45.9     Savieri Nghidi,ZIM,02.03.68,Philadelphia,29.04.1995
50,,48,,1:45.9     Bryan Woodward,USA,03.08.74,Philadelphia,24.04.1997
51,,48,,1:45.9     Shaun Smith,JAM,19.04.83,Philadelphia,27.04.2006
52,,48,,1:45.9     Marcin Lewandowski,POL,13.06.87,Nassau,24.05.2014
53,,54,,1:45.91    Chris McGeorge,GBR,13.01.62,London,30.08.1982
54,split,time,in,relay - indoors,,,,
55,,1,,1:45.55    Edward Kemboi,KEN,09.12.93,Boston,25.02.2018
