,0,1,2,3,4,5,6,7
0,1,8844,Dan O'Brien,USA,18.07.66,1,New York City,13.06.1991
1,2,8727,Dave Johnson,USA,07.04.63,1,Azusa,24.04.1992
2,3,8725,Trey Hardee,USA,07.02.84,1,Eugene,26.06.2015
3,4,8600,Dave Johnson,USA,07.04.63,1,Norwalk,13.06.1990
4,5,8599,Trey Hardee,USA,07.02.84,1,Sacramento,27.06.2014
5,6,8589,Kyle Garland,USA,28.05.00,1,Baton Rouge,12.05.2023
6,7,8583,Jón Arnar Magnússon,ISL,28.07.69,1,Reykjavik,05.07.1998
7,8,8534,Antonio Peñalver,ESP,01.12.68,1,Alhama de Murcia,24.05.1992
8,9,8529,Daley Thompson,GBR,30.07.58,1,Etobicoke,08.06.1983
9,10,8498,Michael Smith,CAN,16.09.67,1,Montréal,14.07.1995
10,11,8494,Steve Fritz,USA,01.11.67,1,College Station,15.03.1996
11,12,8488,Rico Freimuth,GER,14.03.88,2,Ratingen,16.06.2013
12,13,8483,Dan O'Brien,USA,18.07.66,2,Norwalk,13.06.1990
13,13,8483,Eduard Hämäläinen,BLR,21.01.69,2,Götzis,31.05.1992
14,15,8470,Daley Thompson,GBR,30.07.58,1,Edmonton,08.08.1978
15,16,8462,Kip Janvrin,USA,08.07.65,1,Edwardsville,18.07.1996
16,17,8459,Bruce Jenner,USA,28.12.49,1,Eugene,26.06.1976
17,18,8447,Kevin Mayer,FRA,10.02.92,1,Bruxelles,01.07.2012
18,19,8416,Romain Barras,FRA,01.08.80,1,Arles,02.07.2006
19,20,8396,Jan Felix Knobel,GER,16.01.89,3,Ratingen,16.06.2013
20,21,8381,John Sayre,USA,25.03.61,1,Indianapolis,18.06.1985
21,22,8380,Aleksandr Yurkov,UKR,21.07.75,1,Arles,01.07.2001
22,23,8350,Kai Kazmirek,GER,28.01.91,4,Ratingen,16.06.2013
23,24,8338,Henrik Dagård,SWE,07.08.69,1,San Angelo,12.04.1996
24,25,8333,Roman Sebrle,CZE,26.11.74,1,Arles,04.06.2006
25,26,8328,Leonel Suárez,CUB,01.09.87,1,Talence,19.09.2010
26,27,8327,William Motti,FRA,25.07.64,1,Arles,05.07.1987
27,27,8327,Robert de Wit,NED,07.08.62,3,Arles,05.07.1987
28,29,8310,Ashton Eaton,USA,21.01.88,1,Austin,01.04.2010
29,30,8304,Tito Steiner,ARG,01.03.52,1,Baton Rouge,03.06.1981
30,31,8301,Sheldon Blockburger,USA,19.09.64,3,Norwalk,13.06.1990
31,32,8294,Francisco Javier Benet,ESP,25.03.68,1,Alhama de Murcia,05.05.1996
32,33,8286,Chris Huffins,USA,15.04.70,1,Azusa,19.04.1996
33,34,8269,Jack Rosendaal,NED,12.09.73,3,Tallinn,05.07.1998
34,34,8269,Kurt Felix,GRN,28.07.88,2,Toronto,23.07.2015
35,36,8254,Dave Steen,CAN,14.11.59,1,Saskatoon,18.08.1986
36,37,8248,Sheldon Blockburger,USA,19.09.64,2,Houston,14.06.1989
37,38,8246,Jay Thorson,USA,25.02.63,4,Norwalk,13.06.1990
38,39,8241,Ashton Eaton,USA,21.01.88,1,Fayetteville,11.06.2009
39,40,8226,Mike Ramos,USA,01.11.62,1,Saskatoon,14.08.1988
40,41,8218,Attila Zsivóczky,HUN,29.04.77,2,Arles,01.07.2001
41,42,8215,Jake Arnold,USA,03.01.84,1,Des Moines,26.06.2010
42,42,8215,Willem Coertzen,RSA,30.12.82,5,Ratingen,16.06.2013
43,44,8213,Dave Steen,CAN,14.11.59,1,Edmonton,10.07.1983
44,45,8211,Christian Plaziat,FRA,28.10.63,1,Arles,08.09.1985
45,46,8207,Uwe Freimuth,GDR,10.09.61,4,Neubrandenburg,22.05.1983
46,46,8207,Simon Poelman,NZL,27.05.63,2,Auckland,29.01.1990
47,48,8205,Grigoriy Degtyaryov,RUS,16.08.58,1,Lawrence,21.04.1983
48,49,8203,Dave Johnson,USA,07.04.63,1,Eugene,19.06.1986
49,50,8198,Kip Janvrin,USA,08.07.65,1,Des Moines,25.04.1996
50,51,8193,Fred Dixon,USA,05.11.49,2,Eugene,26.06.1976
51,52,8187,Jefferson dos Santos,BRA,30.08.95,1,Asunción,24.06.2017
52,53,8181,Derek Huff,USA,26.11.66,5,Norwalk,13.06.1990
53,54,8179,Kip Janvrin,USA,08.07.65,1,Knoxville,07.04.1994
54,54,8179,Norman Müller,GER,07.08.85,7,Ratingen,16.06.2013
55,56,8176,Steve Fritz,USA,01.11.67,2,Eugene,16.06.1993
56,57,8166,Kip Janvrin,USA,08.07.65,1,Pella,14.05.1994
57,58,8162,Andrei Nazarov,EST,09.01.65,2,Alhama de Murcia,24.05.1992
58,59,8160,Antonio Peñalver,ESP,01.12.68,1,Alhama de Murcia,05.06.1994
59,60,8156,Mike Ramos,USA,01.11.62,2,Indianapolis,18.06.1985
60,61,8155,Gary Kinder,USA,25.10.62,3,Houston,14.06.1989
61,62,8154,Dean Macey,GBR,12.12.77,3,Edwardsville,18.07.1996
62,63,8152,Antonio Peñalver,ESP,01.12.68,1,Stoke-on-Trent,07.07.1991
63,64,8147,Herbert Peter,FRG,24.06.57,2,Edmonton,10.07.1983
64,64,8147,Romain Barras,FRA,01.08.80,1,Arles,03.06.2007
65,66,8138,Lev Lobodin,RUS,01.04.69,1,Huddinge,04.07.1999
66,67,8127,Christian Plaziat,FRA,28.10.63,5,Helsinki,13.08.1994
67,68,8126,Maurice Smith,USA,20.11.62,6,Götzis,24.05.1987
68,68,8126,Georni Jaramillo,VEN,06.03.89,2,Asunción,24.06.2017
