,0,1,2,3,4,5,6,7
0,1,86.73,Ivan Tikhon,BLR,24.07.76,,Brest,03.07.2005
1,2,83.89,Ivan Tikhon,BLR,24.07.76,,Helsinki,08.08.2005
2,3,83.64,Ivan Tikhon,BLR,24.07.76,,Stayki,25.06.2005
3,4,83.19,Adrián Annus,HUN,28.06.73,,Athínai,22.08.2004
4,5,82.53,Ivan Tikhon,BLR,24.07.76,,Dubnica nad Váhom,29.08.2005
5,6,81.7,Ivan Tikhon,BLR,24.07.76,,Szombathely,03.09.2005
6,7,81.13,Ivan Tikhon,BLR,24.07.76,,Yokohama,19.09.2005
7,8,81.11,Ivan Tikhon,BLR,24.07.76,,Göteborg,12.08.2006
8,9,80.79,Ivan Tikhon,BLR,24.07.76,cA,Mersin,13.03.2005
9,10,80.56,Ivan Tikhon,BLR,24.07.76,cA,Banská Bystrica,28.08.2005
10,11,80.44,Ivan Tikhon,BLR,24.07.76,,Szombathely,05.09.2004
11,12,80.34,Ivan Tikhon,BLR,24.07.76,,Brest,08.07.2006
