,0,1,2,3,4,5,6
0,1,84.8,Ivan Tikhon,BLR,24.07.76,Brest,03.07.2005
1,2,83.84,Ivan Tikhon,BLR,24.07.76,Brest,03.07.2005
2,3,83.81,Ivan Tikhon,BLR,24.07.76,Brest,03.07.2005
3,4,83.62,Ivan Tikhon,BLR,24.07.76,Brest,03.07.2005
4,5,82.96,Ivan Tikhon,BLR,24.07.76,Stayki,25.06.2005
5,6,82.64,Adrián Annus,HUN,28.06.73,Athínai,22.08.2004
6,7,82.32,Adrián Annus,HUN,28.06.73,Athínai,22.08.2004
7,8,82.04,Adrián Annus,HUN,28.06.73,Athínai,22.08.2004
8,9,81.88,Ivan Tikhon,BLR,24.07.76,Stayki,25.06.2005
9,10,81.52,Ivan Tikhon,BLR,24.07.76,Helsinki,08.08.2005
10,11,80.97,Ivan Tikhon,BLR,24.07.76,Helsinki,08.08.2005
11,12,80.83,Ivan Tikhon,BLR,24.07.76,Dubnica nad Váhom,29.08.2005
12,13,80.65,Ivan Tikhon,BLR,24.07.76,Szombathely,03.09.2005
13,14,80.53,Adrián Annus,HUN,28.06.73,Athínai,22.08.2004
14,15,80.45,Ivan Tikhon,BLR,24.07.76,Banská Bystrica,28.08.2005
15,16,80.43,Ivan Tikhon,BLR,24.07.76,Yokohama,19.09.2005
16,17,80.35,Ivan Tikhon,BLR,24.07.76,Szombathely,03.09.2005
17,18,80.34,Ivan Tikhon,BLR,24.07.76,Göteborg,12.08.2006
18,19,80.04,Ivan Tikhon,BLR,24.07.76,Banská Bystrica,28.08.2005
