,0,1,2,3,4,5,6,7
0,1,96.96,Seppo Räty,FIN,27.04.62,1,Punkalaidun,02.06.1991
1,2,94.74,Jan Zelezný,CZE,16.06.66,1,Oslo,04.07.1992
2,3,91.98,Seppo Räty,FIN,27.04.62,1,Shizuoka,06.05.1991
3,4,91.36,Steve Backley,GBR,12.02.69,1,Sheffield,15.09.1991
4,5,90.98,Steve Backley,GBR,12.02.69,1,London,20.07.1990
5,6,90.84,Raymond Hecht,GER,11.11.68,1,Gangenbach,08.09.1991
6,7,90.82,Kimmo Kinnunen,FIN,31.03.68,1,Tokyo,26.08.1991
7,8,90.72,Jan Zelezný,CZE,16.06.66,1,Lausanne,10.07.1991
8,9,90.4,Jan Zelezný,CZE,16.06.66,1,Bratislava,04.06.1991
9,10,89.86,Jan Zelezný,CZE,16.06.66,1,London,12.07.1991
10,11,89.66,Jan Zelezný,CZE,16.06.66,1,Oslo,14.07.1990
11,12,89.64,Seppo Räty,FIN,27.04.62,1,Elimäki,09.06.1991
12,13,89.62,Seppo Räty,FIN,27.04.62,1,Helsinki,27.06.1991
13,14,89.58,Jan Zelezný,CZE,16.06.66,2,Sheffield,15.09.1991
14,15,89.36,Seppo Räty,FIN,27.04.62,1,Stockholm,03.08.1991
15,16,88.78,Seppo Räty,FIN,27.04.62,1,Tampere,17.06.1991
16,16,88.78,Jan Zelezný,CZE,16.06.66,1,Zürich,07.08.1991
17,18,88.66,Jan Zelezný,CZE,16.06.66,1,Banská Bystrica,25.05.1991
18,18,88.66,Seppo Räty,FIN,27.04.62,1,Stockholm,03.07.1991
19,20,88.48,Kimmo Kinnunen,FIN,31.03.68,q,Tokyo,25.08.1991
20,21,88.46,Steve Backley,GBR,12.02.69,1,Edinburgh,19.07.1991
21,22,88.34,Seppo Räty,FIN,27.04.62,1,Helsinki,29.07.1991
22,23,88.24,Steve Backley,GBR,12.02.69,1,London,19.06.1991
23,24,88.16,Steve Backley,GBR,12.02.69,1,Gateshead,09.08.1991
24,25,88.12,Seppo Räty,FIN,27.04.62,2,Tokyo,26.08.1991
25,26,88.04,Steve Backley,GBR,12.02.69,2,London,12.07.1991
26,27,87.76,Jan Zelezný,CZE,16.06.66,1,Barcelona,20.09.1991
27,28,87.58,Kimmo Kinnunen,FIN,31.03.68,1,Köln,08.09.1991
28,29,87.42,Steve Backley,GBR,12.02.69,1,Sheffield,25.07.1991
29,30,87.36,Raymond Hecht,GER,11.11.68,1,Jena,02.06.1991
30,31,87.34,Seppo Räty,FIN,27.04.62,q,Tokyo,25.08.1991
31,31,87.34,Seppo Räty,FIN,27.04.62,3,Sheffield,15.09.1991
32,33,87.32,Jan Zelezný,CZE,16.06.66,1,Sevilla,30.05.1991
33,34,87.16,Steve Backley,GBR,12.02.69,2,Zürich,07.08.1991
34,35,87.08,Vladimir Sasimovich,BLR,14.09.68,3,Tokyo,26.08.1991
35,36,87.06,Juha Laukkanen,FIN,06.01.69,1,Bruxelles,13.09.1991
36,37,87.0,Peter Borglund,SWE,29.01.64,1,Stockholm,13.08.1991
37,38,86.38,Kimmo Kinnunen,FIN,31.03.68,2,Bruxelles,13.09.1991
38,39,86.32,Mick Hill,GBR,22.10.64,1,Monaco,03.08.1991
39,40,86.18,Seppo Räty,FIN,27.04.62,1,Helsinki,12.09.1991
40,41,85.98,Mick Hill,GBR,22.10.64,4,Sheffield,15.09.1991
41,42,85.9,Kimmo Kinnunen,FIN,31.03.68,5,Sheffield,15.09.1991
42,43,85.86,Kimmo Kinnunen,FIN,31.03.68,1,Lapua,30.06.1991
43,44,85.64,Jan Zelezný,CZE,16.06.66,1,Oslo,06.07.1991
44,45,85.6,Mick Hill,GBR,22.10.64,1,Malmö,05.08.1991
45,46,85.58,Patrik Bodén,SWE,30.06.67,1,Karlstad,09.06.1991
46,47,85.52,Dag Wennlund,SWE,09.10.63,1,Helsingborg,27.07.1991
47,48,85.18,Gavin Lovegrove,NZL,21.10.67,3,London,12.07.1991
48,49,85.08,Radoman Scekic,SRB,01.10.67,1,Zagreb,12.06.1991
49,50,85.04,Patrik Bodén,SWE,30.06.67,2,Helsingborg,27.07.1991
