,0,1,2,3,4,5,6,7,8
0,1,8.99A,4.4,Mike Powell,USA,10.11.63,1,Sestriere,21.07.1992
1,2,8.96A@,1.2,Iván Pedroso,CUB,17.12.72,1,Sestriere,29.07.1995
2,3,8.95A,3.9,Mike Powell,USA,10.11.63,1,Sestriere,31.07.1994
3,4,8.92,3.3,Juan Miguel Echevarría,CUB,11.08.98,1,La Habana,10.03.2019
4,5,8.91,3.0,Carl Lewis,USA,01.07.61,2,Tokyo,30.08.1991
5,6,8.90,3.7,Mike Powell,USA,10.11.63,1,Modesto,16.05.1992
6,7,8.83,2.1,Juan Miguel Echevarría,CUB,11.08.98,1,Stockholm,10.06.2018
7,8,8.79,3.0,Iván Pedroso,CUB,17.12.72,1,La Habana,21.05.1992
8,9,8.78,3.1,Fabrice Lapierre,AUS,17.10.83,1,Perth,18.04.2010
9,10,8.77,3.9,Carl Lewis,USA,01.07.61,1,Westwood,18.05.1985
10,10,8.77,3.4,Carl Lewis,USA,01.07.61,1,Walnut,26.04.1987
11,12,8.75,2.1,Carl Lewis,USA,01.07.61,1,Indianapolis,16.08.1987
12,13,8.73,4.6,Carl Lewis,USA,01.07.61,q,Sacramento,19.06.1981
13,13,8.73,3.2,Carl Lewis,USA,01.07.61,q,Indianapolis,17.06.1983
14,13,8.73A,2.6,Mike Powell,USA,10.11.63,1,Sestriere,31.07.1991
15,13,8.73,4.8,Iván Pedroso,CUB,17.12.72,1,Madrid,20.06.1995
16,17,8.72,2.2,Carl Lewis,USA,01.07.61,1,New York City,24.05.1992
17,17,8.72A,3.9,Carl Lewis,USA,01.07.61,2,Sestriere,31.07.1994
18,19,8.70,2.5,Iván Pedroso,CUB,17.12.72,1,Padova,16.07.1995
19,20,8.68,4.1,Mike Powell,USA,10.11.63,1,Knoxville,18.06.1994
20,20,8.68,4.9,James Beckford,JAM,09.01.75,1,Odessa,20.05.1995
21,20,8.68,3.7,Marquis Dendy,USA,23.02.92,1,Eugene,25.06.2015
22,23,8.67,3.3,Carl Lewis,USA,01.07.61,1,Eugene,20.06.1986
23,24,8.66,2.4,Larry Myricks,USA,10.03.56,1,Walnut,22.04.1989
24,24,8.66A,4.0,Joe Greene,USA,17.02.67,2,Sestriere,21.07.1992
25,26,8.65,3.3,Irving Saladino,PAN,23.01.83,1,Athínai,03.07.2006
26,27,8.64A,3.1,Larry Myricks,USA,10.03.56,1,Air Force Academy,02.07.1983
27,27,8.64,3.1,Mike Powell,USA,10.11.63,1,Modesto,14.05.1994
28,27,8.64,3.5,Kareem Streete-Thompson,USA,30.03.73,2,Knoxville,18.06.1994
29,30,8.63,2.1,Carl Lewis,USA,01.07.61,1,Westwood,10.05.1981
30,30,8.63,3.9,Mike Conley,USA,05.10.62,2,Eugene,20.06.1986
31,32,8.61,3.2,Larry Myricks,USA,10.03.56,1,Shizuoka,03.05.1987
32,32,8.61,2.6,James Beckford,JAM,09.01.75,1,Rio de Janeiro,04.05.1997
33,32,8.61,6.3,James Beckford,JAM,09.01.75,1,Marrubia,12.09.1998
34,35,8.59,3.3,Dwight Phillips,USA,01.10.77,q,Helsinki,12.08.2005
35,35,8.59,2.9,Jeffrey Henderson,USA,19.02.89,1,Eugene,03.07.2016
36,37,8.58,2.4,Larry Myricks,USA,10.03.56,2,Indianapolis,16.08.1987
37,37,8.58,3.7,Erick Walder,USA,05.11.71,1,Starkville,16.05.1992
38,37,8.58A,2.7,Kareem Streete-Thompson,USA,30.03.73,3,Sestriere,31.07.1994
39,40,8.57,5.2,Jason Grimes,USA,10.09.59,1,Durham,27.06.1982
40,40,8.57,,Joe Greene,USA,17.02.67,2,Modesto,16.05.1992
41,40,8.57,2.2,Dwight Phillips,USA,01.10.77,1,Eugene,27.06.2009
42,40,8.57,3.6,Fabrice Lapierre,AUS,17.10.83,1,Madrid,04.07.2009
43,44,8.56,8.9,Carl Lewis,USA,01.07.61,1,Sacramento,21.07.1984
44,45,8.55,2.2,Larry Myricks,USA,10.03.56,1,Modesto,10.05.1986
45,45,8.55A,2.9,Mike Conley,USA,05.10.62,3,San José,26.06.1987
46,45,8.55A,4.3,Mike Powell,USA,10.11.63,1,San José,27.05.1989
47,45,8.55,3.6,Mike Powell,USA,10.11.63,1,Sacramento,18.06.1995
48,45,8.55,2.3,Tajay Gayle,JAM,02.08.96,1,Stockholm,04.07.2021
49,50,8.54,2.9,Iván Pedroso,CUB,17.12.72,1,São Paulo,14.05.1995
50,50,8.54,4.0,Iván Pedroso,CUB,17.12.72,1,San Juan,27.06.1997
51,50,8.54,2.2,Erick Walder,USA,05.11.71,1,Salamanca,10.07.1998
52,50,8.54,4.1,Jeffrey Henderson,USA,19.02.89,1,Toronto,22.07.2015
53,54,8.53,2.7,Mike Conley,USA,05.10.62,1,Indianapolis,16.06.1985
54,54,8.53,4.8,Mike Powell,USA,10.11.63,q,Eugene,18.06.1993
55,54,8.53,2.2,Mike Powell,USA,10.11.63,1,Eugene,19.06.1993
56,54,8.53,4.9,Kevin Dilworth,USA,14.02.74,1,Fort-de-France,27.04.2002
57,58,8.52,3.6,Mike Powell,USA,10.11.63,2,Houston,17.06.1989
58,58,8.52,3.5,Jeffrey Henderson,USA,19.02.89,1,Sacramento,29.06.2014
59,58,8.52,4.5,Tajay Gayle,JAM,02.08.96,1,Kingston,11.07.2020
60,61,8.51,5.3,Jason Grimes,USA,10.09.59,1,Indianapolis,03.07.1982
61,61,8.51,2.3,Irving Saladino,PAN,23.01.83,1,São Paulo,02.04.2005
62,61,8.51,3.7,Ignisious Gaisah,GHA,20.06.83,1,Bambous,09.08.2006
63,64,8.50,2.4,Carl Lewis,USA,01.07.61,1,Westwood,07.08.1982
64,64,8.50,4.4,Jason Grimes,USA,10.09.59,2,Indianapolis,16.06.1985
65,64,8.50,2.3,Mike Powell,USA,10.11.63,1,Alcorcón,03.06.1993
66,64,8.50,3.7,Mike Powell,USA,10.11.63,1,Azusa,23.04.1994
67,64,8.50,2.4,Erick Walder,USA,05.11.71,1,Oslo,30.06.1999
68,64,8.50,4.4,Greg Rutherford,GBR,17.11.86,1,Austin,29.04.2017
69,70,8.49,2.6,Ralph Boston,USA,09.05.39,1,Los Angeles,12.09.1964
70,70,8.49,2.2,Mike Powell,USA,10.11.63,1,Modesto,11.05.1991
71,70,8.49,4.1,Mike Powell,USA,10.11.63,1,Sevilla,03.06.1995
72,70,8.49,4.5,Stanislav Tarasenko,RUS,23.07.66,2,Madrid,20.06.1995
73,70,8.49,3.7,Jarrion Lawson,USA,06.05.94,1,Sacramento,25.06.2017
