,0,1,2,3,4,5,6,7
0,1,58:41,Bernard Koech,KEN,31.01.88,1,San Diego,02.06.2013
1,2,58:44,Eliud Kurgat,KEN,20.08.73,1,Innsbruck,26.10.2003
2,3,59:53,Benoit Zwierzchiewski,FRA,19.08.76,1,Las Vegas,09.02.1997
3,4,60:08,Bernard Ngeno,KEN,10.08.96,1,San Diego,02.06.2019
4,5,60:12,Solomon Deksisa,ETH,11.03.94,1,San Diego,01.06.2014
5,6,60:18,Eliud Kipchoge,KEN,05.11.84,2,San Diego,02.06.2013
6,7,60:25,Patrick Tambwé,COD,05.05.75,1,Tarbes,30.05.2004
7,8,60:28,Geoffrey Bundi,KEN,87,2,San Diego,01.06.2014
8,9,60:39,Dickson Chumba,KEN,27.10.86,3,San Diego,01.06.2014
9,10,60:46,Lawrence Cherono,KEN,07.08.88,2,San Diego,02.06.2019
10,11,60:49,Eddy Hellebuyck,BEL,22.01.61,1,Las Vegas,04.02.1995
11,12,60:51,Bob Kempainen,USA,18.06.66,2,Las Vegas,04.02.1995
12,13,61:03,Grzegorz Gajdus,POL,16.01.67,1,Las Vegas,11.02.1996
13,14,61:05,Martin Fagan,IRL,26.06.83,1,Austin,25.01.2008
14,15,61:07,David Morris,USA,17.05.70,3,Las Vegas,04.02.1995
15,16,61:08,Samson Gebreyohanes,ERI,02.07.92,4,San Diego,01.06.2014
16,17,61:11,Tilahun Regessa,ETH,18.01.90,5,San Diego,01.06.2014
17,18,61:12,James Bungei,KEN,03.03.68,1,Las Vegas,01.02.1998
18,19,61:16,Paul Pilkington,USA,12.10.58,4,Las Vegas,04.02.1995
19,19,61:16,Andrés Perez Espinosa,MEX,04.02.63,1,Austin,07.02.1999
20,21,61:25,Shadrack Biwott,KEN,19.02.85,6,San Diego,01.06.2014
