,0,1,2,3,4,5,6,7
0,1,9:00.48,Genzebe Dibaba,ETH,08.02.91,1,Birmingham,15.02.2014
1,2,9:06.26,Meseret Defar,ETH,19.11.83,1,Praha,26.02.2009
2,3,9:10.28,Elinor Purrier St. Pierre,USA,20.02.95,1,New York City,13.02.2021
3,4,9:10.50,Meseret Defar,ETH,19.11.83,1,Boston,26.01.2008
4,5,9:12.23,Tirunesh Dibaba,ETH,01.10.85,1,Birmingham,20.02.2010
5,6,9:12.35,Vivian Cheruiyot,KEN,11.09.83,2,Birmingham,20.02.2010
6,7,9:12.68,Sentayehu Ejigu,ETH,21.06.85,3,Birmingham,20.02.2010
7,8,9:13.17,Tirunesh Dibaba,ETH,01.10.85,1,Boston,02.02.2013
8,9,9:13.94,Kimberley Smith,NZL,19.11.81,2,Boston,26.01.2008
9,10,9:15.71,Emma Coburn,USA,19.10.90,2,New York City,13.02.2021
10,11,9:18.35,Jennifer Simpson,USA,23.08.86,1,Boston,07.02.2015
11,12,9:19.39,Jessica Augusto,POR,08.11.81,4,Birmingham,20.02.2010
12,13,9:21.04,Sally Kipyego,KEN,19.12.85,1,Boston,08.02.2014
13,14,9:21.59,Hiwot Ayalew,ETH,06.03.90,2,Birmingham,15.02.2014
14,15,9:21.60,Tirunesh Dibaba,ETH,01.10.85,1,Boston,04.02.2012
15,16,9:22.66,Julie-Anne Staehli,CAN,21.12.93,3,New York City,13.02.2021
16,17,9:23.38,Regina Jacobs,USA,28.08.63,1,Boston,27.01.2002
17,18,9:26.19,Jennifer Simpson,USA,23.08.86,2,Boston,08.02.2014
18,19,9:26.87,Emily Lipari,USA,19.11.92,4,New York City,13.02.2021
19,20,9:26.95,Helen Schlachtenhaufen,USA,14.03.95,5,New York City,13.02.2021
20,21,9:27.05,Sentayehu Ejigu,ETH,21.06.85,2,Boston,07.02.2015
21,22,9:27.45,Katrina Coogan,USA,15.11.93,6,New York City,13.02.2021
22,23,9:28.15,Lynn Jennings,USA,01.07.60,1,New York City,28.02.1986
23,24,9:28.29,Cindy Bremser,USA,05.05.53,2,New York City,28.02.1986
24,25,9:29.03,Buze Diriba,ETH,09.02.94,3,Boston,07.02.2015
25,26,9:29.17,Elinor Purrier St. Pierre,USA,20.02.95,1,Boston,25.01.2020
26,27,9:30.69,Amy-Eloise Markovc,GBR,05.08.95,7,New York City,13.02.2021
27,28,9:31.38,Shayla Houlihan,USA,26.02.85,1r2,New York City,24.02.2019
28,29,9:31.41,Gotytom Gebreslase,ETH,15.01.95,4,Boston,07.02.2015
29,30,9:31.68,Lidia Chojecka,POL,25.01.77,5,Birmingham,20.02.2010
30,31,9:31.7,Janice Merrill,USA,18.06.56,1,New London,27.01.1979
31,31,9:31.7,Mary Slaney,USA,04.08.58,1,Los Angeles,21.01.1983
