,0,1,2,3,4,5,6,7
0,1,5:49.81,Beatrice Chepkoech,KEN,06.07.91,1,Monaco,20.07.2018
1,2,5:54.16,Ruth Jebet,BRN,17.11.96,1,Saint-Denis,27.08.2016
2,3,5:55.28,Beatrice Chepkoech,KEN,06.07.91,1,Ad-Dawhah,30.09.2019
3,4,5:55.72,Ruth Jebet,BRN,17.11.96,1,Zürich,24.08.2017
4,5,5:56.30,Beatrice Chepkoech,KEN,06.07.91,1,Bruxelles,31.08.2018
5,6,5:56.44,Winfred Yavi,BRN,31.12.99,1,Paris,18.06.2022
6,7,5:57.60,Beatrice Chepkoech,KEN,06.07.91,1,Zürich,29.08.2019
7,8,5:58.29,Norah Jeruto Tanui,KAZ,02.10.95,1,Eugene,20.07.2022
8,9,5:58.64,Winfred Yavi,BRN,31.12.99,2,Eugene,20.07.2022
9,10,5:58.77,Werkwuha Getachew,ETH,07.12.95,3,Eugene,20.07.2022
10,11,5:58.78,Beatrice Chepkoech,KEN,06.07.91,1,Paris,30.06.2018
11,12,5:59.30,Norah Jeruto Tanui,KEN,02.10.95,1,Eugene,21.08.2021
12,13,5:59.5,Courtney Frerichs,USA,18.01.93,2,Eugene,21.08.2021
13,14,5:59.8,Hyvin Kiyeng,KEN,13.01.92,2,Zürich,29.08.2019
14,15,5:59.94,Beatrice Chepkoech,KEN,06.07.91,1,Birmingham,18.08.2019
15,16,5:59.97,Norah Jeruto Tanui,KAZ,02.10.95,1,Eugene,28.05.2022
16,17,6:00.0,Winfred Yavi,BRN,31.12.99,2,Eugene,28.05.2022
17,18,6:00.06,Ruth Jebet,BRN,17.11.96,1,Rio de Janeiro,15.08.2016
18,19,6:00.2,Hyvin Kiyeng,KEN,13.01.92,3,Eugene,21.08.2021
19,19,6:00.2,Celliphine Chespol,KEN,23.03.99,4,Eugene,21.08.2021
20,21,6:00.31,Beatrice Chepkoech,KEN,06.07.91,1,Paris,01.07.2017
21,22,6:00.36,Mekides Abebe,ETH,29.01.01,4,Eugene,20.07.2022
22,23,6:00.5,Peruth Chemutai,UGA,10.07.99,5,Eugene,21.08.2021
23,24,6:00.6,Norah Jeruto Tanui,KEN,02.10.95,3,Zürich,29.08.2019
24,25,6:00.7,Celliphine Chespol,KEN,23.03.99,3,Eugene,28.05.2022
25,26,6:00.8,Peruth Chemutai,UGA,10.07.99,4,Eugene,28.05.2022
26,27,6:00.84,Hyvin Kiyeng,KEN,13.01.92,1,Monaco,09.07.2021
27,28,6:00.89,Norah Jeruto Tanui,KAZ,02.10.95,1h1,Eugene,16.07.2022
28,29,6:01.0,Emma Coburn,USA,19.10.90,2,Monaco,09.07.2021
29,30,6:01.2,Emma Coburn,USA,19.10.90,4,Zürich,29.08.2019
30,30,6:01.2,Beatrice Chepkoech,KEN,06.07.91,3,Monaco,09.07.2021
31,30,6:01.20,Gulnara Galkina,RUS,09.07.78,1,Beijing,17.08.2008
32,33,6:01.3,Werkwuha Getachew,ETH,07.12.95,5,Eugene,28.05.2022
33,34,6:01.6,Winfred Yavi,BRN,31.12.99,6,Eugene,21.08.2021
34,35,6:01.66,Ruth Jebet,BRN,17.11.96,1,Ad-Dawhah,05.05.2017
35,36,6:01.8,Winfred Yavi,BRN,31.12.99,4,Monaco,09.07.2021
36,37,6:02.08,Peruth Chemutai,UGA,10.07.99,5,Eugene,20.07.2022
37,38,6:02.16,Hyvin Kiyeng,KEN,13.01.92,1,Ad-Dawhah,28.05.2021
38,39,6:02.18,Beatrice Chepkoech,KEN,06.07.91,1,Shanghai,12.05.2018
39,40,6:02.19,Beatrice Chepkoech,KEN,06.07.91,1,Ostrava,09.09.2018
40,41,6:02.28,Emma Coburn,USA,19.10.90,6,Eugene,20.07.2022
41,42,6:02.3,Daisy Jepkemei,KEN,13.02.96,5,Zürich,29.08.2019
42,42,6:02.3,Norah Jeruto Tanui,KEN,02.10.95,2,Ad-Dawhah,28.05.2021
43,44,6:02.31,Hyvin Kiyeng,KEN,13.01.92,1,Stockholm,04.07.2021
44,45,6:02.4,Mekides Abebe,ETH,29.01.01,3,Ad-Dawhah,28.05.2021
45,46,6:02.5,Winfred Yavi,BRN,31.12.99,6,Zürich,29.08.2019
46,47,6:02.6,Gesa Felicitas Krause,GER,03.08.92,7,Eugene,21.08.2021
47,48,6:03.03,Ruth Jebet,BRN,17.11.96,1,Zürich,01.09.2016
48,49,6:03.2,Mekides Abebe,ETH,29.01.01,6,Eugene,28.05.2022
49,49,6:03.20,Ruth Jebet,BRN,17.11.96,1,Shanghai,14.05.2016
50,51,6:03.3,Beatrice Chepkoech,KEN,06.07.91,2,Stockholm,04.07.2021
51,52,6:03.40,Beatrice Chepkoech,KEN,06.07.91,1,Shanghai,18.05.2019
52,53,6:03.44,Norah Jeruto Tanui,KEN,02.10.95,1,Zagreb,29.08.2017
