,0,1,2,3,4,5,6,7
0,1,34.14,Marita Koch,GDR,18.02.57,1,Canberra,06.10.1985
1,2,34.66,Marita Koch,GDR,18.02.57,1rA,Praha,17.08.1984
2,3,34.95,Jarmila Kratochvílová,CZE,26.01.51,1,Zürich,18.08.1982
3,4,35.0,Marie-José Pérec,FRA,09.05.68,1,Tokyo,27.08.1991
4,5,35.01,Olga Bryzgina,UKR,30.06.63,2,Canberra,06.10.1985
5,6,35.06,Jarmila Kratochvílová,CZE,26.01.51,1,Helsinki,10.08.1983
6,7,35.24,Tatána Kocembová,CZE,02.05.62,2,Helsinki,10.08.1983
7,8,35.47,Valerie Brisco,USA,06.07.60,1=,Seoul,26.09.1988
8,8,35.47,Olga Bryzgina,UKR,30.06.63,1=,Seoul,26.09.1988
9,10,35.61,Shaunae Miller-Uibo,BAH,15.04.94,1,Eugene,22.07.2022
10,11,35.63,Sanya Richards-Ross,USA,26.02.85,1,Berlin,18.08.2009
11,12,35.71,Shaunae Miller-Uibo,BAH,15.04.94,1s1,Eugene,20.07.2022
12,13,35.73,Novlene Williams-Mills,JAM,26.04.82,1,Osaka,29.08.2007
13,14,35.78,Olga Nazarova,RUS,28.02.62,3,Seoul,26.09.1988
14,15,35.8,Sada Williams,BAR,01.12.97,2,Eugene,22.07.2022
15,16,35.83,Sanya Richards-Ross,USA,26.02.85,1,Athínai,16.09.2006
16,17,35.9,Antonina Krivoshapka,RUS,21.07.87,2,Berlin,18.08.2009
17,18,35.93,Marie-José Pérec,FRA,09.05.68,1,Frankurt,29.06.2001
18,19,35.95,Falilat Ogunkoya,NGR,05.12.68,1,Sevilla,26.08.1999
19,20,35.97,Cathy Freeman,AUS,16.02.73,2,Sevilla,26.08.1999
20,21,35.98,Grit Breuer,GER,16.02.72,2,Frankfurt,29.06.2001
21,22,36.0,Shericka Williams,JAM,17.09.85,3,Berlin,18.08.2009
22,23,36.06,Sanya Richards-Ross,USA,26.02.85,1,Stuttgart,23.09.2007
23,24,36.07,Petra Schersing,GER,18.07.65,1,Roma,31.08.1987
24,25,36.1,Tatyana Alekseyeva,RUS,07.10.63,1,Stuttgart,17.08.1993
25,25,36.1,Marileidy Paulino,DOM,25.10.96,3,Eugene,22.07.2022
26,27,36.11,Falilat Ogunkoya,NGR,05.12.68,1,Athínai,04.08.1997
27,28,36.12,Lorraine Fenton,JAM,08.09.73,3,Sevilla,26.08.1999
28,29,36.13,Cathy Freeman,AUS,16.02.73,2,Athínai,04.08.1997
29,29,36.13,Christine Ohuruogu,GBR,17.05.84,2,Osaka,29.08.2007
30,31,36.15,Olga Bryzgina,UKR,30.06.63,2,Roma,31.08.1987
31,32,36.17,Nicola Sanders,GBR,23.06.82,3,Osaka,29.08.2007
32,32,36.17,Lieke Klaver,NED,20.08.98,4,Eugene,22.07.2022
33,32,36.17,Femke Bol,NED,23.02.00,1,München,17.08.2022
34,35,36.18,Novlene Williams-Mills,JAM,26.04.82,4,Berlin,18.08.2009
35,36,36.19,Sandie Richards,JAM,06.11.68,3,Athínai,04.08.1997
36,37,36.21,Jearl Miles-Clark,USA,04.09.66,4,Athínai,04.08.1997
37,37,36.21,Anja Rücker,GER,20.12.72,4,Sevilla,26.08.1999
38,39,36.22,Maicel Malone,USA,12.06.69,1,Atlanta,19.06.1996
39,39,36.22,Marileidy Paulino,DOM,25.10.96,1s3,Eugene,20.07.2022
40,41,36.24,Grit Breuer,GER,16.02.72,1,Split,29.08.1990
41,41,36.24,Sanya Richards-Ross,USA,26.02.85,1,Berlin,16.09.2007
42,43,36.26,Grit Breuer,GER,16.02.72,5,Athínai,04.08.1997
43,43,36.26,Lieke Klaver,NED,20.08.98,2,München,17.08.2022
44,45,36.28,Candice McLeod,JAM,15.11.96,2s1,Eugene,20.07.2022
45,46,36.29,Natalia Kaczmarek,POL,17.01.98,3,München,17.08.2022
46,47,36.33,Jearl Miles-Clark,USA,04.09.66,2,Stuttgart,17.08.1993
47,48,36.34,Petra Schersing,GER,18.07.65,4,Seoul,26.09.1988
48,48,36.34,Kim Graham,USA,26.03.71,1s1,Atlanta,17.06.1996
49,50,36.35,Kirsten Emmelmann,GDR,19.04.61,3,Roma,31.08.1987
50,51,36.37,Katharine Merry,GBR,21.09.74,5,Sevilla,26.08.1999
51,51,36.37,Sada Williams,BAR,01.12.97,2s3,Eugene,20.07.2022
52,53,36.39,Marileidy Paulino,DOM,25.10.96,1h4,Eugene,17.07.2022
53,54,36.43,Sanya Richards-Ross,USA,26.02.85,1,Eugene,03.07.2008
54,55,36.44,Youlanda Warren,USA,13.03.72,2s1,Atlanta,17.06.1996
55,56,36.45,Tatyana Alekseyeva,RUS,07.10.63,6,Athínai,04.08.1997
56,57,36.47,Natasha Kaiser-Brown,USA,14.05.67,3,Stuttgart,17.08.1993
57,58,36.49,Debbie Dunn,USA,26.03.78,5,Berlin,18.08.2009
58,59,36.5,Mary Wineberg,USA,03.01.80,2,Eugene,03.07.2008
59,60,36.51,Sandie Richards,JAM,06.11.68,4,Stuttgart,17.08.1993
60,60,36.51,Grit Breuer,GER,16.02.72,6,Sevilla,26.08.1999
61,62,36.52,Lynna Irby-Jackson,USA,06.12.98,1,Eugene,25.06.2022
62,62,36.52,Stephenie Ann McPherson,JAM,25.11.88,5,Eugene,22.07.2022
63,64,36.53,Mariya Pinigina,UKR,09.02.58,4,Roma,31.08.1987
64,65,36.57,Anna Kielbasinska,POL,26.06.90,3s1,Eugene,20.07.2022
65,66,36.58,Diane Dixon,USA,23.09.64,5,Seoul,26.09.1988
66,66,36.58,Vania Stambolova,BUL,28.11.83,1s1,Göteborg,09.08.2006
67,68,36.6,Jearl Miles-Clark,USA,04.09.66,2,Atlanta,19.06.1996
68,68,36.6,Rhasidat Adeleke,IRL,29.08.02,4,München,17.08.2022
69,70,36.62,Sanya Richards-Ross,USA,26.02.85,1,Berlin,20.06.2009
70,71,36.65,Fiordaliza Cofil,DOM,27.10.00,6,Eugene,22.07.2022
71,72,36.66,Anna Kozak,BLR,22.06.74,1,Bremen,23.06.2001
72,72,36.66,Debbie Dunn,USA,26.03.78,3,Eugene,03.07.2008
73,74,36.67,Grit Breuer,GER,16.02.72,1,München,21.06.1997
74,74,36.67,Fiordaliza Cofil,DOM,27.10.00,1s2,Eugene,20.07.2022
75,76,36.68,Amantle Montsho,BOT,04.07.83,1h5,Berlin,15.08.2009
76,76,36.68,Rhasidat Adeleke,IRL,29.08.02,4s1,Eugene,20.07.2022
77,78,36.69,Lieke Klaver,NED,20.08.98,2s2,Eugene,20.07.2022
78,79,36.72,Maree Holland,AUS,25.07.63,6,Seoul,26.09.1988
79,79,36.72,Stephenie Ann McPherson,JAM,25.11.88,3s2,Eugene,20.07.2022
80,81,36.73,Kendall Ellis,USA,08.03.96,2,Eugene,25.06.2022
81,81,36.73,Stephenie Ann McPherson,JAM,25.11.88,1h2,Eugene,17.07.2022
82,83,36.74,Olga Nazarova,RUS,28.02.62,3,Frankfurt,29.06.2001
83,84,36.76,Christine Ohuruogu,GBR,17.05.84,6,Berlin,18.08.2009
84,85,36.79,Denean Hill,USA,05.10.64,7,Seoul,26.09.1988
85,86,36.8,Lynna Irby-Jackson,USA,06.12.98,5s1,Eugene,20.07.2022
86,87,36.82,Anna Kielbasinska,POL,26.06.90,1h6,Eugene,17.07.2022
87,88,36.83,Candice McLeod,JAM,15.11.96,7,Eugene,22.07.2022
88,89,36.84,Shaunae Miller-Uibo,BAH,15.04.94,1h1,Eugene,17.07.2022
89,89,36.84,Sada Williams,BAR,01.12.97,1h3,Eugene,17.07.2022
90,91,36.85,Olga Kotlyarova,RUS,12.04.76,7,Sevilla,26.08.1999
91,91,36.85,Talitha Diggs,USA,22.08.02,3,Eugene,25.06.2022
92,91,36.85,Lada Vondrová,CZE,06.09.99,3s3,Eugene,20.07.2022
93,94,36.87,Wadeline Jonathas,USA,19.02.98,1,Minsk,09.09.2019
94,95,36.89,Anna Kielbasinska,POL,26.06.90,8,Eugene,22.07.2022
95,96,36.9,Natalia Kaczmarek,POL,17.01.98,2h2,Eugene,17.07.2022
96,96,36.9,Anna Kielbasinska,POL,26.06.90,5,München,17.08.2022
97,98,36.91,Natalya Nazarova,RUS,22.05.79,8,Sevilla,26.08.1999
98,99,36.92,Natasha Hastings,USA,23.07.86,4,Eugene,03.07.2008
99,99,36.92,Lynna Irby-Jackson,USA,06.12.98,1h2,Eugene,23.06.2022
100,10,36.94,Debbie Dunn,USA,26.03.78,1h4,Berlin,15.08.2009
101,10,36.96,Charokee Young,JAM,21.08.00,4s3,Eugene,20.07.2022
102,10,36.98,Cynthia Bolingo,BEL,12.01.93,6,München,17.08.2022
103,10,37.0,Novlene Williams-Mills,JAM,26.04.82,1h2,Berlin,15.08.2009
104,10,37.01,Diane Dixon,USA,23.09.64,5,Roma,31.08.1987
105,10,37.01,Kennedy Simon,USA,12.02.00,4,Eugene,25.06.2022
106,10,37.02,Grit Breuer,GER,16.02.72,2,Bremen,23.06.2001
107,10,37.02,Courtney Okolo,USA,15.03.94,2,Minsk,09.09.2019
108,10,37.04,Nicola Sanders,GBR,23.06.82,1h6,Berlin,15.08.2009
109,10,37.04,Jaide Stepter Baynes,USA,25.04.94,2h2,Eugene,23.06.2022
110,10,37.04,Kaylin Whitney,USA,09.03.98,5,Eugene,25.06.2022
111,10,37.04,Victoria Ohuruogu,GBR,28.02.93,7,München,17.08.2022
112,11,37.05,Amantle Montsho,BOT,04.07.83,7,Berlin,18.08.2009
113,11,37.05,Talitha Diggs,USA,22.08.02,5s3,Eugene,20.07.2022
114,11,37.06,Helga Arendt,GER,24.04.64,8,Seoul,26.09.1988
115,11,37.06,Linda Staines,GBR,26.12.63,4,Frankfurt,29.06.2001
116,11,37.06,Norma González,COL,11.08.82,2h5,Berlin,15.08.2009
117,11,37.06,Polina Miller,RUS,09.06.00,3,Minsk,09.09.2019
118,11,37.07,Lillie Leatherwood,USA,06.07.64,6,Roma,31.08.1987
119,11,37.07,Modesta Morauskaite,LTU,02.10.95,2h3,Eugene,17.07.2022
120,12,37.09,Donna Fraser,GBR,07.11.72,2,München,21.06.1997
121,12,37.1,Monica Hargrove,USA,30.12.82,5,Eugene,03.07.2008
122,12,37.11,Yuliya Gushchina,RUS,04.03.83,2,Berlin,20.06.2009
123,12,37.11,Anna Kielbasinska,POL,26.06.90,2h6,Eugene,17.07.2022
124,12,37.11,Lieke Klaver,NED,20.08.98,3h2,Eugene,17.07.2022
125,12,37.11,Modesta Morauskaite,LTU,02.10.95,6s3,Eugene,20.07.2022
126,12,37.11,Iga Baumgart-Witan,POL,11.04.89,8,München,17.08.2022
127,12,37.12,Amarachi Pipi,GBR,26.11.95,3h3,Eugene,17.07.2022
128,12,37.13,Wadeline Jonathas,USA,19.02.98,6,Eugene,25.06.2022
129,13,37.15,Dee Dee Trotter,USA,08.12.82,6,Eugene,03.07.2008
130,13,37.15,Kaylin Whitney,USA,09.03.98,1h3,Eugene,23.06.2022
131,13,37.16,Olga Kotlyarova,RUS,12.04.76,3,München,21.06.1997
132,13,37.17,Taiya Shelby,USA,01.01.00,2h3,Eugene,23.06.2022
133,13,37.18,Courtney Okolo,USA,15.03.94,3h2,Eugene,23.06.2022
134,13,37.18,Shae Anderson,USA,07.04.99,3h3,Eugene,23.06.2022
135,13,37.18,Rosaline Effiong,USA,08.05.01,4h3,Eugene,23.06.2022
136,13,37.22,Nicole Yeargin,GBR,11.08.97,4h2,Eugene,17.07.2022
137,13,37.23,Monique Henderson,USA,18.02.83,7,Eugene,03.07.2008
138,13,37.29,Victoria Ohuruogu,GBR,28.02.93,6s1,Eugene,20.07.2022
139,14,37.3,Natalia Kaczmarek,POL,17.01.98,4s2,Eugene,20.07.2022
140,14,37.31,Antonina Krivoshapka,RUS,21.07.87,2h6,Berlin,15.08.2009
141,14,37.32,Jillian Richardson,CAN,10.03.65,7,Roma,31.08.1987
142,14,37.34,Zhanna Kashcheyeva,RUS,27.07.82,1,München,23.06.2007
143,14,37.36,Natalya Antyukh,RUS,26.06.81,3,Bremen,23.06.2001
144,14,37.36,Christine Ohuruogu,GBR,17.05.84,3h5,Berlin,15.08.2009
145,14,37.36,Jodie Williams,GBR,28.09.93,4,Minsk,09.09.2019
146,14,37.36,Makenzie Dunmore,USA,07.10.97,4h2,Eugene,23.06.2022
147,14,37.38,Yulianna Yuschanka,BLR,14.08.84,2,München,23.06.2007
148,14,37.38,Allyson Felix,USA,18.11.85,7,Eugene,25.06.2022
149,15,37.39,Jaide Stepter Baynes,USA,25.04.94,8,Eugene,25.06.2022
150,15,37.4,Olga Nazarova,RUS,28.02.62,8,Roma,31.08.1987
151,15,37.4,Rhasidat Adeleke,IRL,29.08.02,2h4,Eugene,17.07.2022
152,15,37.4,Anna Kielbasinska,POL,26.06.90,3h6,Eugene,17.07.2022
153,15,37.4,Roxana Gómez,CUB,07.01.99,7s3,Eugene,20.07.2022
154,15,37.42,Amantle Montsho,BOT,04.07.83,3,Berlin,20.06.2009
155,15,37.42,Kendall Ellis,USA,08.03.96,1h4,Eugene,23.06.2022
156,15,37.46,Faní Halkiá,GRE,02.02.79,3,München,23.06.2007
157,15,37.47,Na'Asha Robinson,USA,23.01.97,5h2,Eugene,23.06.2022
158,15,37.47,Delecia McDuffie,USA,99,5h3,Eugene,23.06.2022
159,16,37.48,Francine Landre,FRA,26.07.70,4,Bremen,23.06.2001
160,16,37.49,Sorina Nwachukwu,GER,21.08.87,4,Berlin,20.06.2009
