,0,1,2,3,4,5,6,7
0,1,1:34:01+,Ruth Chepngetich,KEN,08.08.94,1,Chicago,09.10.2022
1,2,1:35:18+,Brigid Kosgei,KEN,20.02.94,1,Chicago,13.10.2019
2,3,1:36:05+,Mary Keitany,KEN,18.01.82,1,London,23.04.2017
3,4,1:36:36+,Paula Radcliffe,GBR,17.12.73,1,London,13.04.2003
4,5,1:36:41+,Tigist Assefa,ETH,28.03.94,1,Berlin,25.09.2022
5,5,1:36:41+,Tigist Abayechew,ETH,22.02.94,2,Berlin,25.09.2022
6,7,1:36:42+,Meseret Gola,ETH,30.12.97,3,Berlin,25.09.2022
7,8,1:36:48+,Valary Aiyabei,KEN,08.06.91,1,Frankfurt,27.10.2019
8,9,1:36:57+,Rosemary Wanjiru,KEN,21.09.94,4,Berlin,25.09.2022
9,10,1:36:58+,Vibian Chepkurui,KEN,05.06.94,5,Berlin,25.09.2022
10,11,1:36:59+,Brigid Kosgei,KEN,20.02.94,1=,Tokyo,06.03.2022
11,11,1:36:59+,Ashete Bekere,ETH,17.04.88,1=,Tokyo,06.03.2022
12,11,1:36:59+,Gotytom Gebreslase,ETH,15.01.95,1=,Tokyo,06.03.2022
13,14,1:37:01+,Worknesh Edesa,ETH,11.09.92,6,Berlin,25.09.2022
14,15,1:37:03+,Mary Keitany,KEN,18.01.82,1,London,22.04.2018
15,16,1:37:07+,Angela Tanui,KEN,27.07.92,4,Tokyo,06.03.2022
16,17,1:37:16+,Ruth Chepngetich,KEN,08.08.94,1=,Dubai,25.01.2019
17,17,1:37:16+,Worknesh Degefa,ETH,28.10.90,1=,Dubai,25.01.2019
18,19,1:37:17+,Hiwot Gebrekidan,ETH,11.05.95,5,Tokyo,06.03.2022
19,20,1:37:20+,Peres Jepchirchir,KEN,27.09.93,1,London,23.04.2023
20,20,1:37:20+,Sheila Chepkirui,KEN,27.12.90,2,London,23.04.2023
21,20,1:37:20+,Yalemzerf Yehualaw,ETH,03.08.99,3,London,23.04.2023
22,20,1:37:20+,Judith Jeptum,KEN,12.12.95,4,London,23.04.2023
23,20,1:37:20+,Alemu Megertu,ETH,12.10.97,6,London,23.04.2023
24,25,1:37:23+,Tirunesh Dibaba,ETH,01.10.85,2,London,23.04.2017
25,25,1:37:23+,Sifan Hassan,NED,01.01.93,7,London,23.04.2023
26,27,1:37:25+,Helah Kiprop,KEN,07.04.85,3,London,23.04.2017
27,27,1:37:25+,Rosemary Wanjiru,KEN,21.09.94,1,Tokyo,05.03.2023
28,29,1:37:26+,Tsehay Gemechu,ETH,12.12.98,2=,Tokyo,05.03.2023
29,29,1:37:26+,Worknesh Edesa,ETH,11.09.92,2=,Tokyo,05.03.2023
30,29,1:37:26+,Ashete Bekere,ETH,17.04.88,2=,Tokyo,05.03.2023
