,0,1,2,3,4,5
0,1.0,16:27.02,Nike/Bowerman TC - A,1,Portland,31.07.2020
1,,,Colleen Quigley,,20.11.92,USA
2,,,Elise Cranny,,09.05.96,USA
3,,,Karissa Schweizer,,04.05.96,USA
4,,,Shelby Houlihan,,08.02.93,USA
5,2.0,16:33.58,Kenya,1,Nassau,24.05.2014
6,,,Mercy Cherono,(4:07.5),07.05.91,KEN
7,,,Faith Kipyegon,(4:08.5),10.01.94,KEN
8,,,Irene Jelagat,(4:10.5),10.12.88,KEN
9,,,Helen Obiri,(4:07.1),13.12.89,KEN
10,3.0,16:53.87,University of Arkansas,1,Philadelphia,30.04.2022
11,,,Isabel Van Camp,(4:16.8),,USA
12,,,Logan Morris,(4:13.9),07.07.98,USA
13,,,Lauren Gregory,(4:12.5),13.04.98,USA
14,,,Kristlin Gear,(4:10.7),20.07.99,USA
15,4.0,16:55.19,North Carolina State University,2,Philadelphia,30.04.2022
16,,,Anna Vess,(4:17.4),,USA
17,,,Sam Bush,(4:10.9),,USA
18,,,Savannah Shaw,(4:17.1),19.01.00,USA
19,,,Katelyn Tuohy,(4:09.8),18.03.02,USA
20,5.0,16:55.33,United States,2,Nassau,24.05.2014
21,,,Heather Kampf,(4:09.2),19.01.87,USA
22,,,Katie Mackey,(4:19.4),12.11.87,USA
23,,,Kate Grace,(4:16.6),24.10.88,USA
24,,,Brenda Martinez,(4:10.2),08.09.87,USA
25,6.0,17:05.72A,Kenya - A,1,Nairobi,26.04.2014
26,,,Mercy Cherono,,07.05.91,KEN
27,,,Irene Jelagat,,10.12.88,KEN
28,,,Anne Mwangi,,08.12.88,KEN
29,,,Perine Nengampi,,89,KEN
30,7.0,17:08.34,University of Tennessee,1,Philadelphia,24.04.2009
31,,,Chanelle Price,(4:19.5),22.08.90,USA
32,,,Pheobe Wright,(4:19.0),30.08.88,USA
33,,,Rolanda Bell,(4:19.6),27.10.87,USA
34,,,Sarah Bowman,(4:10.2),15.10.86,USA
35,8.0,17:08.65,Australia,3,Nassau,24.05.2014
36,,,Zoe Buckman,(4:08.0),21.12.88,AUS
37,,,Bridey Delaney,(4:15.6),16.07.89,AUS
38,,,Brittany McGowan,(4:29.1),24.04.91,AUS
39,,,Melissa Duncan,(4:16.0),30.01.90,AUS
40,9.0,17:09.75,Australia,1,London,24.06.2000
41,,,Natalie Harvey,(4:20.0),19.01.75,AUS
42,,,Georgie Clarke,(4:13.6),17.06.84,AUS
43,,,Kate Richardson,(4:23.3),05.11.73,AUS
44,,,Sarah Jamieson,(4:12.9),24.03.75,AUS
45,10.0,17:11.35,Providence College,1,Philadelphia,29.04.2023
46,,,Alex O'Neill,(4:24.9),21.09.00,IRL
47,,,Shannon Flockhart,(4:16.7),05.04.02,GBR
48,,,Jane Buckley,(4:17.8),26.06.03,IRL
49,,,Kimberley May,(4:11.9),08.05.03,NZL
50,11.0,17:11.70,Oklahoma State University,2,Philadelphia,29.04.2023
51,,,Gabija Galvydyte,,17.01.00,LTU
52,,,Maddie Salek,,29.11.99,USA
53,,,Taylor Roe,,13.10.00,USA
54,,,Billah Jepkirui,,,KEN
55,12.0,17:11.80,Georgetown University,2,Philadelphia,24.04.2009
56,,,Christine Whalen,(4:20.2),05.10.87,USA
57,,,Emily Infeld,(4:17.5),21.03.90,USA
58,,,Renee Tomlin,(4:16.7),21.11.88,USA
59,,,Margaret Infeld,(4:17.4),10.04.86,USA
60,13.0,17:14.55,University of Washington,3,Philadelphia,24.04.2009
61,,,Kailey Campbell,(4:20.9),20.07.88,USA
62,,,Katie Follett,(4:16.9),12.11.87,USA
63,,,Marie Lawrence,(4:19.6),29.08.89,USA
64,,,Christine Babcock,(4:17.2),19.05.90,USA
65,14.0,17:14.91,University of Tennessee,1,Philadelphia,23.04.2010
66,,,Chanelle Price,(4:20.7),22.08.90,USA
67,,,Jackie Areson,(4:18.3),31.03.88,USA
68,,,Brittany Sheffey,(4:18.6),18.12.88,USA
69,,,Pheobe Wright,(4:17.3),30.08.88,USA
70,15.0,17:15.41,Villanova University,2,Philadelphia,23.04.2010
71,,,Ellen Dougherty,(4:21.5),21.05.87,USA
72,,,Nicole Schappert,(4:17.7),30.10.86,USA
73,,,Bogdana Mimic,(4:18.9),09.01.89,SRB
74,,,Sheila Reid,(4:17.3),02.08.89,CAN
75,16.0,17:15.47,University of Michigan,1,Philadelphia,26.04.2013
76,,,Shannon Osika,(4:22.3),15.06.93,USA
77,,,Jillian Smith,(4:18.6),02.07.91,USA
78,,,Rebecca Addison,(4:15.0),28.05.91,USA
79,,,Amanda Eccleston,(4:19.6),18.06.90,USA
80,17.0,17:15.62,University of Michigan,1,Philadelphia,27.04.2007
81,,,Katie Erdman,(4:22.0),24.08.83,USA
82,,,Geena Gall,(4:21.4),18.01.87,USA
83,,,Anna Willard,(4:13.9),31.03.84,USA
84,,,Nicole Edwards,(4:18.3),30.06.86,CAN
85,18.0,17:15.64,University of Washington,3,Philadelphia,29.04.2023
86,,,Chloe Foerster,,21.09.03,USA
87,,,Carley Thomas,,26.12.00,AUS
88,,,Kayley DeLay,,07.06.99,USA
89,,,Sophie O'Sullivan,,23.12.01,IRL
90,19.0,17:16.50,University of Oregon,2,Philadelphia,26.04.2013
91,,,Megan Patrignelli,(4:22.8),22.06.92,USA
92,,,Annie Leblanc,(4:19.1),29.04.92,CAN
93,,,Anne Kesselring,(4:14.3),04.12.89,GER
94,,,Becca Friday,(4:20.3),07.05.91,USA
95,20.0,17:16.52,Villanova University,1,Philadelphia,25.04.2014
96,,,Stephanie Schappert,(4:22.3),25.04.93,USA
97,,,Angel Piccirillo,(4:17.4),08.01.94,USA
98,,,Nicky Akande,(4:20.4),10.07.92,USA
99,,,Emily Lipari,(4:16.4),19.11.92,USA
100,21.0,17:16.74,Stanford University,2,Philadelphia,25.04.2014
101,,,Claudia Saunders,(4:22.6),19.05.94,USA
102,,,Amy Weissenbach,(4:17.4),16.06.94,USA
103,,,Jessica Tonn,(4:20.1),15.02.92,USA
104,,,Aisling Cuffe,(4:16.6),12.09.93,USA
105,22.0,17:17.57,Villanova University,3,Philadelphia,26.04.2013
106,,,Stephanie Schappert,(4:22.9),25.04.93,USA
107,,,Nicky Akande,(4:18.0),10.07.92,USA
108,,,Angel Piccirillo,(4:19.1),08.01.94,USA
109,,,Emily Lipari,(4:17.5),19.11.92,USA
110,23.0,17:18.10,Villanova University,1,Philadelphia,27.04.1990
111,,,Nnenna Lynch,(4:25.8),03.07.71,USA
112,,,Sonia O'Sullivan,(4:13.5),28.11.69,IRL
113,,,Cheri Kenah,(4:21.6),26.12.70,USA
114,,,Kathy Fleming,(4:17.2),25.12.67,USA
115,24.0,17:18.63,Stanford University,1,Philadelphia,28.04.2006
116,,,Amanda Trotter,(4:20.3),04.04.85,USA
117,,,Lauren Centrowitz,(4:18.9),25.09.86,USA
118,,,Kathleen Trotter,(4:24.1),04.04.85,USA
119,,,Arianna Lambie,(4:15.3),12.06.85,USA
120,25.0,17:19.09,BMC Ireland,2,London,24.06.2000
121,,,Maria Lynch,(4:22.9),03.09.78,IRL
122,,,Elaine Fitzgerald,(4:18.8),23.05.73,IRL
123,,,Pauline Thom,(4:29.5),02.08.70,GBR
124,,,Sonia O'Sullivan,(4:07.9),28.11.69,IRL
125,26.0,17:19.44,Georgetown University,4,Philadelphia,29.04.2023
126,,,Chloe Gonzalez,,02.09.02,USA
127,,,Andrea Claeson,,23.06.98,SWE
128,,,Chloe Scrimgeour,,11.08.03,USA
129,,,Melissa Riggins,,29.10.02,USA
130,27.0,17:19.95,University of Notre Dame,5,Philadelphia,29.04.2023
131,,,Katie Thronson,,23.08.00,USA
132,,,Anna Sophia Keller,,99,USA
133,,,Siona Chisholm,,28.08.03,CAN
134,,,Olivia Markezich,,10.08.00,USA
135,28.0,17:20.18,University of North Carolina,1,Philadelphia,25.04.2003
136,,,Carol Henry,(4:28.8),20.06.82,CAN
137,,,Erin Donohue,(4:20.7),08.05.83,USA
138,,,Alice Schmidt,(4:20.2),10.03.81,USA
139,,,Shalane Flanagan,(4:10.5),07.08.81,USA
140,29.0,17:20.87,Dartmouth College,3,Philadelphia,25.04.2014
141,,,Elizabeth Markowitz,(4:27.4),,USA
142,,,Dana Giordano,(4:16.4),30.12.93,USA
143,,,Margaret Donovan,(4:29.1),,USA
144,,,Abbey D'Agostino,(4:08.0),25.05.92,USA
145,30.0,17:22.29,Villanova University,4,Philadelphia,24.04.2009
146,,,Ellen Dougherty,(4:21.9),21.05.87,USA
147,,,Frances Koons,(4:17.0),02.04.86,USA
148,,,Nicole Schappert,(4:18.2),30.10.86,USA
149,,,Sheila Reid,(4:25.2),02.08.89,CAN
150,31.0,17:22.30,Providence College,1,Philadelphia,26.04.1991
151,,,Anita Philpott,(4:19.6),24.07.69,IRL
152,,,Geraldine Nolan,(4:23.4),11.04.74,IRL
153,,,Natalie Davey,(4:23.9),05.09.72,IRL
154,,,Geraldine Hendricken,(4:15.4),19.04.70,IRL
155,32.0,17:22.58,Villanova University,1,Philadelphia,28.04.1989
156,,,Michelle DiMuro-Ave,(4:26.3),15.05.67,USA
157,,,Sonia O'Sullivan,(4:16.4),28.11.69,IRL
158,,,Kathy Fleming,(4:21.3),25.12.67,USA
159,,,Vicki Huber,(4:18.6),29.05.67,USA
160,33.0,17:22.72,University of Wisconsin,2,Philadelphia,27.04.1990
161,,,Maureen Hartzheim,(4:19.6),18.12.66,USA
162,,,Pamela Hinton,(4:25.6),68,USA
163,,,Mary Hartzheim,(4:30.1),30.03.68,USA
164,,,Suzy Favor Hamilton,(4:07.4),08.08.68,USA
165,34.0,17:22.82,University of Tennessee,3,Philadelphia,27.04.1990
166,,,Gina Wilbanks,(4:22.1),69,USA
167,,,Patty Wiegand,(4:19.4),16.11.68,USA
168,,,Valerie Bertrand,(4:25.0),25.04.68,USA
169,,,Jasmin Jones-Keller,(4:16.3),13.10.69,USA
170,35.0,17:24.46,University of Mississippi,3,Philadelphia,30.04.2022
171,,,Skyler Boogerd,,03.05.01,USA
172,,,Anna Elkin,,05.05.98,USA
173,,,Loral Winn,,06.12.00,USA
174,,,Sintayehu Vissa,,29.07.96,ITA
175,36.0,17:24.65,Republic of Bashkortostan,1,Adler,06.09.2014
176,,,Alena Shuktuyeva,,07.12.93,RUS
177,,,Anna Musina,,03.11.84,RUS
