,0,1,2,3,4,5,6
0,1.0,7:50.17,Soviet Union,,1,Moskva,05.08.1984
1,,,Nadezhda Olizarenko,,,28.11.53,UKR
2,,,Lyubov Gurina,,,06.08.57,RUS
3,,,Lyudmila Borisova,,,30.07.59,RUS
4,,,Irina Podyalovskaya,,,19.10.59,RUS
5,2.0,7:51.62,Soviet Union II,,2,Moskva,05.08.1984
6,,,Nina Ruchayeva,,,17.04.56,RUS
7,,,Ravilya Agletdinova,,,10.02.60,BLR
8,,,Nadezhda Loboyko,,,07.09.61,RUS
9,,,Valentina Parkhuta,,,27.10.59,BLR
10,3.0,7:52.24,Soviet Union,,1,Leningrad,04.08.1985
11,,,Yekaterina Podkopayeva,,,11.06.52,RUS
12,,,Nadezhda Loboyko,,,07.09.61,RUS
13,,,Nadezhda Olizarenko,,,28.11.53,UKR
14,,,Ravilya Agletdinova,,,10.02.60,BLR
15,4.0,7:52.3,Soviet Union,,1,Pdolsk,16.08.1976
16,,,Tatyana Providokhina,,(1:58.4),26.03.53,RUS
17,,,Valentina Gerasimova,,(1:59.2),15.05.48,KAZ
18,,,Svetlana Styrkina,,(1:57.3),01.01.49,RUS
19,,,Tatyana Kazankina,,(1:57.4),17.12.51,RUS
20,5.0,7:54.10,German Democratic Republic,,1,Karl-Marx-Stadt,06.08.1976
21,,,Elfi Zinn,,,24.08.53,GDR
22,,,Gunhild Hoffmeister,,,06.07.44,GDR
23,,,Anita Weiß,,,16.07.55,GDR
24,,,Ulrike Bruns,,,17.11.53,GDR
25,6.0,7:56.6,"Russian Soviet Federative,",URS,1,Donetsk,08.09.1980
26,,,Zoya Rigel,,,15.10.52,RUS
27,,,Lyubov Gurina,,,06.08.57,RUS
28,,,Yekaterina Podkopayeva,,,11.06.52,RUS
29,,,Tatyana Mishkel,,,10.06.52,UKR
30,6.0,7:56.6,"Ukraine, URS",,2,Donetsk,08.09.1980
31,,,Lyubov Smolka,,,29.11.52,UKR
32,,,Maryna Sheberova,,,,UKR
33,,,Svetlana Popova,,,03.02.59,UKR
34,,,Tamara Koba,,,24.02.57,UKR
35,8.0,7:56.9e,Leningrad,,3,Donetsk,08.09.1980
36,,,Zoya Rigel,,,15.10.52,RUS
37,,,Lyubov Gurina,,,06.08.57,RUS
38,,,Olga Dvirna,,,11.02.53,RUS
39,,,Lyudmila Veselkova,,,25.10.50,RUS
40,9.0,7:57.08,Russia,,1,Portsmouth,05.06.1993
41,,,Olga Kuzenkova,,,04.10.70,RUS
42,,,Natalya Betekhtina,,,08.09.61,RUS
43,,,Olga Burkanova,,,29.09.69,RUS
44,,,Svetlana Masterkova,,,17.01.68,RUS
45,10.0,7:57.21,Romania,,2,Portsmouth,05.06.1993
46,,,Liliana Salageanu,,,24.03.71,ROU
47,,,Mitica Constantin,,,18.08.62,ROU
48,,,Violeta Szekely,,,26.03.65,ROU
49,,,Laura Itcou,,,13.02.72,ROU
50,11.0,7:58.5,"Lithuania, URS",,4,Donetsk,08.09.1980
51,,,Anna Ambraziené,,,14.04.55,LTU
52,,,Danguolé Bislyté,,,31.07.60,LTU
53,,,Laima Juknaviciené,,,15.07.57,LTU
54,,,Laima Baikauskaité,,,10.06.56,LTU
55,12.0,7:59.6,"Russian Soviet Federative,",URS,1,Moskva,24.07.1979
56,,,Olga Mineyeva,,,01.09.52,RUS
57,,,Maria Enkina,,,04.02.51,RUS
58,,,Nadezhda Olizarenko,,,28.11.53,UKR
59,,,Yekaterina Podkopayeva,,,11.06.52,RUS
60,13.0,8:00.62,United States,,1,Nassau,03.05.2015
61,,,Chanelle Price,,(2:01.30),22.08.90,USA
62,,,Maggie Vessey,,(2:00.92),23.12.81,USA
63,,,Molly Ludlow,,(1:59.50),04.08.87,USA
64,,,Alysia Montaño,,(1:58.90),26.04.86,USA
65,14.0,8:00.84,"Russian Soviet Federative,",URS,1,Bryansk,19.07.1987
66,,,Nina Ruchayeva,,,17.04.56,RUS
67,,,Nadezhda Loboyko,,,07.09.61,RUS
68,,,Olga Nelyubova,,,12.06.64,RUS
69,,,Lyubov Gurina,,,06.08.57,RUS
70,15.0,8:01.58,United States,,1,Nassau,25.05.2014
71,,,Chanelle Price,,(2:01.0),22.08.90,USA
72,,,Geena Lara,,(2:02.8),18.01.87,USA
73,,,Ajee' Wilson,,(1:59.1),08.05.94,USA
74,,,Brenda Martinez,,(1:58.7),08.09.87,USA
75,16.0,8:01.63,Moskva,,2,Bryansk,19.07.1987
76,,,Galina Afonina,,,63,UKR
77,,,Irina Podyalovskaya,,,19.10.59,RUS
78,,,Vera Dodika,,,21.02.59,RUS
79,,,Lyubov Tsyoma,,,19.05.63,RUS
80,17.0,8:01.9,Leningrad,,1,Tbilisi,16.09.1978
81,,,Tatyana Providokhina,,,26.03.53,RUS
82,,,Lyudmila Veselkova,,,25.10.50,RUS
83,,,Olga Dvirna,,,11.02.53,RUS
84,,,Natalya Kuznetsova,,,22.03.54,RUS
85,18.0,8:02.0,"Russian Soviet Federative,",URS,2,Tbilisi,16.09.1978
86,,,Nina Vershina,,,58,RUS
87,,,Valentina Ilyinykh,,,12.12.56,RUS
88,,,Zoya Rigel,,,15.10.52,RUS
89,,,Giana Romanova,,,10.03.55,RUS
90,19.0,8:03.2,"Ukraine, URS",,2,Moskva,24.07.1979
91,,,,,,,UKR
92,,,,,,,UKR
93,,,,,,,UKR
94,,,,,,,UKR
95,20.0,8:03.85,Belarus,,3,Portsmouth,05.06.1993
96,,,Oksana Mernikova,,,21.11.67,BLR
97,,,Tatyana Grebenchuk,,,22.11.62,BLR
98,,,Natalya Dukhnova,,,16.07.66,BLR
99,,,Ravilya Agletdinova,,,10.02.60,BLR
100,21.0,8:04.28,Kenya,,2,Nassau,25.05.2014
101,,,Agatha Kimaswai,,(2:03.8),02.04.94,KEN
102,,,Sylivia Chesebe,,(2:01.7),17.05.87,KEN
103,,,Janeth Jepkosgei,,(1:59.6),13.02.83,KEN
104,,,Eunice Sum,,(1:59.2),10.04.88,KEN
105,22.0,8:04.31,United States - Red,,1rA,Philadelphia,27.04.2013
106,,,Lea Wallace,,(2:02.0),19.12.88,USA
107,,,Brenda Martinez,,(2:00.6),08.09.87,USA
108,,,Ajee' Wilson,,(2:03.1),08.05.94,USA
109,,,Alysia Montaño,,(1:58.6),26.04.86,USA
110,23.0,8:04.9,Leningrad,,3,Moskva,24.07.1979
111,,,,,,,URS
112,,,,,,,URS
113,,,,,,,URS
114,,,,,,,URS
115,24.0,8:05.2,Moskva,,4,Moskva,24.07.1979
116,,,,,,,URS
117,,,,,,,URS
118,,,,,,,URS
119,,,,,,,URS
120,25.0,8:05.24,Bulgaria,,1,Sofia,30.08.1975
121,,,Nikolina Shtereva,,(1:59.5),21.01.55,BUL
122,,,Lilyana Tomova,,(2:02.1),09.08.46,BUL
123,,,Rositsa Pekhlivanova,,(2:01.6),31.01.55,BUL
124,,,Svetla Zlateva-Koleva,,(2:02.0),25.02.52,BUL
125,26.0,8:06.28,Ukraine,,4,Portsmouth,05.06.1993
126,,,Alla Kovpak,,,23.10.62,UKR
127,,,Yelena Fadeyeva,,,23.06.66,UKR
128,,,Yelena Zavadskaya,,,24.12.64,UKR
129,,,Inna Yevseyeva,,,14.08.64,UKR
130,27.0,8:07.58,Kenya,,2rA,Philadelphia,27.04.2013
131,,,Winny Chebet,,(2:02.1),20.12.90,KEN
132,,,Eunice Sum,,(2:01.2),10.04.88,KEN
133,,,Helen Obiri,,(2:02.8),13.12.89,KEN
134,,,Janeth Jepkosgei,,(2:01.5),13.02.83,KEN
135,28.0,8:07.65,All-Stars - 1,,1,Eugene,26.07.2014
136,,,Shannon Leinart,,,30.06.87,USA
137,,,Charlene Lipsey,,,16.07.91,USA
138,,,Laura Roesler,,,19.12.91,USA
